clip number,start_time,end_time,play,view,fromYouTube,input_file,output_file,name,file extension,date,
1,0:00:02,0:00:28,Kickoff,Sideline,FALSE,rooski2025Natty.mp4,2025NattyGame_1.mp4,2025NattyGame_,.mp4,2026-03-17,
2,0:00:29,0:00:50,Kickoff,Endzone,FALSE,rooski2025Natty.mp4,2025NattyGame_2.mp4,2025NattyGame_,.mp4,2026-03-17,
3,0:01:00,0:01:11,Run,Sideline,FALSE,rooski2025Natty.mp4,2025NattyGame_3.mp4,2025NattyGame_,.mp4,2026-03-17,
4,0:01:15,0:01:26,Run,Endzone,FALSE,rooski2025Natty.mp4,2025NattyGame_4.mp4,2025NattyGame_,.mp4,2026-03-17,
5,0:01:35,0:01:45,Run,Sideline,FALSE,rooski2025Natty.mp4,2025NattyGame_5.mp4,2025NattyGame_,.mp4,2026-03-17,
6,0:01:48,0:02:02,Run,Endzone,FALSE,rooski2025Natty.mp4,2025NattyGame_6.mp4,2025NattyGame_,.mp4,2026-03-17,
7,0:02:08,0:02:18,Run,Sideline,FALSE,rooski2025Natty.mp4,2025NattyGame_7.mp4,2025NattyGame_,.mp4,2026-03-17,
8,0:02:20,0:02:30,Run,Endzone,FALSE,rooski2025Natty.mp4,2025NattyGame_8.mp4,2025NattyGame_,.mp4,2026-03-17,
9,0:02:34,0:02:56,Pass,Sideline,FALSE,rooski2025Natty.mp4,2025NattyGame_9.mp4,2025NattyGame_,.mp4,2026-03-17,
10,0:02:58,0:03:15,Pass,Endzone,FALSE,rooski2025Natty.mp4,2025NattyGame_10.mp4,2025NattyGame_,.mp4,2026-03-17,
11,0:03:22,0:03:43,Pass,Sideline,FALSE,rooski2025Natty.mp4,2025NattyGame_11.mp4,2025NattyGame_,.mp4,2026-03-17,
12,0:03:48,0:04:08,Pass,Endzone,FALSE,rooski2025Natty.mp4,2025NattyGame_12.mp4,2025NattyGame_,.mp4,2026-03-17,
