Video #,Inside Zone,Outside Zone,Gap,Classification
1,FALSE,TRUE,FALSE,Outside Zone
2,FALSE,TRUE,FALSE,Outside Zone
3,TRUE,FALSE,FALSE,Inside Zone
4,TRUE,FALSE,FALSE,Inside Zone
5,TRUE,FALSE,FALSE,Inside Zone
6,TRUE,FALSE,FALSE,Inside Zone
7,FALSE,TRUE,FALSE,Outside Zone
8,FALSE,TRUE,FALSE,Outside Zone
9,TRUE,FALSE,FALSE,Inside Zone
10,TRUE,FALSE,FALSE,Inside Zone
11,FALSE,TRUE,FALSE,Outside Zone
12,FALSE,TRUE,FALSE,Outside Zone
13,TRUE,FALSE,FALSE,Inside Zone
14,TRUE,FALSE,FALSE,Inside Zone
15,TRUE,FALSE,FALSE,Inside Zone
16,TRUE,FALSE,FALSE,Inside Zone
17,FALSE,FALSE,TRUE,Counter
18,FALSE,FALSE,TRUE,Counter
19,FALSE,TRUE,FALSE,Outside Zone
20,FALSE,TRUE,FALSE,Outside Zone
21,TRUE,FALSE,FALSE,Inside Zone
22,TRUE,FALSE,FALSE,Inside Zone
23,TRUE,FALSE,FALSE,Inside Zone
24,TRUE,FALSE,FALSE,Inside Zone
25,TRUE,FALSE,FALSE,Inside Zone
26,TRUE,FALSE,FALSE,Inside Zone
27,TRUE,FALSE,FALSE,Inside Zone
28,TRUE,FALSE,FALSE,Inside Zone
29,TRUE,FALSE,FALSE,Inside Zone
30,TRUE,FALSE,FALSE,Inside Zone
31,FALSE,TRUE,FALSE,Outside Zone
32,FALSE,TRUE,FALSE,Outside Zone
33,TRUE,FALSE,FALSE,Inside Zone
34,TRUE,FALSE,FALSE,Inside Zone
35,TRUE,FALSE,FALSE,Inside Zone
36,TRUE,FALSE,FALSE,Inside Zone
37,TRUE,FALSE,FALSE,Inside Zone
38,TRUE,FALSE,FALSE,Inside Zone
39,FALSE,TRUE,FALSE,Outside Zone
40,FALSE,TRUE,FALSE,Outside Zone
41,FALSE,FALSE,TRUE,Counter
42,FALSE,FALSE,TRUE,Counter
43,TRUE,FALSE,FALSE,Inside Zone
44,TRUE,FALSE,FALSE,Inside Zone
45,TRUE,FALSE,FALSE,Inside Zone
46,TRUE,FALSE,FALSE,Inside Zone
47,TRUE,FALSE,FALSE,Inside Zone
48,TRUE,FALSE,FALSE,Inside Zone
49,TRUE,FALSE,FALSE,Inside Zone
50,TRUE,FALSE,FALSE,Inside Zone
51,TRUE,FALSE,FALSE,Inside Zone
52,TRUE,FALSE,FALSE,Inside Zone
53,TRUE,FALSE,FALSE,Inside Zone
54,TRUE,FALSE,FALSE,Inside Zone
55,TRUE,FALSE,FALSE,Inside Zone
56,TRUE,FALSE,FALSE,Inside Zone
57,TRUE,FALSE,FALSE,Inside Zone
58,TRUE,FALSE,FALSE,Inside Zone
59,TRUE,FALSE,FALSE,Inside Zone
60,TRUE,FALSE,FALSE,Inside Zone
61,TRUE,FALSE,FALSE,Inside Zone
62,TRUE,FALSE,FALSE,Inside Zone
63,FALSE,TRUE,FALSE,Outside Zone
64,FALSE,TRUE,FALSE,Outside Zone
65,TRUE,FALSE,FALSE,Inside Zone
66,TRUE,FALSE,FALSE,Inside Zone
67,TRUE,FALSE,FALSE,Inside Zone
68,TRUE,FALSE,FALSE,Inside Zone
69,FALSE,TRUE,FALSE,Outside Zone
70,FALSE,TRUE,FALSE,Outside Zone
71,TRUE,FALSE,FALSE,Inside Zone
72,TRUE,FALSE,FALSE,Inside Zone
73,FALSE,TRUE,FALSE,Outside Zone
74,FALSE,TRUE,FALSE,Outside Zone
75,TRUE,FALSE,FALSE,Inside Zone
76,TRUE,FALSE,FALSE,Inside Zone
77,FALSE,TRUE,FALSE,Outside Zone
78,FALSE,TRUE,FALSE,Outside Zone
79,TRUE,FALSE,FALSE,Inside Zone
80,TRUE,FALSE,FALSE,Inside Zone
81,TRUE,FALSE,FALSE,Inside Zone
82,TRUE,FALSE,FALSE,Inside Zone
83,TRUE,FALSE,FALSE,Inside Zone
84,TRUE,FALSE,FALSE,Inside Zone
85,TRUE,FALSE,FALSE,Inside Zone
86,TRUE,FALSE,FALSE,Inside Zone
87,FALSE,TRUE,FALSE,Outside Zone
88,FALSE,TRUE,FALSE,Outside Zone
89,TRUE,FALSE,FALSE,Inside Zone
90,TRUE,FALSE,FALSE,Inside Zone
91,TRUE,FALSE,FALSE,Inside Zone
92,TRUE,FALSE,FALSE,Inside Zone
93,TRUE,FALSE,FALSE,Inside Zone
94,TRUE,FALSE,FALSE,Inside Zone
95,TRUE,FALSE,FALSE,Inside Zone
96,TRUE,FALSE,FALSE,Inside Zone
97,TRUE,FALSE,FALSE,Inside Zone
98,TRUE,FALSE,FALSE,Inside Zone
99,TRUE,FALSE,FALSE,Inside Zone
100,TRUE,FALSE,FALSE,Inside Zone
101,TRUE,FALSE,FALSE,Inside Zone
102,TRUE,FALSE,FALSE,Inside Zone
103,TRUE,FALSE,FALSE,Inside Zone
104,TRUE,FALSE,FALSE,Inside Zone
105,FALSE,TRUE,FALSE,Outside Zone
106,FALSE,TRUE,FALSE,Outside Zone
107,TRUE,FALSE,FALSE,Inside Zone
108,TRUE,FALSE,FALSE,Inside Zone
109,FALSE,TRUE,FALSE,Outside Zone
110,FALSE,TRUE,FALSE,Outside Zone
111,TRUE,FALSE,FALSE,Inside Zone
112,TRUE,FALSE,FALSE,Inside Zone
113,TRUE,FALSE,FALSE,Inside Zone
114,TRUE,FALSE,FALSE,Inside Zone
115,TRUE,FALSE,FALSE,Inside Zone
116,TRUE,FALSE,FALSE,Inside Zone
117,TRUE,FALSE,FALSE,Inside Zone
118,TRUE,FALSE,FALSE,Inside Zone
119,TRUE,FALSE,FALSE,Inside Zone
120,TRUE,FALSE,FALSE,Inside Zone
121,TRUE,FALSE,FALSE,Inside Zone
122,TRUE,FALSE,FALSE,Inside Zone
123,TRUE,FALSE,FALSE,Inside Zone
124,TRUE,FALSE,FALSE,Inside Zone
125,TRUE,FALSE,FALSE,Inside Zone
126,TRUE,FALSE,FALSE,Inside Zone
127,FALSE,TRUE,FALSE,Outside Zone
128,FALSE,TRUE,FALSE,Outside Zone
129,TRUE,FALSE,FALSE,Inside Zone
130,TRUE,FALSE,FALSE,Inside Zone
131,FALSE,FALSE,TRUE,Counter
132,FALSE,FALSE,TRUE,Counter
133,TRUE,FALSE,FALSE,Inside Zone
134,TRUE,FALSE,FALSE,Inside Zone
135,FALSE,FALSE,FALSE,Inside Zone
136,TRUE,FALSE,FALSE,Inside Zone
137,TRUE,FALSE,FALSE,Inside Zone
138,TRUE,FALSE,FALSE,Inside Zone
139,FALSE,TRUE,FALSE,Outside Zone
140,FALSE,TRUE,FALSE,Outside Zone
141,TRUE,FALSE,FALSE,Inside Zone
142,TRUE,FALSE,FALSE,Inside Zone
143,TRUE,FALSE,FALSE,Inside Zone
144,TRUE,FALSE,FALSE,Inside Zone
145,TRUE,FALSE,FALSE,Inside Zone
146,TRUE,FALSE,FALSE,Inside Zone
147,FALSE,TRUE,FALSE,Outside Zone
148,FALSE,TRUE,FALSE,Outside Zone
149,TRUE,FALSE,FALSE,Inside Zone
150,TRUE,FALSE,FALSE,Inside Zone
151,TRUE,FALSE,FALSE,Inside Zone
152,TRUE,FALSE,FALSE,Inside Zone
153,FALSE,TRUE,FALSE,Outside Zone
154,FALSE,TRUE,FALSE,Outside Zone
155,TRUE,FALSE,FALSE,Inside Zone
156,TRUE,FALSE,FALSE,Inside Zone
157,TRUE,FALSE,FALSE,Inside Zone
158,TRUE,FALSE,FALSE,Inside Zone
159,TRUE,FALSE,FALSE,Inside Zone
160,TRUE,FALSE,FALSE,Inside Zone
161,TRUE,FALSE,FALSE,Inside Zone
162,TRUE,FALSE,FALSE,Inside Zone
163,TRUE,FALSE,FALSE,Inside Zone
