Video Name:,Boot Pass,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Run Block,Snap Receive,Fake Handoff,Boot Away,Run Flat Route,Throw Pass,Secure Catch,End of Play
1,"0,ALL",-,"77,OL","86,4","98,110,4","111,150,4","116,167,1","162,175,4","226,235,3",OOB
2,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
3,"0,ALL",-,"17,OL","27,29,11","32,52,11","55,113,11",-,"155,145,11","225,235,52",TD
4,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
5,"0,ALL",-,"122,OL","126,11","132,162,4","163,170,4",-,-,"311,318,59",Tackle
6,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
7,"0,ALL",-,"-,OL","53,10","58,78,10","82,119,10","81,117,13","135,146,10","199,204,11",OOB
8,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
9,"0,ALL",-,"37,OL","43,18","47,65,18","66,99,18",-,"121,133,18","176,182,5",Tackle
10,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
11,"0,ALL",-,"120,OL","128,13","136,151,13","152,198,13",-,"207,217,13","265,279,11",Completion
12,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
13,"0,ALL",-,"33,OL","41,10","48,64,10","62,98,10","41,133,0","103,114,10","134,141,0",Tac
14,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
15,"0,ALL",-,"48,OL","56,2","64,78,2","74,121,2",-,"129,139,2","164,178,1",Tac
16,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
17,"0,ALL",-,"70,OL","78,18","86,95,18","97,122,18","79,131,8","126,136,18","167,174,8",Tac
18,"0,ALL",-,"-,OL",-,-,-,-,-,-,Tac
19,"0,ALL",-,"252,OL","258,13","270,282,13","288,319,13","258,342,8","336,345,13","336,343,1",TD
20,"0,ALL",-,"-,OL",-,-,-,-,-,-,TD
21,"0,ALL",-,"74,OL","78,19","80,95,19","96,139,19",-,"168,178,19",-,TD
22,"0,ALL",-,"-,OL",-,-,-,-,-,-,TD
23,"0,ALL",-,"47,OL","52,2","67,89,2","90,110,2","52,119,6","116,126,2","155,165,6",OOB
24,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
25,"0,ALL",-,"49,OL","55,14","64,79,14","80,115,14","55,126,0","127,139,14","151,156,19",Tac
26,"0,ALL",-,"-,OL",-,-,-,-,-,-,Tac
27,"0,ALL",-,"29,OL","34,8","42,50,8","52,77,8","34,104,20","104,116,8","150,155,20",Tac
28,"0,ALL",-,"-,OL",-,-,-,-,-,-,OOB
29,"0,ALL",-,"39,OL","39,19","62,75,19","76,120,19","104,143,0","127,137,17","181,207,3",OOB
30,"0,ALL",-,"-,OL",-,-,-,-,-,-,OOB
31,"0,ALL",-,"27,OL","40,9","49,68,9","73,87,9","75,106,3","85,97,9","108,118,3",OOB
32,"0,ALL",-,"-,OL",-,-,-,-,-,-,Comp.
33,"0,ALL",-,"37,OL","30,16","56,67,16","68,116,16",-,"118,130,16","170,186,19",Comp.
34,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
35,"0,ALL",-,"84,OL","89,5",-,-,-,-,-,-
36,"0,ALL",-,"-,OL",-,-,-,-,-,-,Tac
37,"0,ALL",-,"34,OL","40,14","55,72,14","71,98,14","95,121,6","104,113,14","124,141,6",-
38,"0,ALL",-,"-,OL",-,-,-,-,-,-,-
39,"0,ALL",-,"68,OL","76,8","82,105,8","112,120,8","111,134,7","122,135,8","140,148,7",Tac
40,"0,ALL",-,"-,OL",-,-,-,-,-,-,TD
41,"0,ALL",-,"36,OL","41,8","48,66,8","69,102,8",-,"132,147,8","204,210,1",TD
42,"0,ALL",-,"62,OL","70,5","73,94,5","96,126,5",-,"167,174,5","234,240,31",TD
43,"0,ALL",-,"42,OL","48,13","52,68,13","70,103,13",-,"132,141,13","177,203,0",OOB
44,"0,ALL",-,"53,OL","62,6","65,84,6","84,109,6",-,"143,152,6","184,210,26",OOB
45,"0,ALL",-,"75,OL","75,19",-,"114,155,19","130,173,1","169,180,19","206,2",OOB
46,"0,ALL",-,"94,OL","94,20",-,"121,171,20","150,190,26","190,197,20","226,239,10",OOB
47,"0,ALL",-,"66,OL","79,9",-,"77,110,9",-,"160,171,9","189,197,0",Tac
48,"0,ALL",-,"72,OL","83,11",-,"93,135,11",-,"167,177,11","198,203,33",Tac
