Video Name:,Counter,,,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,,,
Video #,Pre Snap,Ball Snap,Play-side fake step,Down Blocks,Pull Block,Pull Lead Block,Snap Receive,Handoff,Ball Carry,End of OL Block,End of Play
1,"0,ALL","348,15","358,12","361,11,18,21","361,15","361,5","361,16","381,16","388,12",438,Tac
2,"0,ALL","387,17","394,10","398,17,8,5","385,13","395,7","401,12","417,12","425,10",469,Tac
3,"0,ALL","82,13",-,"99,20,15,3","103,22","103,1","96,11","111,11","125,5",176,Tac
4,"0,ALL","80,10",-,"91,19,2","91,5","91,3","92,17","109,17","125,7",172,Tac
5,"0,ALL","57,17",-,"63,17,21,8","63,20","63,1","71,18","83,18","92,16",142,OOB
6,"0,ALL","45,13",-,"52,13,1,5","52,4","52,6","60,17","70,17","83,16",125,OOB
7,"0,ALL","206,16","213,1","217,18,22,7","217,16","217,2","208,14","240,14","250,1",303,TD
8,"0,ALL","82,16","86,1","86,2,8,13","86,16","86,4","86,15","117,15","130,4",176,TD
9,"0,ALL","49,11",-,"56,3","56,14","56,3","64,12","78,12","95,5",151,Tac
10,"0,ALL","61,12",-,"66,6","66,4","66,4","78,7","87,7","116,3",158,Tac
11,"3,ALL","77,22",-,"83,22,14,9","83,17","83,7","96,19","96,19","119,10",172,Tac
12,"1,ALL","32,4",-,"37,14,7","37,6","37,13","48,10","63,10","82,11",129,Tac
13,"0,ALL","50,21",-,"103,9,22,10","103,21","103,18","103,20",-,"134,20",171,TD
14,"0,ALL","96,15",-,"102,6,14","102,15","102,1","106,10",-,"157,10",167,TD
15,"0,ALL","61,18",-,"71,18,21,10","71,19","71,8","82,15","96,15","112,22",145,Tac
16,"0,ALL","19,14",-,"25,14,5,2","25,12","25,11","34,6","45,6","73,4",129,Rec
17,"0,ALL","64,21","70,14","62,12,18,21","62,22","67,7","78,20","91,20","100,4",144,Tac
18,"0,ALL","39,14","57,5","46,14,15,13","46,10","46,8","57,11","64,11","80,5",127,Tac
19,"0,ALL","248,15",-,"258,19,17","259,25","259,11","264,18","274,18","300,12",349,Tac
20,"0,ALL","172,14",-,"182,14,11","182,12","182,6","187,13","199,13","230,7",259,Tac
21,"0,ALL","123,4","129,12","131,4,14,18","131,2","131,17","137,22","160,22","175,12",243,Tac
22,"0,ALL","39,15","42,3","42,15,3,12","42,14","42,10","55,5","79,15","91,3",154,Tac
23,"0,ALL","103,10",-,"113,10,20,1","113,18","113,19","118,8","132,8","147,4",218,OOB
24,"0,ALL","100,11",-,"110,11,6,1","110,9","110,14","115,15","130,15","148,4",217,OOB
25,"0,ALL","54,7",-,"68,7","68,10","68,9","72,22","81,22","114,13",140,Tac
26,"0,ALL","47,14",-,"52,14","52,12","52,9","64,1","76,1","109,3",124,Tac
27,"0,ALL","121,21",-,"134,21,10","134,22","134,1","139,20","162,20","184,9",207,Tac
28,"0,ALL","120,13",-,"127,11,13","127,10","127,4","135,14","162,14","179,1",207,Tac
29,"0,ALL","56,14","68,8","60,14,16","60,12","60,15","60,18","92,18","104,8",156,Tac
30,"0,ALL","64,7","67,4","67,8,20","67,4","67,5","66,16","98,16","113,11",170,Tac
31,"0,ALL","201,17",-,"207,17,20","207,22","207,7","225,21","232,21","245,16",287,Tac
32,"0,ALL","182,9",-,"180,9,6,7","180,15","180,16","199,8","207,8","224,13",263,Tac
33,"0,ALL","161,19",-,"171,19,18","171,17","171,2","175,13","180,13","204,6",266,OOB
34,"0,ALL","60,9",-,"65,9,6","65,2","68,15","73,5","73,5","106,3",155,OOB
35,"8,ALL","99,6",-,"103,6,21","103,17","103,10","114,4","123,4","157,9",195,Tac
36,"0,ALL","74,14",-,"77,14,13","77,8","77,1","85,17","95,17","128,3",180,Tac
37,"0,ALL","345,19","358,14","353,19,11","355,18","353,13","360,16","372,16","397,14",432,Tac
38,"0,ALL","159,18","172,14","161,8,7,11","161,12","161,5","171,13","194,13","211,14",245,Tac
39,"0,ALL","87,14","101,7","92,14,20,10","92,8","92,3","103,11","113,11","131,7",186,Tac
40,"0,ALL","222,14","230,15","228,11,4,6","228,2","228,13","235,8","249,8","264,15",317,Tac
41,"0,ALL","126,18","131,4","129,18,13","129,21","129,5","143,19","153,19","174,4",235,Tac
42,"0,ALL","152,14","155,3","152,4,1","152,9","152,6","166,13","174,13","202,3",258,Tac
43,"0,ALL","32,16",-,"38,16,21","38,20","38,3","47,17","57,17","80,10",130,Tac
44,"21,ALL","34,10",-,"37,10,16","37,10","37,2","48,11","58,11","84,12",128,Tac
45,"3,ALL","228,10",-,"233,10,12,15","233,20","233,21","212,14","205,12","223,9",284,Tac
46,"0,ALL","183,13",-,"186,13,14,5","186,15","186,11","197,12","205,12","223,18",264,TD
47,"0,ALL","184,20",-,"190,19,10,22","190,20","190,5","196,15","207,15","231,2",275,TD
48,"0,ALL","194,11",-,"200,12,3,1","200,11","200,5","207,6","217,6","231,2",275,Tac
49,"0,ALL",",20",",11",",11",",15",Tac,,,,,
50,"0,ALL",",13",",9",",9",",17",Tac,,,,,
51,"0,ALL","99,18",-,"107,20,18","107,21","107,16","112,12","127,12","139,15",198,Tac
52,"0,ALL","102,13",-,"108,13,12,16","108,14","108,9","117,11","128,11","147,7",200,Tac
53,"0,ALL","90,10","102,4","97,22,6","97,15","97,2","103,3","116,3","130,4",182,Tac
54,"0,ALL","35,10","45,3","40,11","40,7","40,5","49,4","63,4","76,3",124,Tac
55,"0,ALL","116,22",-,"117,13,12","117,21","117,8","130,15","139,15","154,3",198,OOB
56,"0,ALL","134,16",-,"135,6,14,7","135,10","135,12","144,11","157,11","192,1",224,OOB
57,"0,ALL","173,18",-,"174,4,22","174,15","174,2","192,19",-,"217,19",266,Tac
58,"0,ALL","151,11",-,"153,8,6,11","153,10","153,9","170,3",-,"192,3",232,Tac
59,"0,ALL","177,15",-,"180,15,11,4","180,20","180,1","194,2",-,"219,2",274,Tac
60,"0,ALL","171,13",-,"174,13,9","176,8","176,12","188,7",-,"214,7",254,Tac
61,"0,ALL","127,18",-,"132,18,15,21","132,22","132,6","148,12","153,12","169,13",212,Tac
62,"0,ALL","130,15",-,"132,6,10","132,12","132,17","146,7","157,7","175,13",212,Tac
63,"0,ALL","128,22",-,"132,22,20,19","132,21","132,14","141,17","152,17","169,18",224,TD
64,"0,ALL","158,9","165,8","161,7,3,16","161,5","161,6","171,11","185,11","204,8",245,TD
65,"0,ALL","166,18",-,"170,18,16","170,22","170,2","180,9","193,1","210,4",249,TD
66,"0,ALL","168,5",-,"170,5,14","170,4","170,11","183,12","201,12","204,5",268,TD
67,"0,ALL","38,14",-,"41,14","46,19","41,3","51,21","63,21","82,22",127,Tac
68,"0,ALL","54,16",-,"56,16,6","56,4","56,7","67,9","77,9","96,4",136,Tac
69,"0,ALL","25,12","31,17","28,12,21,18","28,22","28,7","42,20","55,20","78,17",102,Tac
70,"12,ALL","45,6","45,8","45,6,11,4","45,15","45,10","54,7","80,7","98,8",129,Tac
71,"0,ALL","100,14","110,6","109,14,21","109,22","108,3","112,7","125,7","138,6",169,OOB
72,"0,ALL","139,14","147,3","144,14,5","144,11","144,18","152,10","165,10","175,3",201,OOB
73,"0,ALL","143,12",-,"148,18,19,12","148,2","148,20","153,15",-,"179,15",223,Fumble
74,"0,ALL",[?],-,[?],[?],[?],[?],-,[?],[?],Fumble
75,"0,ALL","43,21","52,5","46,24,20","46,9","46,8","54,14","76,14","90,5",144,TD
76,"0,ALL","46,10","51,4","46,10,7","46,11","46,2","57,3","67,3","92,4",147,TD
77,"0,ALL","74,21",-,"77,22,19,21","77,20","77,5","87,12","97,12","110,8",164,Tac
78,"0,ALL","154,11",-,"158,11,7,12","158,13","158,21","168,10","179,10","172,16",251,Tac
79,"5,ALL","82,22",-,"86,22","86,18","86,5","95,15","100,15","125,19",166,OOB
80,"0,ALL","62,15",-,"62,15,10","62,7","62,6","71,12","82,12","101,8",132,OOB
81,"7,ALL","51,15","51,12","55,15,13","55,22","55,9","67,21","75,21","89,12",131,Tac
