Video Name:,CrackToss,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,
Video #,Pre Snap,Ball Snap,Crack Block,Pull Blocks,Snap Receive,Toss,Ball Carry,End of OL Block,End of Play
1,"25,ALL",OOB,-,-,-,-,-,-,-
2,"0,ALL",OOB,-,-,-,-,-,-,-
3,"0,ALL","102,15","113,1","105,17,11","103,16","109,16","135,3",191,Tac
4,"0,ALL","110,19","117,16","117,15,11","112,20","119,20","143,10",206,Tac
5,"0,ALL","199,16","202,10","202,15","205,12","212,14","239,2",260,Tac
6,"0,ALL","207,22","221,27","211,1","212,15","217,15","249,11",299,Tac
7,"0,ALL","234,15","244,13","244,24","241,12","244,12","272,1",307,Tac
8,"0,ALL","113,20","126,22","114,1","115,14","126,14","148,5",219,Tac
9,"0,ALL","200,15","204,13","204,12,24","202,20","210,20","235,1",310,TD
10,"0,ALL","217,18","220,17,7","220,2,6","221,16","227,16","255,3",324,TD
11,"0,ALL","112,14","115,3","115,20","117,16","122,16","147,1",215,Tac
12,"0,ALL","48,6","51,5","51,3","51,8","58,8","82,2",142,Tac
13,"0,ALL","194,21","197,11,2","197,8","196,15","203,15","231,6",307,Tac
14,"2,ALL","169,16","172,23","172,18","171,12","177,12","204,20",278,Tac
15,"0,ALL","17,2","20,8,6","20,15","19,18","24,18","51,2",119,Tac
16,"0,ALL","43,16","47,4","47,2","47,9","59,9","77,1",150,Tac
17,"0,ALL","171,12","174,1","174,18","185,19","194,19","207,16",256,Tac
18,"0,ALL","213,22","216,18","216,2","228,14","229,14","250,1",284,Tac
19,"0,ALL","226,20","223,14,19","223,10","229,21","246,21","265,4",332,OOB
20,"0,ALL","200,17","203,16,10","203,11","204,18","221,18","247,2",306,OOB
21,"9,ALL","129,17","131,7","131,3","132,21","145,21","166,6",228,OOB
22,"0,ALL","142,20","148,12","145,1","146,17","159,17","182,4",240,OOB
23,"0,ALL","80,13","83,8,3","83,20","83,15","102,15","120,5",199,Tac
24,"4,ALL","126,22","129,8","129,14","130,6","148,6","165,16",221,Tac
25,"0,ALL","136,16","139,10","139,24,19","138,13","157,13","171,4",204,OOB
26,"0,ALL","141,20","144,9","144,1,7","146,17","162,17","182,5",231,OOB
27,"2,ALL","97,7","100,13","100,19,5","102,16","122,16","141,10",186,Tac
28,"0,ALL","124,6","127,13","127,9","130,15","152,15","169,11",211,Tac
29,"0,ALL","6,17","9,4,19","9,18,2","32,15","37,15","79,6",167,TD
30,"0,ALL","31,12","34,4","34,1,10","57,4","66,4","100,7",233,OOB
31,"0,ALL","90,11","93,5,2","93,15,16","114,17","125,17","170,22",318,
32,"0,ALL",-,-,-,-,-,-,-,-
33,"0,ALL","16,6","19,13","19,4","24,1","29,1","49,3",88,TD
34,"3,ALL",",5",",5",-,-,-,-,-,-
35,"0,ALL","22,11","25,13","25,22","30,6","32,6","50,3",83,TD
36,"0,ALL","15,16","18,5","18,2,10","22,13","24,13","44,8",91,TD
37,"19,ALL","36,18","39,13","39,1,15","45,20","47,20","68,23",120,TD
38,"0,ALL","27,16","30,13","30,15","37,12","44,12","57,8","80,116",Tac
39,"0,ALL","66,12","69,18","69,13","75,7","79,7","96,10","114,157",Tac
40,"0,ALL","57,11","60,19","60,3","68,7","71,7","89,8","116,145",Tac
41,"0,ALL","69,21","72,5","72,3,6","77,14","78,14","88,11","126,160",Tac
42,"0,ALL","88,13","91,4","91,1,16","95,15","97,15","111,10","159,167",Tac
43,"0,ALL","68,17","71,8","71,4,6","79,12","83,12","92,14","126,152",Tac
44,"0,ALL","81,11","84,3","84,14","95,10","99,10","113,8",140,Tac
45,"0,ALL","60,20","63,18","63,15,1","70,13","73,13","93,9",108,Tac
46,"0,ALL","76,7","79,19","79,16,1","90,10","92,10","112,8",135,Tac
47,"0,ALL","138,20","141,15","141,21,17","142,22","159,22","172,11","200,227",Tac
48,"0,ALL","70,16","73,11","73,3,6","71,18","89,18","104,5","117,154",Tac
49,"0,ALL","79,21","82,11","82,18,3","81,12","97,12","113,5","135,168",Tac
50,"15,ALL","19,20","22,17","22,20","30,16","33,16","51,10","80,93",Tac
51,"2,ALL","9,22","12,23","12,19,21","22,5","23,5","44,21","68,88",Tac
52,"0,ALL","51,14","54,8","54,2","63,15","67,15","86,6","111,133",Tac
53,"0,ALL","59,16","62,17","62,18,19","61,21","76,21","91,13","117,146",Tac
54,"0,ALL","47,13","50,17","50,12,6","51,11","67,11","86,2","100,126",Tac
55,"0,ALL","104,20","107,11","107,10,2","109,16","128,16","144,14","148,187",Tac
56,"0,ALL","123,17","126,14","126,24","136,6",-,"153,6",169,TD
57,"0,ALL","135,15","138,1","138,4","147,11",-,"163,17",187,TD
58,"0,ALL","154,12","157,7","157,10","167,8",-,"182,8",207,TD
59,"0,ALL","47,13","50,14","50,21","51,12","61,12","77,2",107,Tac
60,"0,ALL","18,14","21,13","21,11","23,12","33,12","50,2",77,Tac
61,"16,ALL","34,23","37,20","37,22","39,29","47,29","67,16",88,Tac
62,"0,ALL","304,16","307,3","307,2","315,17","319,17","340,22",364,Tac
63,"7,ALL","268,18","271,16","271,4,8","280,13","284,13","300,11",342,Tac
64,"0,ALL","312,16","315,12","315,2,3","321,13","325,13","342,5",366,Tac
65,"0,ALL","58,21","61,3","61,14","66,16",-,"70,16",112,Tac
66,"0,ALL","29,18","32,17","32,5","41,7",-,"42,7",95,Tac
67,"4,ALL","31,6","34,16","34,5","40,10",-,"41,10",100,Tac
68,"5,ALL","35,21","38,19,3","38,9,22","41,20","44,20","59,14","92,111",Tac
69,"3,ALL","18,12","21,28","21,22,23","27,25","33,25","50,20","77,105",Tac
70,"0,ALL","16,17","19,14","19,12,11","23,10","27,10","41,6","88,117",Tac
71,"0,ALL","107,19","107,13","107,2","110,23","116,23","159,13",176,Tac
72,"0,ALL","71,14","83,18","74,4","75,16","83,16","103,2","131,171",Tac
73,"0,ALL","100,19","103,26","103,6","103,16","108,16","134,9","161,212",Tac
74,"0,ALL","106,4","109,3","109,10,20","117,22","123,22","140,5",167,Tac
75,"0,ALL","55,16","58,14","58,15,9","62,12","71,12","88,5",123,Tac
76,"8,ALL","110,12","113,11","113,17,2","117,21","124,21","140,22",176,Tac
77,"0,ALL","90,7","93,1","93,14,11","101,22","105,22","122,19",169,Tac
78,"0,ALL","76,15","79,16","79,7,4","87,13","92,13","111,17",148,Tac
79,"0,ALL","75,15","78,12","78,2,4","85,14","90,14","108,10",138,Tac
80,"0,ALL","59,22","62,24","62,5","66,14","69,14","88,9",144,TD
81,"7,ALL","30,29","33,15","33,4,27","37,2","42,2","60,26",114,TD
82,"0,ALL","66,6","69,5,3","69,18,12","75,9","79,8","97,4",144,TD
83,"0,ALL","269,16","272,6","272,14","274,18","279,18","298,21",346,Tac
84,"0,ALL","241,13","244,17","244,3,21","250,9","254,9","272,7",328,Tac
85,"8,ALL","242,14","245,29","245,12,14","253,23","257,23","276,26",324,Tac
86,"0,ALL","143,18","147,2","147,7,5","150,19","156,19","174,13",236,OOB
87,"0,ALL","152,15","160,29","155,3","155,11","162,11","184,11","204,230",OOB
88,"0,ALL","208,33","226,37","211,1","212,15","221,15","239,4",293,OOB
89,"0,ALL","250,10","253,16","253,17,20","262,13","265,13","282,2",323,OOB
90,"0,ALL","322,17","325,7","325,6,11","334,14","336,14","353,28","319,423",OOB
91,"0,ALL","293,13","296,9","296,18,13","300,16","306,16","320,6","337,378",OOB
92,"0,ALL","299,19","302,23","302,21","314,5","319,5","332,15",367,Tac
93,"0,ALL","274,5","277,6,4","277,11","284,8","288,8","304,9",316,Tac
94,"0,ALL","277,12","280,8,6","280,1","288,13","293,13","309,10",348,Tac
95,"0,ALL","120,16","123,19,3","123,4","123,17","126,17","150,6",217,Tac
96,"0,ALL","67,18","70,17","70,3","71,12","75,12","100,4",166,Tac
97,"0,ALL","37,14","40,21","40,11","41,16","48,16","70,5",132,Tac
98,"0,ALL","21,17","24,21","24,1","30,5",",5",,,
101,"0,ALL","186,19","188,3","189,39","190,7","195,7","217,10",272,Tac
102,"0,ALL","118,17","123,19","121,11","121,15","126,15","148,5",201,Tac
103,"0,ALL","123,12","126,20","121,11","125,18","133,18","154,16",207,Tac
