Video Name:,Crosses25+ (Deep Cross),,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Run Deep Cross Route,Throw Pass,Ball Carry,End of Play
1,"0,ALL","6,18","9,OL","20,26,11","20,197,11","117,124,11","198,57",TD
2,"0,ALL",-,"-,OL",-,-,-,TD,
3,"0,ALL","21,19","24,OL","34,37,15","34,246,3","175,185,15","249,27",OOB
4,"0,ALL",-,"-,OL",-,-,-,OOB,
5,"0,ALL","21,18","24,OL","35,39,7","35,205,2","129,138,7",-,TD
6,"0,ALL",-,"-,OL",-,-,-,TD,
7,"0,ALL","10,17","13,OL","25,28,13","25,193,2","105,115,13","195,2",Tac
8,"0,ALL",-,"-,OL",-,-,-,Tac,
9,"0,ALL","14,10","17,OL","28,30,14","28,180,4","105,117,14","185,4",TD
10,"0,ALL",-,"-,OL",-,-,-,TD,
11,"0,ALL",-,"3,OL","2,6,21","6,204,4","107,116,21",-,TD
12,"0,ALL",-,"-,OL",-,-,-,TD,
13,"0,ALL","8,11","11,OL","20,23,13","20,190,1","116,124,13",-,OOB
14,"0,ALL",-,"-,OL",-,-,-,OOB,
15,"0,ALL","8,14","11,OL","26,29,10","26,199,3","122,132,20",-,Completion
16,"0,ALL",-,"-,OL",-,-,-,,Completion
17,"0,ALL","10,20","13,OL","14,17,18","14,166,4","96,104,18","168,4",TD
18,"0,ALL",-,"-,OL",-,-,-,TD,
19,"0,ALL","16,14","19,OL","28,31,15","28,210,0","121,131,15",-,Comp.
20,"0,ALL",-,"-,OL",-,-,-,Comp.,
21,"0,ALL","23,13","27,OL","38,41,8","38,209,0","148,158,8",-,'
22,"0,ALL",-,"-,OL",-,-,-,',
23,"0,ALL","1,19","4,OL","9,12,2","9,148,1","82,91,2","152,1",OOB
24,"0,ALL",-,"-,OL",-,-,-,OOB,
25,"0,ALL","15,21","18,OL","37,39,20","37,221,3","124,141,20",-,TD
26,"0,ALL",-,"-,OL",-,-,-,TD,
27,"0,ALL","8,20","11,OL","24,27,16","24,175,12","112,122,16",-,Tac
28,"0,ALL",-,"-,OL",-,-,-,Tac,
29,"0,ALL","3,19","6,OL","15,18,14","15,183,2","97,106,14","186,2",TD
30,"0,ALL",-,"-,OL",-,-,-,TD,
31,"0,ALL","2,16","5,OL","17,20,15","17,173,0","95,103,15",-,Tac
32,"0,ALL",-,"-,OL",-,-,-,Tac,
33,"0,ALL","23,16","26,OL","39,42,13","39,198,4","117,126,13","185,4",Tac
34,"0,ALL",-,"-,OL",-,-,-,Tac,
35,"0,ALL","12,17","15,OL","16,18,12","28,203,25","134,147,12","204,25",TD
36,"0,ALL",-,"-,OL",-,-,-,TD,
37,"0,ALL",-,"10,OL","12,15,15","15,190,1","104,114,15","191,1",TD
38,"0,ALL",-,"-,OL",-,-,-,TD,
39,"0,ALL","12,14","15,OL","27,30,13","27,185,1","128,137,13","189,1",Tac
40,"0,ALL",-,"-,OL",-,-,-,Tac,
41,"0,ALL","17,18","20,OL","30,33,19","30,243,0","158,166,19","244,0",TD
42,"0,ALL",-,"-,OL",-,-,-,TD,
43,"0,ALL","22,20","25,OL","36,39,9","36,171,3","115,123,9",-,Tac
44,"0,ALL",-,"-,OL",-,-,-,Tac,
45,"0,ALL","14,19","17,OL","29,32,16","29,188,1","111,120,16","191,1",TD
46,"0,ALL",-,"-,OL",-,-,-,TD,
47,"0,ALL","19,17","22,OL","33,36,13","33,206,8","122,138,13","218,8",Tac
48,"0,ALL",-,"-,OL",-,-,-,Tac,
49,"0,ALL","11,14","14,OL","26,29,12","26,190,11","109,120,12",-,Tac
