Video Name:,Dagger,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Throw Pass,Clear Out Route,Dig Route,End of Play,,
1,"0,ALL","158,11","161,OL","174,14","246,259,14","174,256,1","174,297,0",Rec,,0
3,"0,ALL","181,7","184,OL","185,20","263,272,20","199,272,1","199,311,0",Rec,,
5,"0,ALL","215,12","218,OL","232,19","300,308,19","232,308,2","232,308,7",Checkdown,,
6,"0,ALL","70,16","73,OL","76,15","189,198,15","76,198,9","76,246,14",Rec,,
8,"0,ALL","182,19","185,OL","188,16","276,285,16","194,285,5","194,322,9",Rec,,
10,"0,ALL","88,14","91,OL","93,21","184,192,21","110,192,4","110,238,18",Rec,,
12,"0,ALL","134,8","137,OL","139,18","227,236,18","155,236,5","155,276,17",Rec,,
14,"5,ALL","184,19","187,OL","188,25","283,291,25","204,291,4","204,329,15",TD,,
16,"0,ALL","190,12","193,OL","204,13","291,299,13","215,358,5","215,311,2",Rec,,
18,"0,ALL","116,15","119,OL","122,1","218,227,1","143,227,5","143,278,12",Rec,,
24,"0,ALL","130,12","133,OL","134,18","221,232,18","147,232,1","147,269,0",Rec,,
26,"0,ALL","180,17","183,OL","185,14","279,289,14","205,289,6","205,332,0","Rec,Fum",,
28,"0,ALL","163,19","166,OL","167,17","270,284,17","182,285,2","182,332,3",Rec,,
30,"0,ALL","148,21","151,OL","154,20","245,254,20","163,254,0","163,292,7",Rec,,
32,"0,ALL","180,13","183,OL","184,8","280,289,8","201,289,4","201,324,1",Rec,,
34,"0,ALL","139,9","142,OL","143,12","232,241,12","158,241,16","158,280,5",Rec,,
36,"0,ALL","215,18","218,OL","219,11","313,323,11","231,323,4","231,376,5",Rec,,
38,"0,ALL","329,18","332,OL","333,14","418,428,14","354,428,11","354,475,9",Rec,,
39,"0,ALL","143,20","147,OL","152,9","210,220,9","161,220,1","161,250,7",TD,,
41,"0,ALL","374,15","377,OL","378,22","452,462,22","389,462,14","389,497,4",Rec,,
46,"0,ALL","191,10","194,OL","196,2","271,280,2","204,280,13","204,303,6",Rec,,
