Video Name:,Draw,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Pass Drop,Handoff,Ball Carry,End of OL Block,End of Play
1,"0,ALL","68,17","70,OL","80,15","84,15",-,"118,15",158,Tac
2,"0,ALL","57,11","60,OL","67,6","71,6",-,"102,6",147,Tac
3,"0,ALL","64,18","67,OL","83,19","87,19",-,"100,19",150,Tac
4,"0,ALL","20,13","23,OL","40,10","46,10",-,"64,10",102,Tac
5,"0,ALL",",OL",-,Tac,-,-,-,-,-
6,"0,ALL","32,11","35,OL","46,8","51,8",-,"98,8",139,Tac
7,"0,ALL","58,6","61,OL","75,22","83,22",-,"104,22",136,Tac
8,"0,ALL","41,7","44,OL","53,11","61,11",-,"81,11",111,Tac
9,"0,ALL","44,13","47,OL","59,14","62,14",-,"90,14",134,OOB
10,"0,ALL","40,10","43,OL","54,6","58,6",-,"86,6",123,OOB
11,"0,ALL","41,9","44,OL","47,22","53,22",-,"85,22",133,Tac
12,"0,ALL","42,21","45,OL","48,16","52,16",-,"83,16",139,Tac
13,"5,ALL","51,14","54,OL","64,18","76,18",-,"99,18",154,OOB
14,"16,ALL","38,8","41,OL","52,11","65,11",-,"88,11",141,OOB
15,"6,ALL","47,20","50,OL","62,9","66,9",-,"104,9",149,Tac
16,"0,ALL","43,13","47,OL","55,7","59,7",-,"87,7",155,Tac
17,"0,ALL","55,20","58,OL","68,10","71,10",-,"96,10",152,Tac
19,"0,ALL","60,21","63,OL","72,22","77,22",-,"101,22",130,Slide
20,"0,ALL","48,7","51,OL","63,9","65,9",-,"92,9",116,Slide
21,"0,ALL","61,9","64,OL","67,22","66,22",-,"101,22",146,OOB
22,"0,ALL","28,13","31,OL","34,12","38,12",-,"69,12",113,OOB
23,"0,ALL","32,17","35,OL","47,5","50,5",-,"74,5",131,Slide
24,"10,ALL","49,5","52,OL","64,11","69,11",-,"96,11",131,Slide
25,"0,ALL","53,11","56,OL","70,22","72,22",-,"100,22",153,TD
26,"0,ALL","43,12","46,OL","57,13","61,13",-,"90,13",180,TD
27,"0,ALL","11,18","14,OL","25,8","30,8",-,"56,8",86,OOB
28,"0,ALL","103,10","106,OL","117,11","123,11",-,"145,11",178,OOB
29,"32,ALL","75,22","78,OL","87,17","93,17",-,"127,17",181,Tac
30,"16,ALL","59,12","62,OL","74,11","89,11",-,"108,11",166,Tac
31,"0,ALL","63,15","66,OL","78,14","82,14",-,"106,14",153,Tac
32,"0,ALL","70,5","73,OL","85,7","91,7",-,"115,7",151,Tac
33,"0,ALL","45,20","48,OL","65,18","72,18",-,"95,18",126,OOB
34,"0,ALL","19,10","22,OL","39,5","46,5",-,"68,5",102,OOB
35,"0,ALL","31,20","34,OL","47,18","52,18",-,"76,18",116,Tac
36,"0,ALL","24,17","27,OL","39,7","43,7",-,"51,7",108,Tac
37,"0,ALL","66,22","69,OL","79,5","84,5","102,5","118,10",145,Tac
38,"0,ALL","56,10","59,OL","74,12","77,12","91,12","110,7",148,Tac
39,"0,ALL","41,15","44,OL","58,4","61,4","70,4","82,8",114,OOB
40,"0,ALL","70,5","73,OL","84,11","86,11","101,11","113,14",158,OOB
41,"0,ALL","29,21","32,OL","40,13","42,13",-,"67,13",108,Tac
42,"0,ALL","38,9","41,OL","52,5","55,5",-,"85,5",117,Tac
43,"0,ALL","62,21","65,OL","76,10","78,10",-,"104,10",134,TD
44,"0,ALL","63,10","66,OL","76,2","80,2",-,"102,2",130,TD
45,"0,ALL","39,22","42,OL","56,20","62,20",-,"96,20",123,Slide
46,"0,ALL","38,2","41,OL","57,4","62,4",-,"95,4",113,Slide
47,"0,ALL","61,11","64,OL","76,14","80,14",-,"110,14",133,OOB
48,"0,ALL","31,13","34,OL","44,2","49,2",-,"86,2",109,OOB
49,"0,ALL","38,9","41,OL","52,19","55,19",-,"87,19",136,Tac
50,"0,ALL","51,10","54,OL","65,11","71,11",-,"107,11",150,Tac
51,"5,ALL","46,21","49,OL","62,19","66,19",-,"107,1",163,TD
52,"2,ALL","46,10","49,OL","62,6","68,6",-,"107,6",162,TD
53,"0,ALL","40,18","43,OL","56,7","60,7",-,"85,7",106,Tac
54,"0,ALL","43,10","46,OL","57,7","62,7",-,"83,7",109,Tac
55,"0,ALL","35,11","38,OL","51,14","54,14",-,"98,14",133,Tac
56,"0,ALL","60,14","69,OL","62,3","88,5",-,"125,5",158,Tac
57,"0,ALL","41,21","44,OL","51,14","61,14",-,"83,14",105,Tac
58,"13,ALL","77,15","80,OL","88,10","92,10",-,"116,10",164,Tac
59,"6,ALL","43,22","46,OL","55,3","58,3",-,"83,3",157,Tac
60,"0,ALL","50,12","53,OL","62,11","69,11",-,"94,11",163,Tac
61,"0,ALL","39,21","42,OL","54,13","60,13",-,"74,13",104,Tac
62,"0,ALL","49,12","52,OL","65,11","70,11",-,"90,11",113,Tac
63,"0,ALL","49,20","52,OL","66,9","70,9",-,"127,9",210,OOB
64,"0,ALL",",OL",-,OOB,,,,,
65,"0,ALL","31,21","34,OL","45,20","50,20",-,"80,20",101,Tac
66,"0,ALL","34,7","37,OL","48,9","51,9",-,"81,9",101,Tac
67,"0,ALL","26,17","29,OL","40,14","48,14",-,"78,14",141,Tac
68,"0,ALL","27,11","30,OL","41,12","49,12",-,"82,12",150,Tac
69,"0,ALL","36,20","39,OL","54,15","58,15",-,"77,15",130,Tac
70,"0,ALL","19,11","22,OL","34,5","41,5",-,"66,5",115,Tac
71,"0,ALL","72,13","75,OL","88,17","93,17",-,"111,17",156,Tac
72,"0,ALL","70,3","73,OL","85,8","88,8",-,"107,8",148,Tac
73,"0,ALL","47,13","50,OL","61,20","73,20",-,"101,20",148,OOB
74,"0,ALL","23,7","26,OL","35,5","48,5",-,"75,5",121,OOB
75,"0,ALL","56,12","59,OL","71,21","79,21",-,"113,21",150,Tac
76,"0,ALL","25,5","28,OL","41,9","43,9",-,"81,9",112,Tac
77,"0,ALL","51,13","54,OL","64,5","73,5",-,"85,5",150,Tac
78,"0,ALL","27,11","30,OL","40,12","47,12",-,"56,12",129,Tac
79,"0,ALL","31,18","34,OL","49,17","57,17",-,"69,17",105,Tac
80,"0,ALL","12,","15,OL","28,8",-,-,"47,8",89,Tac
