Video Name:,Duo,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,
Video #,Pre Snap,Ball Snap,Snap Receive,Handoff,Combo Blocks,Ball Carry,Block Second Level,End of OL Block,End of Play
1,"0,ALL",-,-,-,"52,19;11;20;18","86,5","115,23",147,Tac
2,"0,ALL",-,-,-,"72,10;3;11;14","103,2","100,10",133,Tac
3,"0,ALL",-,-,-,"236,9;14;21;7","260,11","265,14",305,Tac
4,"0,ALL",-,-,-,"210,10;24;[?];3","237,5","239,24",277,Tac
5,"0,ALL",-,-,-,"115,21;18;12;19","155,0","157,22",181,Tac
6,"0,ALL",-,-,-,"140,10;12;13;14","171,0","192,5",210,Tac
7,"0,ALL",-,-,-,"195,20;8;19;18","218,11","243,19",280,Tac
8,"0,ALL",-,-,-,"195,5;15;8;12","221,0","223,15",246,Tac
9,"0,ALL",-,-,-,"91,15;5;17;21","113,4",-,151,Tac
10,"0,ALL",-,-,-,"93,15;8;4;18","119,11","122,4",141,Tac
11,"0,ALL",-,-,-,"58,15;8;11;17","83,4","73,17",116,Tac
12,"0,ALL",-,-,-,"247,14;2;12;8","270,0","260,14",305,Tac
13,"0,ALL",-,-,-,"228,13;20;18;[?]","246,2","256,3",295,Tac
14,"0,ALL",-,-,-,"250,8;11;17;12","272,2","264,18",322,Tac
15,"0,ALL",-,-,-,"105,5;9;15","119,12",-,154,Tac
16,"0,ALL",-,-,-,"47,17;15;8;7","60,3",-,86,Tac
17,"0,ALL",-,-,-,"201,15;17","218,4","221,15",253,Tac
18,"0,ALL",-,-,-,"189,15;5;10;15","213,3","215,15",249,Tac
19,"0,ALL",-,-,-,"132,22;18","151,5",-,164,Tac
20,"0,ALL",-,-,-,"114,17;5","142,1",-,154,Tac
21,"0,ALL",-,-,-,"228,14;20;22;4",-,"248,4",389,Tac
22,"0,ALL",-,-,-,"223,4;21;1;10",-,"248,4",289,Tac
23,"0,ALL",-,-,-,"127,18;12;15;19",-,-,177,Tac
24,"0,ALL",-,-,-,"192,14;2;5;10",-,"213,10",257,Tac
25,"0,ALL",-,-,-,"167,19;220",-,"174,19",212,Tac
26,"0,ALL",-,-,-,"93,9;15;14;24",-,"96,14",147,Tac
27,"0,ALL",-,-,-,"165,11;21",-,-,215,Tac
28,"0,ALL",-,-,-,"168,15;16;11;14",-,"185,10",224,Tac
29,"0,ALL",-,-,-,"170,17;10;19;2",-,"195,10",218,Tac
30,"0,ALL",-,-,-,"185,15;19;16;17",-,"203,25",240,Tac
31,"0,ALL",-,-,-,"151,2;3;11;17",-,"160,3",193,Tac
32,"0,ALL",-,-,-,"520,3;7;15;21",-,"547,15",566,Tac
33,"0,ALL",-,-,-,"256,14;9;17;6",-,"258,6",304,Tac
34,"0,ALL",-,-,-,"186,17;11",-,-,262,Tac
35,"0,ALL",-,-,-,"164,17;1;22;8",-,"199,7",230,Tac
36,"0,ALL",-,-,-,"87,12;17;22;20",-,"125,14",145,Tac
37,"0,ALL",-,-,-,"164,4;21;3;11",-,"192,3",220,Tac
38,"0,ALL",-,-,-,"184,18;21;[?]",-,-,240,Tac
39,"0,ALL",-,-,-,"241,11;5",-,"236,5",273,Tac
40,"0,ALL",-,-,-,"170,7;15",-,"181,22",220,Tac
41,"0,ALL",-,-,-,"127,4;15;9;12",-,"200,10",224,Tac
42,"0,ALL",-,-,-,"175,13;4;18;24",-,"160,13",193,TD
43,"0,ALL",-,-,-,"149,24;5;7;3",-,"172,7",201,TD
44,"0,ALL",-,-,-,"154,?",-,?,218,Tac
45,"0,ALL",-,-,-,-,-,-,-,-
46,"0,ALL",-,-,-,"120,1;3;17;9",-,"138,3",191,Tac
47,"0,ALL",-,-,-,"160,21;18",-,-,215,Tac
48,"0,ALL",-,-,-,"141,22;32;18;21",-,-,179,Tac
49,"0,ALL",-,-,-,"144,18;15",-,-,188,Tac
50,"0,ALL",-,-,-,"157,15;14",-,"141,0",194,Tac
51,"0,ALL",-,-,-,-,-,-,-,-
52,"0,ALL",-,-,-,"132,0;7",-,-,170,Tac
53,"0,ALL",-,-,-,"241,21;19;16;10",-,"256,19",299,Tac
54,"0,ALL",-,-,-,"153,11;1;13;10",-,"171,11",207,Tac
55,"0,ALL",-,-,-,"70,17;5;20;15",-,-,130,Tac
56,"0,ALL",-,-,-,"87,18;5;13;5",-,-,133,Tac
57,"0,ALL",-,-,-,"273,18;21;15;9",-,-,311,Tac
58,"0,ALL",-,-,-,"270,10;13;27;15",-,-,305,Tac
59,"0,ALL",-,-,-,"189,[?]",-,-,218,Tac
60,"0,ALL",-,-,-,"162,17;20;19;11",-,-,201,Tac
61,"0,ALL",-,-,-,"150,20;15;12;18",-,"156,21",207,Tac
62,"0,ALL",-,-,-,"28,14;15;21;16",-,"32,14",87,Tac
63,"0,ALL",-,-,-,"150,18;22;11;15",-,-,205,TD
64,"0,ALL",-,-,-,"73,15;5;18;14",-,-,135,TD
65,"0,ALL",-,-,-,"97,20;12;1",-,-,135,Tac
66,"0,ALL",-,-,-,"146,3;1",-,-,196,Tac
67,"0,ALL",-,-,-,"124,9;19",-,-,173,Tac
68,"0,ALL",-,-,-,"69,5;10",-,-,119,Tac
69,"0,ALL",-,-,-,"187,20;19",-,"211,20",232,Tac
70,"0,ALL",-,-,-,"144,9;8",-,"160,9",185,Tac
71,"0,ALL",-,-,-,"120,17;8;11;19",-,-,163,Tac
72,"0,ALL",-,-,-,"105,5;12;3;20",-,-,150,Tac
73,"0,ALL",-,-,-,"47,20;21",-,-,89,Tac
74,"0,ALL",-,-,-,"45,1;12",-,-,87,Tac
75,"0,ALL",-,-,-,"303,11;18;15;17",-,"318,7",350,Tac
76,"0,ALL",-,-,-,"275,18;15;5;11",-,"275,6",311,Tac
77,"0,ALL",-,-,-,"95,15;3;11;4",-,"102,4",143,Tac
78,"0,ALL",-,-,-,"152,13;18;20;12",-,"175,13",194,Tac
79,"0,ALL",-,-,-,"160,0;23;5;8",-,"183,0",207,Tac
80,"0,ALL",-,-,-,"151,20;19;12;18",-,-,231,Tac
81,"0,ALL",-,-,-,"101,11;15;13;18",-,-,143,Tac
82,"0,ALL",-,-,-,"236,18;17;20;[?]",-,?,289,Tac
83,"0,ALL",-,-,-,"196,4;25;5;6",-,"148,5",254,Tac
84,"0,ALL",-,-,-,"115,12;18;20;16",-,"136,18",177,Tac
85,"0,ALL",-,-,-,"87,7;18;15;7",-,"100,15",157,Tac
86,"0,ALL",-,-,-,"57,20;21;2",-,-,115,OOB
87,"0,ALL",-,-,-,"110,5;13;11;17",-,-,172,OOB
88,"0,ALL",-,-,-,"185,18;20;12;14",-,"199,25",229,OOB
89,"0,ALL",-,-,-,"152,9;12;15;11",-,"184,11",208,OOB
90,"0,ALL",-,-,-,"210,15;18;16;22",-,"328,19",371,Tac
91,"0,ALL",-,-,-,"260,1;14;5;2",-,"260,20",329,Tac
92,"0,ALL",-,-,-,-,-,-,-,-
93,"0,ALL",-,-,-,"384,17;25;26;21",-,"405,25",426,Tac
94,"0,ALL",-,-,-,"300,3;18;12;23",-,"320,23",371,Tac
95,"0,ALL",-,-,-,"18,17;3;19",-,"219,19;7",334,Tac
96,"0,ALL",-,-,-,"237,10;11;16;7",-,"256,14;22",311,Tac
97,"0,ALL",-,-,-,"245,10;11",-,-,303,Tac
98,"0,ALL",-,-,-,"289,15;14",-,-,355,Tac
99,"0,ALL",-,-,-,"197,17;19",-,"220,17",278,Tac
100,"0,ALL",-,-,-,"160,13;7",-,"167,7",217,Tac
101,"0,ALL",-,-,-,-,-,-,-,-
102,"0,ALL",-,-,-,-,-,-,-,-
103,"0,ALL",-,-,-,-,-,-,-,-
104,"0,ALL",-,-,-,"41,13;20",-,"63,11",82,Tac
105,"0,ALL",-,-,-,"110,8;4",-,"122,4",158,Tac
106,"0,ALL",-,-,-,"185,18;8;20;4",-,"206,8",246,Tac
107,"0,ALL",-,-,-,"134,11;18;14;15",-,"157,15",193,Tac
108,"0,ALL",-,-,-,"162,21;17;14;19",-,"179,14",221,Tac
109,"0,ALL",-,-,-,"150,10;13;9;14",-,"164,13",209,Tac
110,"0,ALL",-,-,-,"163,16;15",-,?,221,Tac
111,"0,ALL",-,-,-,"117,11;19",-,"116,20",177,Tac
112,"0,ALL",-,-,-,"140,17;16;8;20",-,"156,21",200,OOB
113,"0,ALL",-,-,-,"136,7;10;18;3",-,"136,3",191,OOB
