Video Name:,Field Goal Block,,,,,
,"Key Actions (Frame Number, player track id)",,,,,
Video #,Pre Snap,Long Snap,Place Ball,Kick Ball,Attempt Block,Block Kick
1,"0,ALL","8,18","14,26,11","38,44,12",-,-
2,"0,ALL","0,15","14,28,12","43,52,6",-,"84,61,14"
3,"0,ALL","4,20","21,34,8","46,53,11",-,"67,75,18"
4,"0,ALL","18,17","33,41,7","59,65,6",-,"50,88,9"
5,"0,ALL","10,17","24,36,8","46,51,10",-,"50,68,10"
6,"0,ALL","4,12","19,28,7","42,50,5",-,"37,44,16"
7,"0,ALL","0,18","11,24,9","32,37,5",-,"46,54,8"
8,"0,ALL","4,6","21,34,3","40,45,4",-,"62,76,26"
9,"0,ALL",-,"33,43,7","56,61,0",-,"59,66,1"
10,"0,ALL","13,2","36,34,5","50,56,1",-,"72,80,4"
11,"0,ALL","28,18","38,52,12","66,70,7",-,"58,65,21"
12,"0,ALL","10,23","24,40,22","50,58,9",-,"58,69,26"
13,"0,ALL",-,"26,41,8","49,54,4",-,"53,61,8"
14,"0,ALL","0,7","22,35,3","45,52,1",-,"60,68,14"
15,"0,ALL","14,19","30,43,11","51,59,2",-,"46,62,5"
16,"0,ALL","2,10","18,34,7","42,47,4",-,-
17,"0,ALL",-,"9,26,12","32,36,8",-,"33,51,19"
18,"0,ALL",-,"12,26,2","36,42,1",-,"71,90,8"
19,"5,ALL",-,"43,51,12","70,73,6",-,"48,57,5"
20,"0,ALL","2,12","17,31,2","42,47,1",-,"48,56,19"
21,"0,ALL",-,"20,38,11","44,48,10",-,"52,59,30"
22,"0,ALL","8,17","24,41,8","47,54,2",-,"50,87,15"
23,"0,ALL",-,"23,32,6","41,49,0",-,"48,72,10"
24,"0,ALL","1,12","18,29,1","40,44,0",-,"55,65,26"
25,"0,ALL","11,16","27,40,7","50,53,5",-,"45,56,10"
26,"0,ALL","6,16","21,31,8","43,49,1",-,"60,75,2"
27,"0,ALL",-,"30,51,1","62,66,4",-,"71,91,22"
28,"0,ALL","29,20","42,57,10","67,72,6",-,-
29,"0,ALL",-,"28,53,2",-,-,-
30,"0,ALL",-,-,-,-,"57,67,12"
31,"0,ALL","15,14","30,38,6","55,60,2",-,"55,63,5"
32,"0,ALL","8,14","27,40,11","60,55,5",-,"62,72,10"
33,"0,ALL","10,2","25,32,11","45,58,2",-,"42,54,5"
34,"0,ALL",-,-,"36,46,1",-,"51,58,4"
35,"0,ALL",-,"22,35,6","47,51,0",-,"54,70,11"
36,"0,ALL","13,18","26,42,6","52,57,8",-,"45,53,2"
37,"0,ALL","1,17","18,30,13","41,49,0",-,"40,48,6"
38,"0,ALL",-,"12,26,2","34,40,1",-,"32,42,6"
39,"0,ALL",-,"8,12,3","27,32,1",-,"52,63,21"
40,"0,ALL","14,6","28,40,5","47,52,3",-,"60,67,2"
41,"0,ALL",-,"33,45,6","56,60,4",-,"57,69,6"
42,"0,ALL","16,15","30,43,8","54,57,1",-,"58,73,14"
43,"0,ALL","17,19","31,45,7","54,59,7",-,"53,71,17"
44,"0,ALL","11,12","27,45,6","51,59,0",-,"57,68,21"
45,"0,ALL","26,3","27,35,3","52,57,1",-,"54,62,13"
46,"0,ALL","7,11","24,38,5","49,57,3",-,"42,59,2"
47,"0,ALL",-,"14,28,10","36,42,1",-,"51,58,20"
48,"0,ALL","11,10","26,41,12","47,57,2",-,"49,58,13"
49,"0,ALL","18,14","29,35,11","45,49,4",-,"63,79,12"
50,"0,ALL","18,15","34,46,8","59,63,4",-,"68,80,3"
51,"0,ALL",-,"38,53,11","41,68,9",-,"43,55,17"
52,"0,ALL",-,"14,26,6","40,43,2",-,"37,53,18"
53,"0,ALL",-,"8,19,4","32,37,3",-,"57,78,8"
54,"0,ALL",-,"36,56,3","44,67,1",-,"37,50,25"
55,"0,ALL",-,"10,22,7","31,37,1",-,"24,72,15"
56,"0,ALL",-,"190,203,6","212,214,5",-,"70,86,20"
57,"0,ALL",-,"41,50,5","66,70,2",-,"54,71,10"
58,"0,ALL",-,"23,41,0","49,54,4",-,"59,74,2"
59,"0,ALL",-,"30,46,5","53,59,4",-,"62,79,5"
60,"0,ALL",-,"28,53,2","63,67,0",-,"72,82,3"
61,"0,ALL",-,"38,51,12","67,72,9",-,"45,69,5"
62,"0,ALL",-,"12,25,16","41,45,8",-,"56,69,6"
63,"0,ALL",-,"30,41,5","52,60,7",-,"52,70,11"
64,"0,ALL",-,"27,35,2","48,52,7",-,"46,63,16"
65,"0,ALL",-,"20,31,5","41,46,8",-,"55,65,21"
66,"0,ALL",-,"30,41,1","49,55,2",-,"44,58,17"
67,"0,ALL",-,"15,28,13","39,44,5",-,"72,82,27"
68,"0,ALL",-,"44,56,1","68,72,6",-,"49,58,12"
69,"0,ALL",-,"16,25,5","42,47,2",-,"49,58,12"
70,"0,ALL",-,"6,17,11","32,37,1",-,"37,47,7"
71,"0,ALL",-,"21,34,5","47,48,1",-,"48,68,10"
72,"0,ALL",-,"5,16,8","26,31,3",-,"31,45,20"
73,"0,ALL",-,"16,28,6","40,44,2",-,"44,55,16"
74,"0,ALL",-,"10,20,5","31,37,2",-,"37,47,20"
75,"0,ALL",-,"29,41,7","56,60,4",-,"60,67,3"
76,"0,ALL",-,"26,38,7","52,59,1",-,"58,73,0"
77,"0,ALL",-,"7,29,7","48,53,4",-,"51,72,10"
78,"0,ALL",-,"27,45,10","64,70,0",-,"66,85,4"
79,"0,ALL",-,"14,28,5","36,40,0",-,"40,57,9"
80,"0,ALL",-,"14,27,6","37,44,0",-,"41,57,15"
81,"0,ALL",-,"12,23,7","36,41,0",-,"41,56,2"
82,"0,ALL",-,"17,31,2","43,47,1",-,"47,66,10"
83,"0,ALL",-,"31,45,7","55,59,0",-,"59,79,8"
84,"0,ALL",-,"35,48,11","58,63,2",-,"63,81,8"
85,"0,ALL",-,"11,29,11","38,48,6",-,"45,60,17"
86,"0,ALL",-,"15,23,3","34,41,7",-,"40,57,9"
87,"0,ALL",-,"24,42,11","51,55,7",-,"55,91,9"
88,"0,ALL",-,"20,37,4","47,51,3",-,"51,84,19"
89,"0,ALL",-,"78,101,7","116,120,8",-,"120,142,28"
90,"0,ALL",-,"15,28,4","40,44,0",-,"44,62,20"
91,"0,ALL",-,"32,44,7","50,62,4",-,"62,70,2"
92,"0,ALL",-,"16,28,1","40,46,1",-,"46,70,0"
93,"0,ALL",-,"8,16,10","30,35,12",-,"35,43,11"
94,"0,ALL",-,"5,15,8","24,29,3",-,"27,40,7"
95,"0,ALL",-,"11,19,9","32,38,10",-,"38,49,7"
96,"0,ALL",-,"36,47,8","59,64,0",-,"64,73,19"
97,"0,ALL",-,"21,30,7","43,50,0",-,"50,71,17"
98,"0,ALL",-,"71,87,2","94,101,0",-,"101,110,0"
99,"0,ALL",-,"16,49,7","62,66,0",-,"66,76,16"
100,"0,ALL",-,"13,24,6","31,39,0",-,"39,47,4"
101,"0,ALL",-,"20,31,5","50,56,1",-,"57,67,21"
102,"0,ALL",-,"192,206,18","220,226,4",-,"223,243,16"
103,"0,ALL",-,"28,41,14","54,60,1",-,"60,80,15"
104,"0,ALL",-,"9,15,0","30,31,2",-,"34,48,17"
105,"0,ALL",-,"14,26,11","37,37,4",-,"37,48,7"
106,"0,ALL",-,"55,64,0","76,78,1",-,"78,89,8"
107,"0,ALL",-,"23,34,2","46,53,3",-,"53,64,23"
108,"0,ALL",-,"32,46,3","57,62,0",-,"62,77,8"
109,"0,ALL",-,"23,35,9","46,52,0",-,"52,67,18"
110,"0,ALL",-,"26,39,4","49,55,0",-,"55,73,7"
111,"0,ALL",-,"17,26,4","39,44,1",-,"44,65,4"
112,"18,ALL",-,"18,29,6","41,47,18",-,"47,60,9"
113,"0,ALL",-,"15,21,3","38,45,4",-,"45,61,17"
114,"0,ALL",-,"20,32,5","43,47,3",-,"47,62,16"
115,"0,ALL",-,"23,34,10","47,51,6",-,"51,66,2"
116,"0,ALL",-,"6,16,5","31,36,2",-,"36,65,8"
117,"0,ALL",-,"28,39,3","52,56,2",-,"56,69,2"
118,"0,ALL",-,"22,36,3","46,52,8",-,"52,86,20"
119,"0,ALL",-,"29,45,10","50,56,6",-,"55,64,17"
120,"0,ALL",-,"35,48,7","57,64,1",-,"61,74,22"
121,"0,ALL",-,"13,21,9","35,40,3",-,"46,52,2"
122,"0,ALL",-,"22,33,5","46,49,4",-,"49,71,6"
123,"0,ALL",-,"20,31,4","45,50,2",-,"50,65,2"
124,"0,ALL",-,"45,58,12","69,72,4",-,"72,91,14"
125,"0,ALL",-,"9,20,9","33,37,1",-,"37,59,5"
