Video Name:,Hitch9to15,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Run Hitch Route,Throw Pass,Ball Carry,End of Play,,0
1,"0,ALL","11,14","14,OL","25,10","29,111,17","74,83,10","112,17",Tac,,
2,"0,ALL","4,10","7,OL","20,0","20,111,4","59,68,0","112,4",Tac,,
4,"0,ALL",",15",",OL",",19",",1",",19",",11",Tac,,
5,"0,ALL","5,14","8,OL","21,42,8","21,127,13","79,99,8","136,13",Tac,,
6,"0,ALL",",19",",OL",",15",",13",",15",",13",Tac,,
8,"0,ALL","10,19","14,OL","26,34,7","26,120,6","87,97,7","122,6",Tac,,
9,"0,ALL",",OL",-,-,Tac,-,-,-,,
10,"0,ALL","8,6","11,OL","22,29,7","22,109,3","94,105,7","133,3",Tac,,
12,"0,ALL","27,16","30,OL","41,48,13","41,116,18","107,116,13","144,18",Tac,,
14,"0,ALL","-,","4,OL","15,3","15,86,1","76,86,3","127,1",Tac,,
16,"0,ALL","12,18","15,OL","27,14","27,101,4","91,101,14","153,4",OOB,,
17,"0,ALL",",OL",-,-,Tac,-,-,-,,
18,"0,ALL","20,13","23,OL","36,44,17","36,110,1","110,121,17","149,1",Tac,,
20,"0,ALL","15,14","18,OL","28,37,9","28,91,8","77,91,9","116,8",Tac,,
22,"0,ALL","25,17","28,OL","39,57,14","39,114,1","107,117,4","146,1",Tac,,
24,"0,ALL",",19",",OL",",16",",0",",16",",0",OOB,,
26,"0,ALL",",13",",OL",",16",",2",",16",",2",Tac,,
28,"0,ALL","18,9","21,OL","30,36,13","30,100,18","74,85,13","126,18",OOB,,
30,"0,ALL","1,20","4,OL","14,23,13","14,88,0","74,83,13","130,0",Tac,,
32,"0,ALL","1,20","4,OL","11,26,14","20,104,11","81,89,14","114,11",Tac,,
34,"0,ALL",",19","4,OL","7,12,13","12,78,4","61,71,13","114,4",OOB,,
36,"0,ALL","1,20","4,OL","10,24,7","19,82,0","67,76,7","119,0",Tac,,
38,"0,ALL","2,14","5,OL","6,19,18","14,109,7","83,91,18","139,7",TD,,
40,"0,ALL","16,19","19,OL","28,35,8","36,155,18","145,155,8","194,18",TD,,
42,"0,ALL","7,18","10,OL","23,29,12","24,87,9","87,95,12","119,9",Tac,,
44,"0,ALL",",15",",OL",",13",",2",",13",",2",TD,,
46,"0,ALL","1,17","4,OL","25,30,6","25,93,19","79,88,6","123,19",Tac,,
48,"0,ALL","1,19","4,OL","12,20,5","14,93,11","86,93,5","138,11",Tac,,
50,"0,ALL","7,11","10,OL","21,29,16","21,110,7","69,78,16","129,7",OOB,,
52,"0,ALL","20,15","23,OL","37,57,11","37,115,0","99,112,11","148,0",Tac,,
54,"0,ALL","14,21","17,OL","32,44,15","32,106,1","80,91,15","138,1",Tac,,
56,"0,ALL","1,20","4,OL","17,28,14","17,89,12","67,76,14","119,12",Tac,,
58,"0,ALL","5,17","8,OL","20,34,16","20,91,11","81,92,16","134,14",Tac,,
60,"0,ALL","2,14","5,OL","6,12,18","13,103,6","93,102,18","138,6",Tac,,
62,"0,ALL","15,18","18,OL","30,40,4","30,107,0","92,99,14","134,0",Tac,,
64,"0,ALL","60,10","63,OL","66,74,18","76,151,0","139,145,18","189,0",OOB,,
66,"0,ALL","9,20","12,OL","21,26,19","26,97,3","66,76,19","114,3",OOB,,
68,"0,ALL",",20",",OL",",14",",5",",14",",5",OOB,,
70,"0,ALL","6,14","9,OL","24,33,16","24,96,0","87,97,16","141,0",Tac,,
72,"0,ALL",",20",",OL",",17",",2",",17",",2",Tac,,
74,"0,ALL","11,15","14,OL","25,31,17","31,113,3","86,95,17","132,3",Tac,,
76,"0,ALL","6,16","9,OL","10,18,18","19,124,10","96,106,15","161,10",Tac,,
78,"0,ALL","2,20","5,OL","16,22,1","22,129,2","104,115,1","153,2",Tac,,
80,"0,ALL","13,11","16,OL","28,38,16","27,105,0","86,96,16","146,0",OOB,,
82,"0,ALL","4,19","7,OL","20,28,20","20,118,3","104,112,20","153,3",TD,,
