Video Name:,Inside Zone,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Zone Block,Snap Receive,Read Defender,Handoff,Ball Carry,Block Second Level,End of OL Block,End of Play
1,"0,ALL","74,22","76,OL","89,21","94,21","110,21","114,16",-,158,TD
2,"0,ALL","55,12","57,OL","68,4","71,4","82,4","88,3",-,140,TD
3,"0,ALL","79,8","81,OL","92,16","95,16","114,16","119,14","119,22",167,Tac
4,"6,ALL","86,5","88,OL","99,11","104,11","114,11","125,9","127,2",171,Tac
5,"0,ALL","81,14","83,OL","98,22","103,22","108,22","118,3",-,186,Tac
6,"0,ALL","31,13","33,OL","49,9","59,21","63,9","75,7",-,122,Tac
7,"0,ALL","28,9","30,OL","42,15","46,15","54,15","65,22",-,99,TD
8,"2,ALL","85,11","89,OL","96,10","103,10","110,10","128,6",-,167,TD
9,"2,ALL","115,5","117,OL","126,19","130,19","134,19","158,22","144,23",200,Tac
10,"0,ALL","5,8","7,OL","19,11","22,11","30,11","46,10","46,4",84,Tac
11,"0,ALL","73,22","75,OL","86,15","93,15","102,15","115,16",-,152,OOB
12,"0,ALL","24,11","26,OL","38,6","45,6","57,6","68,4",-,105,OOB
13,"0,ALL","179,12","181,OL","194,6","202,6","218,6","225,17",-,246,Tac
14,"0,ALL","172,7","174,OL","187,6","195,6","211,6","225,5",-,264,Tac
15,"0,ALL","128,20","130,OL","139,14","149,14","162,14","163,15","160,20",198,Tac
16,",OL",Tac,-,-,-,-,-,-,-,-
17,"0,ALL","410,20","412,OL","428,17","432,17","444,12","451,18","449,20",498,Tac
18,"0,ALL",317,"319,OL","332,5","336,5","348,5","356,10",357,398,Tac
19,"0,ALL","253,19","255,OL","265,15","268,15","284,15","290,4","290,19",360,OOB
20,"0,ALL","89,10","91,OL","104,5","106,5","123,5","131,4","131,10",184,OOB
21,"0,ALL","20,15","22,OL","39,6","44,6","51,6","59,10",-,118,Tac
22,"0,ALL","55,11","57,OL","69,5","73,5","81,5","95,4",-,154,Tac
23,"0,ALL","92,21","94,OL","102,17","106,17","121,17","130,19","120,21",168,Tac
24,"0,ALL","26,13","28,OL","38,9","42,9","58,9","68,7","60,13",95,Tac
25,"5,ALL","142,11","144,OL","158,9","161,9","174,9","184,18",-,221,Tac
26,"0,ALL","36,6","38,OL","50,8","51,8","66,8","77,7",-,105,Tac
27,"0,ALL","64,15","66,OL","78,6","83,6","97,6","106,8",-,128,Tac
28,"0,ALL","72,2","75,OL","89,10","91,10","110,10","120,6",-,151,Tac
29,"6,ALL","102,19","106,OL","115,18","120,18","145,18","157,14",-,199,OOB
30,"0,ALL","91,14","93,OL","106,1","109,1","130,1","143,11",-,179,OOB
