Video Name:,JetSweep_,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,
Video #,Pre Snap,Jet Motion,Ball Snap,Zone Block,Snap Receive,Toss,Ball Carry,Lead Block,Seal Block,Block Second Level,End of OL Block,End of Play
1,"0,ALL","96,19","132,7","133,OL","144,17","145,17","160,19","133,12",-,"165,13","192,OL",OOB
2,"0,ALL","48,5","96,13","97,OL","108,11","116,11","122,17","97,15",-,-,148,OOB
3,"2,ALL","21,5","40,16","41,OL","55,20","61,20","71,5","41,13",-,"86,2","127,OL",TD
4,"0,ALL","90,15","73,19","96,OL","110,10","116,10","126,15","95,4",-,-,"154,OL",TD
5,"0,ALL","58,1","88,22","89,OL","101,8","107,8","117,1","87,8",-,"136,19","166,OL",Tackle
6,"0,ALL","33,19","31,12","32,OL",42,"48,14","62,19","32,13",-,"52,10","99,OL",Tackle
7,"0,ALL","90,3","121,16","123,OL","137,7","141,7","149,3","123,12",-,"161,24","200,OL",OOB
8,"0,ALL","96,15","104,13","105,OL","121,7","124,7","134,13","105,4",-,"144,2","154,OL",OOB
9,"0,ALL","0,16","24,21","25,OL","33,22","36,22","44,16","44,14",-,"49,15","74,OL",Tackle
10,"0,ALL","88,15","99,13","91,OL","102,8","107,8","113,15","91,4",-,"112,2","161,OL",Tackle
11,"0,ALL","49,7","73,13","75,OL","86,11","92,11","101,7","75,6",-,"103,21","152,OL",OOB
12,"0,ALL","14,13","20,16","22,OL","14,14","37,14","43,13","22,7",-,-,"49,OL",OOB
13,"0,ALL","51,5","78,19","83,OL","94,17","97,17","102,5","83,2",-,"107,15","147,OL",OOB
14,"0,ALL","43,16","55,17","58,OL","68,13","73,13","76,16","58,5",-,"85,12","107,OL",OOB
15,"0,ALL","0,5","38,7","40,OL","54,8","61,8","71,5","40,2",-,-,"102,OL",OOB
16,"0,ALL","10,19","72,18","78,OL","85,13","92,13","77,19","78,3",-,-,"140,OL",OOB
17,"0,ALL","2,3","37,20","40,OL","51,8","57,8","65,3","40,16",-,"69,20","111,OL",Tac
18,"0,ALL","130,18",124,"130,OL","138,11","144,11","150,18","130,4",-,"164,2","185,OL",Tac
19,"0,ALL","6,10","19,21","22,OL","34,19","42,19","52,10","22,13",-,"54,16","70,OL",OOB
