Video Name:,Kickoff Return TD,,,,,
,"Key Actions (Frame Number, player track id)",,,,,
Video #,Pre Snap,Kick Approach,Kick Ball,Catch Kick,Ball Carry,Cross Goal Line
1,"0,ALL","3,11","69,72,11","187,52","210,52","587,596,52"
2,"0,ALL","8,12","56,60,12","171,24","183,24","570,?,24"
3,"0,ALL","107,2","164,170,12","285,41","288,41","740,750,41"
4,"0,ALL","44,14","86,91,14","199,225,26","254,43","651,660,43"
5,"0,ALL","129,11","183,187,11","295,299,51","323,51","?,51"
6,"0,ALL","72,8","137,143,8","249,253,50","283,50","687,690,50"
7,"0,ALL","22,12","83,88,12","201,205,33","216,33","618,?,33"
8,"0,ALL","62,19","119,124,19","238,246,16","254,16","660,?,16"
9,"0,ALL","56,10","146,149,10","252,257,46","268,46","603,615,46"
10,"0,ALL","18,15","85,88,15","190,195,21","210,21","540,?,21"
11,"0,ALL","108,26","182,185,26","284,288,61","302,61","630,?,61"
12,"0,ALL","58,5","112,118,5","213,222,39","239,39","561,570,39"
13,"0,ALL","50,12","116,121,12","243,248,45","257,45","646,658,45"
14,"0,ALL","66,5","129,133,5","254,259,13","270,13","658,677,13"
15,"0,ALL","124,9","187,192,9","307,312,43","331,43","678,690,43"
16,"0,ALL","16,14","54,58,14","172,176,18","193,18","547,558,18"
17,"0,ALL","47,16","65,69,16","183,189,11","196,11","495,508,11"
18,"0,ALL","37,18","60,63,18","184,189,1","201,1","487,510,1"
19,"0,ALL","12,10","60,64,10","174,185,29","195,29","510,?,29"
20,"0,ALL","35,9","77,81,9","181,193,19","205,19","526,538,19"
21,"0,ALL","49,13","92,96,13","203,207,31","227,31","588,600,9"
22,"0,ALL","68,15","94,101,15","205,214,16","240,16","591,600,16"
23,"0,ALL","110,16","75,78,16","174,189,21","199,21","557,570,21"
24,"0,ALL","31,6","89,97,6","194,204,12","212,12","570,?,12"
25,"0,ALL","79,12","168,173,12","295,300,29","311,29","690,?,29"
26,"0,ALL","19,12","105,108,12","233,243,14","241,14","630,?,14"
27,"0,ALL","39,5","98,103,5","211,225,6","236,6","595,600,6"
28,"0,ALL","20,8","90,93,8","193,207,21","225,21","583,598,21"
29,"0,ALL","27,9","85,88,9","183,201,94","225,94","556,570,94"
30,"0,ALL","42,15","88,93,15","192,205,19","218,19","555,570,19"
31,"0,ALL","15,5","66,71,5","184,192,39","210,39","585,598,39"
32,"0,ALL","41,13","106,110,13","223,232,21","250,21","626,630,20"
33,"0,ALL","12,5","67,72,5","186,193,26","202,26","556,565,26"
34,"0,ALL","15,21","77,80,21","194,200,20","210,20","570,?,20"
35,"0,ALL","9,9","86,91,20","190,198,10","210,10","527,538,10"
36,"0,ALL","364,16","402,405,16","506,511,34","523,34","838,868,34"
37,"0,ALL","31,12","87,93,28","204,209,11","227,11","659,?,11"
38,"0,ALL","13,15","79,83,15","187,199,19","206,19","651,660,19"
39,"0,ALL","46,8","127,132,8","245,256,13","266,13","623,630,13"
40,"0,ALL","86,15","147,153,15","252,266,1","282,1","642,655,1"
41,"0,ALL","13,9","79,83,9","187,193,50","213,50","622,630,50"
42,"0,ALL","15,17","100,103,17","213,218,1","241,1","632,659,1"
43,"0,ALL","3,16","88,93,16","183,212,23","251,23","679,685,23"
