Video Name:,Onside Kick Recovery,,,,
,"Key Actions (Frame Number, player track id)",,,,
Video #,Pre Snap,Kick Approach,Onside Kick,Attempt Recovery,Secure Recovery
1,"0,ALL","6,5","30,5","97,1","136,4"
2,"0,ALL","23,18","52,18","110,13","132,4"
3,"0,ALL","20,13","112,13","150,7","212,14"
4,"0,ALL","2,16","54,16","97,0","152,17"
5,"0,ALL","1,5","55,5","105,13","136,27"
6,"0,ALL","4,11","69,11","125,11","155,19"
7,"0,ALL","10,13","31,13","87,15","114,15"
8,"0,ALL","2,2","65,2","95,11","116,20"
9,"0,ALL","5,15","52,15","96,15","109,15"
10,"0,ALL","2,15","59,15","113,15","133,15"
11,"0,ALL","9,5","104,5","179,9","189,9"
12,"0,ALL","2,13","56,13","134,8","141,8"
13,"0,ALL","2,3","29,3","84,3","91,3"
14,"0,ALL","3,14","34,14","93,14","99,14"
15,"0,ALL","2,12","43,12","129,0","157,6"
16,"0,ALL","2,6","61,8","129,29","137,21"
17,"0,ALL","4,8","75,8","132,8","145,8"
18,"0,ALL","2,14","48,14","106,14","115,14"
19,"0,ALL","4,10","71,10","133,14","147,14"
20,"0,ALL","2,6","84,6","150,14","160,14"
21,"0,ALL","3,10","49,10","93,4","146,14"
22,"0,ALL","2,4","71,14","128,15","155,21"
23,"0,ALL","7,10","30,10","96,14","141,14"
24,"0,ALL","3,8","32,8","99,5","150,5"
25,"0,ALL","35,8","61,8","127,22","136,22"
26,"0,ALL","3,2","50,2","94,17","102,17"
27,"0,ALL","7,1","32,4","85,6","90,6"
28,"0,ALL","7,15","50,15","106,19","112,19"
29,"0,ALL","2,17","16,17","70,15","83,19"
30,"0,ALL","10,12","40,12","96,6","109,6"
31,"0,ALL","3,12","62,12","109,12","133,12"
32,"0,ALL","2,9","38,9","85,9","102,9"
34,"0,ALL",-,-,-,-
35,"0,ALL","2,14","77,14","157,7","193,24"
36,"0,ALL","2,19","78,19","140,7","183,10"
37,"0,ALL","1,10","86,10","132,10","142,10"
38,"0,ALL","10,16","81,16","130,16","140,16"
39,"0,ALL","9,20","53,20","90,20","130,20"
40,"0,ALL","3,15","28,15","73,15","89,15"
41,"0,ALL","2,3","65,3","134,9","181,9"
42,"0,ALL","6,19","45,19","101,8","150,8"
43,"0,ALL","2,11","41,11","107,4",-
44,"0,ALL","5,9","75,9","138,12",-
