Video Name:,Out and Up,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Pump Fake,Throw Pass,Sell Out,Run Go Route,End of Play,
1,"0,ALL",",17",",OL",",15",-,",15",",12",",12",Rec,0
3,"0,ALL","5,20","8,OL","21,18",-,"103,113,18","51,80,16","93,16",Rec,
5,"0,ALL",",18",",OL",",10",-,",10",",1",",1",TD,
6,"0,ALL","13,15","16,OL","28,16",-,"98,111,16","63,18","97,18",Rec,
9,"0,ALL","6,20","9,OL","24,16",-,"112,124,16","57,0","93,0",TD,
11,"0,ALL",",18",",OL",",18",-,",18",",3",",3",Rec,
13,"0,ALL","8,5","11,OL","23,13","74,13","98,107,13","60,1","102,1",Rec,
14,"0,ALL","27,16","30,OL","41,1","78,1","113,123,1","78,13","102,13",Rec,
16,"0,ALL","24,14","27,OL","29,17",-,"118,129,17","56,1","97,1",Rec,
18,"0,ALL","36,18","39,OL","51,11",-,"142,151,11","40,5","64,5",TD,
20,"0,ALL","22,17","25,OL","39,1",-,"98,109,1","55,4","85,4",Rec,
23,"0,ALL","11,21","14,OL","17,19",-,"138,146,19","92,0","120,0",Rec,
25,"0,ALL","18,11","21,OL","35,5","87,5","114,121,5","79,1","96,1",Rec,
27,"0,ALL","12,20","15,OL","24,21",-,"84,97,21","54,2","77,2",TD,
29,"0,ALL",",19",",OL",",20",-,",20",",14",",14",TD,
31,"0,ALL","15,15","18,OL","28,14",-,"123,133,14","86,4","104,4",Rec,
33,"0,ALL",",16",",OL",",14",-,",14",",4",",4",TD,
35,"0,ALL","1,19","4,OL","16,16",-,"117,126,16","65,1","93,1",TD,
37,"0,ALL","2,17","5,OL","8,20",-,"107,117,20","68,0","93,0",TD,
39,"0,ALL","12,11","15,OL","28,21",-,"106,117,21","78,1","94,1",Rec,
41,"0,ALL","12,17","15,OL","19,21",-,"106,117,21","72,6","89,6",Rec,
43,"0,ALL","3,20","6,OL","19,17",-,"88,98,17","75,2","93,2",Rec,
45,"0,ALL",",16",",OL",",20",-,",20",",13",",13",Rec,
47,"0,ALL","25,10","28,OL","38,19",-,"131,143,19","96,1","126,1",Rec,
49,"0,ALL","8,18","11,OL","11,19",-,"116,129,19","78,0","107,0",TD,
51,"0,ALL","24,19","27,OL","38,18",-,"110,119,18","74,16","97,16",Rec,
53,"0,ALL","26,9","29,OL","41,21",-,"134,145,21","74,6","114,6",Rec,
55,"0,ALL","19,17","22,OL","33,2",-,"117,129,2","65,5","92,5",Rec,
57,"0,ALL","9,16","12,OL","13,21",-,"86,97,21","66,10","82,10",TD,
59,"0,ALL","1,20","4,OL","17,19","66,19","90,98,19","59,1","87,1",Rec,
61,"0,ALL",",20",",OL",",17",-,",17",",9",",9",Rec,
63,"0,ALL",",19",",OL",",16",-,",16",",2",",2",Rec,
65,"0,ALL","65,4","68,OL","70,19",-,"165,174,19","129,18","158,18",Rec,
