Video Name:,Outside Zone Read,,,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,,,
Video #,Pre Snap,Ball Snap,OL,Zone Block,Snap Receive,Press Edge,Read Edge Defender,Keep,Handoff,Ball Carry,Block Second Level,End of OL Block,End of Play,Original ID
1,"0,ALL",-,"8,16,15,21,20","28,75,OL",-,"29,64,18","35,46,13",-,"47,53,18",-,-,-,TD,OutsideZoneStretch_3
2,"3,ALL",-,"12,11,5,21,19","194,238,OL",-,"206,260,8","206,220,20",-,"222,237,7",-,-,-,OOB,OutsideZoneStretch_11
3,"0,ALL",-,"14,6,5,13,3","205,244,OL",-,"200,277,12","212,222,8",-,"222,237,19",-,-,-,OOB,OutsideZoneStretch_12
4,"0,ALL",-,"4,8,11,21,20","52,97,OL",-,"63,115,6","66,88,13",-,"94,98,5",-,-,-,Tac,OutsideZoneStretch_13
5,"0,ALL",-,"13,8,4,12,5","76,122,OL",-,"78,141,7","99,98,2",-,"98,112,7",-,-,-,Tac,OutsideZoneStretch_14
6,"0,ALL",-,"6,7,19,18,21","59,119,OL",-,"59,111,7","76,85,16",-,"92,164,16",-,-,-,OOB,OutsideZoneStretch_17
7,"0,ALL",-,"14,4,13,8,7","53,115,OL",-,"53,88,6","63,81,5",-,"84,[?],5",-,-,-,OOB,OutsideZoneStretch_18
8,"0,ALL",-,"15,6,4,14,12","125,157,OL",-,"172,171,3","132,143,3",-,"143,181,5",-,-,-,OOB,OutsideZoneStretch_27
9,"0,ALL",-,"1,6,11,5,8","62,147,OL",-,"67,129,3","71,86,4",-,"86,97,4",-,-,-,OOB,OutsideZoneStretch_28
10,"0,ALL",-,"3,4,10,20,12","70,108,OL",-,"70,117,15","72,84,9",-,"80,93,9",-,-,-,OOB,OutsideZoneStretch_29
11,"0,ALL",-,"3,6,15,5,0,2","54,89,OL",-,"54,100,7","53,61,4",-,"61,72,11",-,-,-,OOB,OutsideZoneStretch_30
12,"0,ALL",-,"20,21,5,17,1","136,157,OL",-,"136,219,8","130,148,12",-,"148,157,8",-,-,-,TD,OutsideZoneStretch_37
13,"0,ALL",-,"1,7,11,5,14","86,119,OL",-,"95,170,3","71,107,6",-,"95,111,6",-,-,-,Tac,OutsideZoneStretch_38
14,"0,ALL",-,"8,11,19,20,13","74,126,OL",-,"82,145,21","82,95,16",-,"95,111,16",-,-,-,Tac,OutsideZoneStretch_39
15,"0,ALL",-,"3,7,12,5,2","73,113,OL",-,"83,125,10","82,97,4",-,"68,84,8",-,-,-,Tac,OutsideZoneStretch_42
16,"0,ALL",-,"19,2,11,14,9","167,206,OL",-,"172,204,1","173,186,12",-,"87,206,12",-,-,-,Tac,OutsideZoneStretch_55
17,"0,ALL",-,"2,3,15,9,4","157,211,OL",-,"161,192,10","162,176,8",-,"176,192,8",-,-,-,Tac,OutsideZoneStretch_56
18,"0,ALL",-,"13,21,19,16,12","173,222,OL",-,"179,218,7","185,200,15",-,"201,207,15",-,-,-,TD,OutsideZoneStretch_57
19,"0,ALL",-,"2,13,11,3,1","54,105,OL",-,"60,105,6","62,78,7",-,"70,87,7",-,-,-,TD,OutsideZoneStretch_58
20,"0,ALL",-,"16,17,6,20,3","122,166,OL",-,"134,166,21","134,142,18",-,"142,150,18",-,-,-,OOB,OutsideZoneStretch_63
21,"0,ALL",-,"9,14,18,11,7","118,149,OL",-,"126,164,5","127,138,6",-,"138,149,8",-,-,-,OOB,OutsideZoneStretch_64
22,"0,ALL",-,"18,16,14,22,19","131,169,OL",-,"135,194,7","137,147,17",-,"148,163,17",-,-,-,TD,OutsideZoneStretch_65
23,"0,ALL",-,"1,7,15,10,0","97,125,OL",-,"98,159,4","99,111,6",-,"112,125,6",-,-,-,TD,OutsideZoneStretch_66
24,"0,ALL",-,"3,13,16,17,21","53,109,OL",-,"53,129,7","66,85,20",-,"86,93,20",-,-,-,Tac,OutsideZoneStretch_69
25,"0,ALL",-,"5,6,13,9,2","33,71,OL",-,"33,104,4","39,55,8",-,"56,67,8",-,-,-,Tac,OutsideZoneStretch_70
26,"0,ALL",-,"13,20,21,17,15","93,139,OL",-,"93,131,18","95,109,6",-,"110,121,16",-,-,-,Tac,OutsideZoneStretch_77
27,"0,ALL",-,"4,11,10,2,13","90,139,OL",-,"92,124,9","95,115,5",-,"116,123,5",-,-,-,Tac,OutsideZoneStretch_78
28,"0,ALL",-,"3,13,10,11,7","246,311,OL",-,"263,311,9","255,278,16",-,"276,285,16",-,-,-,Tac,OutsideZoneStretch_79
29,"0,ALL",-,"4,8,2,0,9","223,276,OL",-,"243,218,1","240,254,5",-,"255,264,5",-,-,-,Tac,OutsideZoneStretch_80
30,"0,ALL",-,"14,16,19,17,18","156,207,OL",-,"156,207,21","164,173,13",-,"174,181,13",-,-,-,TD,OutsideZoneStretch_81
31,"0,ALL",-,"6,4,7,11,9","110,161,OL",-,"118,178,0","127,136,3",-,"137,143,3",-,-,-,TD,OutsideZoneStretch_82
32,"0,ALL",-,"16,13,20,21,5","92,126,OL",-,"92,132,11","93,107,18",-,"108,116,18",-,-,-,TD,OutsideZoneStretch_85
33,"0,ALL",-,"2,5,15,4,3","87,119,OL",-,"94,154,0","95,105,12",-,"106,117,12",-,-,-,TD,OutsideZoneStretch_86
34,"0,ALL",-,"11,18,9,17,8","114,154,OL",-,"119,174,16","122,133,21",-,"134,144,21",-,-,-,OOB,OutsideZoneStretch_87
35,"0,ALL",-,"4,5,9,7,16","100,133,OL",-,"107,156,3","116,125,10",-,"126,138,10",-,-,-,OOB,OutsideZoneStretch_88
36,"0,ALL",-,"18,21,17,16,19","103,172,OL",-,"103,127,12","108,116,15",-,"117,124,15",-,-,-,Tac,OutsideZoneStretch_89
37,"0,ALL",-,"8,1,12,7,0","92,134,OL",-,"100,128,5","100,112,11",-,"113,123,11",-,-,-,Tac,OutsideZoneStretch_90
38,"0,ALL",-,"3,8,4,9,5","148,200,OL",-,"148,189,12","169,178,7",-,"159,178,16",-,-,-,Tac,OutsideZoneStretch_92
39,"0,ALL",-,"18,14,20,21,9","142,239,OL",-,"143,214,3","148,158,16",-,"159,175,16",-,-,-,Tac,OutsideZoneStretch_93
40,"0,ALL",-,"6,10,11,5,14","169,203,OL",-,"182,211,16","183,196,10",-,"198,203,10",-,-,-,OOB,OutsideZoneStretch_98
41,"0,ALL",-,"8,4,15,20,21","146,207,OL",-,"174,206,6","182,190,18",-,"191,206,8",-,-,-,OOB,OutsideZoneStretch_99
42,"0,ALL",-,"20,21,13,18,3","112,151,OL",-,"112,199,14","114,128,9",-,"125,142,9",-,-,-,OOB,OutsideZoneStretch_111
43,"28,ALL",-,"6,5,11,10,1","481,523,OL",-,"485,518,2","488,500,9",-,"501,517,9",-,-,-,OOB,OutsideZoneStretch_112
44,"0,ALL",-,"21,20,19,17,14","90,141,OL",-,"97,152,11","97,107,10",-,"126,137,11",-,-,-,TD,OutsideZoneStretch_121
45,"0,ALL",-,"18,10,20,21,14","61,119,OL",-,"68,118,8","74,83,8",-,"84,96,15",-,-,-,TD,OutsideZoneStretch_123
46,"0,ALL",-,"4,8,14,11,13","85,160,OL",-,"93,144,9","97,107,7",-,"113,119,7",-,-,-,TD,OutsideZoneStretch_124
47,"0,ALL",-,"6,21,19,17,15","17,75,OL",-,"77,167,14","22,32,20",-,"33,50,20",-,-,-,TD,OutsideZoneStretch_131
