Video Name:,Outside Zone Stretch,,,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,,,
Video #,Pre Snap,Ball Snap,OL,Zone Block,Snap Receive,Press Edge,Read Edge Defender,Keep,Handoff,Ball Carry,Block Second Level,End of OL Block,End of Play,Original ID
1,"0,ALL",-,"10,12,17,14,4","70,83,OL",-,"73,131,4",-,-,"87,95,2",-,-,-,OOB,OutsideZoneStretch_1
2,"0,ALL",-,"7,7,18,10,5","91,98,OL",-,"55,99,17",-,-,"63,74,9",-,-,-,OOB,OutsideZoneStretch_2
3,",ALL",-,-,"-,OL",-,-,-,-,"42,59,17",-,-,-,Tac,OutsideZoneStretch_4
4,"0,ALL",-,"14,19,18,20,21","66,72,OL",-,"38,73,12",-,-,"70,83,15",-,-,-,Tac,OutsideZoneStretch_5
5,"0,ALL",-,"7,1,14,6,5","52,97,OL",-,"56,113,17",-,-,"109,121,13",-,-,-,TD,OutsideZoneStretch_6
6,"0,ALL",-,"11,18,14,15,20","99,126,OL",-,"91,147,3",-,-,"43,111,17",-,-,-,TD,OutsideZoneStretch_7
7,"0,ALL",-,"1,5,16,0,8","77,117,OL",-,"77,142,13",-,-,"161,173,19",-,-,-,Tac,OutsideZoneStretch_8
8,"0,ALL",-,"16,21,18,20,15","140,182,OL",-,"143,211,9",-,-,"175,187",-,-,-,Tac,OutsideZoneStretch_9
9,"0,ALL",-,"1,5,14,0,2","153,193,OL",-,"156,227,7",-,-,"220,234,20",-,-,-,OOB,OutsideZoneStretch_10
10,"0,ALL",-,"3,9,20,21,18","59,99,OL",-,"69,99,6",-,-,"76,90,11",-,-,-,OOB,OutsideZoneStretch_15
11,"0,ALL",-,"5,6,2,10,6","99,129,OL",-,"118,147,13",-,-,"118,132,12",-,-,-,OOB,OutsideZoneStretch_16
12,"0,ALL",-,"17,21,17,20,18","46,103,OL",-,"50,133,12",-,-,"77,76,11",-,-,-,OOB,OutsideZoneStretch_19
13,"0,ALL",-,"11,6,2,4,9","50,95,OL",-,"57,121,13",-,-,"64,83,10",-,-,-,OOB,OutsideZoneStretch_20
14,"0,ALL",-,"21,16,18,20,19","67,98,OL",-,"72,119,5",-,-,"88,97,17",-,-,-,Tac,OutsideZoneStretch_21
15,"0,ALL",-,"12,18,17,8,6","67,102,OL",-,"94,124,2",-,-,"90,106,15",-,-,-,Tac,OutsideZoneStretch_22
16,"0,ALL",-,"13,16,15,21,20","215,257,OL",-,"226,289,1",-,-,"230,247,4",-,-,-,Tac,OutsideZoneStretch_23
17,"0,ALL",-,"7,5,11,0,4","241,290,OL",-,"247,312,1",-,-,"264,278,16",-,-,-,Tac,OutsideZoneStretch_24
18,"0,ALL",-,"15,21,20,5,12","78,112,OL",-,"88,140,8",-,-,"101,112,17",-,-,-,TD,OutsideZoneStretch_25
19,"0,ALL",-,"3,7,2,1,4","107,143,OL",-,"101,167,12",-,-,"126,156,14",-,-,-,TD,OutsideZoneStretch_26
20,"0,ALL",-,"3,21,17,14,19","48,83,OL",-,"48,123,2",-,-,"71,84,10",-,-,-,TD,OutsideZoneStretch_31
21,"0,ALL",-,"9,12,5,13,4","31,85,OL",-,"31,105,3",-,-,"53,65,15",-,-,-,TD,OutsideZoneStretch_32
22,"0,ALL",-,"0,1,5,20,21","92,113,OL",-,"94,146,12",-,-,"113,133,8",-,-,-,Tac,OutsideZoneStretch_33
23,"0,ALL",-,"4,11,7,14,2","69,118,OL",-,"76,129,13",-,-,"98,113,8",-,-,-,Tac,OutsideZoneStretch_34
24,"0,ALL",-,"7,13,9,20,18","89,128,OL",-,"97,157,3",-,-,"109,126,19",-,-,-,Tac,OutsideZoneStretch_35
25,"0,ALL",-,"10,7,9,14,0","99,134,OL",-,"102,152,16",-,-,"116,131,17",-,-,-,TD,OutsideZoneStretch_36
26,"0,ALL",-,"5,13,9,10,12","130,178,OL",-,"124,199,7",-,-,"156,152,11",-,-,-,TD,OutsideZoneStretch_40
27,"0,ALL",-,"21,20,12,16,13","41,96,OL",-,"55,100,18",-,-,"53,68,8",-,-,-,TD,OutsideZoneStretch_41
28,"0,ALL",-,"17,12,13,20,11","151,228,OL",-,"147,221,3",-,-,"97,107,4",-,-,-,Tac,OutsideZoneStretch_43
29,"0,ALL",-,"2,11,15,4,7","149,228,OL",-,"157,201,5",-,-,"178,193,18",-,-,-,Tac,OutsideZoneStretch_44
30,"0,ALL",-,"20,21,5,12,1","79,115,OL",-,"89,158,11",-,-,"176,192,13",-,-,-,TD,OutsideZoneStretch_45
31,"19,ALL",-,"6,7,9,11,13","86,121,OL",-,"87,162,17",-,-,"103,125,15",-,-,-,TD,OutsideZoneStretch_46
32,"0,ALL",-,"5,17,19,10,14,18","278,355,OL",-,"298,318,0",-,-,"109,120,4",-,-,-,Tac,OutsideZoneStretch_47
33,"0,ALL",-,"6,11,17,13,4","210,316,OL",-,"261,299,7",-,-,"316,332,17",-,-,-,Tac,OutsideZoneStretch_48
34,"0,ALL",-,"14,21,16,19,18","101,155,OL",-,"104,151,4",-,-,"275,292,13",-,-,-,TD,OutsideZoneStretch_49
35,"0,ALL",-,"5,17,8,15,14","111,154,OL",-,"111,154,13",-,-,"122,157,17",-,-,-,TD,OutsideZoneStretch_50
36,"0,ALL",-,"4,21,6,20,18","86,133,OL",-,"86,155,5",-,-,"103,115,19",-,-,-,TD,OutsideZoneStretch_51
37,"0,ALL",-,"13,5,15,6,8","64,115,OL",-,"68,128,9",-,-,"89,100,17",-,-,-,TD,OutsideZoneStretch_52
38,"0,ALL",-,"7,2,12,11,19","58,100,OL",-,"62,130,0",-,-,"84,96,18",-,-,-,TD,OutsideZoneStretch_53
39,"11,ALL",-,"15,1,11,9,10","47,89,OL",-,"47,116,8",-,-,"72,84,24",-,-,-,TD,OutsideZoneStretch_54
40,"0,ALL",-,"7,13,22,19,18","180,234,OL",-,"187,261,16",-,-,-,-,-,-,Tac,OutsideZoneStretch_59
41,"0,ALL",-,"8,11,16,10,3","307,78,OL",-,"112,113,12",-,-,-,-,-,-,Tac,OutsideZoneStretch_60
42,"0,ALL",-,"22,19,21,13,11","75,113,OL",-,"86,149,8",-,-,-,-,-,-,TD,OutsideZoneStretch_61
43,"0,ALL",-,"5,2,12,4,1","114,157,OL",-,"121,199,15",-,-,-,-,-,-,TD,OutsideZoneStretch_62
44,"0,ALL",-,"17,8,21,19,15","104,154,OL",-,"111,166,7",-,-,"123,140,4",-,-,-,TD,OutsideZoneStretch_67
45,"0,ALL",-,"14,11,16,19,8","84,137,OL",-,"84,153,12",-,-,"102,121,13",-,-,-,TD,OutsideZoneStretch_68
46,"0,ALL",-,"1,16,18,19,20","107,156,OL",-,"112,166,12",-,-,"137,147,15",-,-,-,TD,OutsideZoneStretch_71
47,"0,ALL",-,"8,7,9,15,11","32,74,OL",-,"37,107,3",-,-,"67,69,10",-,-,-,TD,OutsideZoneStretch_72
48,"0,ALL",-,"8,2,11,18,7","153,212,OL",-,"164,212,3",-,-,"175,188,5",-,-,-,TD,OutsideZoneStretch_73
49,"0,ALL",-,"8,7,11,17,1","88,147,OL",-,"103,143,20",-,-,"109,124,13",-,-,-,TD,OutsideZoneStretch_74
50,"0,ALL",-,"9,15,13,16,11","181,201,OL",-,"157,193,22",-,-,"160,135,18",-,-,-,Tac,OutsideZoneStretch_75
51,"0,ALL",-,"9,3,2,8,0","173,225,OL",-,"180,215,7",-,-,"188,201,6",-,-,-,Tac,OutsideZoneStretch_76
52,"0,ALL",-,"15,21,18,16,17","251,308,OL",-,"255,297,6",-,-,"272,283,14",-,-,-,OOB,OutsideZoneStretch_83
53,"0,ALL",-,"1,2,16,7,5","247,280,OL",-,"250,261,9",-,-,"266,279,9",-,-,-,OOB,OutsideZoneStretch_84
54,"0,ALL",-,"19,20,17,21,7","204,230,OL",-,"201,230,12",-,-,"208,226,14",-,-,-,Tac,OutsideZoneStretch_91
55,"0,ALL",-,"3,10,7,11,1","82,118,OL",-,"82,134,12",-,-,"102,114,6",-,-,-,Tac,OutsideZoneStretch_94
56,"0,ALL",-,"16,18,19,20,21","62,118,OL",-,"64,129,6",-,-,"77,89,10",-,-,-,Tac,OutsideZoneStretch_95
57,"0,ALL",-,"6,3,15,12,10","76,141,OL",-,"67,158,18",-,-,"103,112,19",-,-,-,Tac,OutsideZoneStretch_96
58,"0,ALL",-,"21,18,15,13,14","80,131,OL",-,"80,149,0",-,-,"89,108,8",-,-,-,TD,OutsideZoneStretch_97
