Video Name:,Pin and Pull,,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,,
Video #,Pre Snap,Ball Snap,Down Blocks,Pull Block,Pull Lead Block,Snap Receive,Handoff,Ball Carry,End of OL Block,End of Play
1,"0,ALL","10,22","13,12","13,22","13,13","23,1","26,1","41,5",109,TD
2,"0,ALL","11,16","14,4","14,10","14,16","22,7","28,7","41,11",105,TD
3,"0,ALL","9,8","12,9","12,8","12,4","25,6","34,6","42,1",134,TD
4,"0,ALL","78,17","81,24","81,25","81,18","92,10","98,10","112,8",179,TD
5,"0,ALL","49,21","52,22","52,18","52,17","63,11",-,"73,11",124,TD
6,"0,ALL","25,11","28,8","28,16","28,3","36,9",-,"48,9",100,TD
7,"0,ALL","14,16","17,7,10","17,8","17,16","15,15","31,15","51,4",111,Tac
8,"0,ALL","65,14","67,14","67,18","67,17","80,15",-,"91,15",159,TD
9,"0,ALL","201,21","203,20",-,"203,21","211,16","222,16","234,7",299,Tac
10,"0,ALL","128,14","131,6","131,7","131,14","141,3","148,3","163,8",211,Tac
11,"0,ALL","32,11","35,2","35,5","35,6","43,7","47,7","68,4",129,Tac
