Video Name:,Post10to15,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Run Post Route,Throw Pass,End of Play,
1,"0,ALL","4,11","7,OL","21,11","21,15","59,64",Tac,0
3,"0,ALL","19,15","22,OL","35,16","36,4","81,92,16",Tac,
5,"0,ALL","6,19","9,OL","20,11","23,0","58,69,11",Tac,
7,"0,ALL","22,16","25,OL","34,8","35,0","88,100,8",Tac,
9,"0,ALL","24,17","27,OL","38,8","38,2","90,99,8",Tac,
11,"0,ALL","10,18","13,OL","24,12","25,8","68,77,12",Tac,
13,"0,ALL","1,21","4,OL","9,15","17,2","63,75,15",TD,
15,"0,ALL",",21",",OL",",7",",0",",7",Tac,
17,"0,ALL","18,12","21,OL","33,16","33,0","91,101,16",Tac,
19,"0,ALL","17,14","17,OL","29,9","29,6","66,77,9",TD,
21,"0,ALL",",20",",OL",",12",",0",",12",Tac,
23,"0,ALL","10,20","13,OL","24,12","24,9","71,83,12",Tac,
25,"0,ALL","31,15","34,OL","46,7","49,0","110,116,7",Tac,
27,"0,ALL","27,18","30,OL","42,16","42,0","87,97,16",TD,
29,"0,ALL","7,21","10,OL","27,15","21,0","76,84,15",TD,
31,"0,ALL","35,20","38,OL","36,10","36,2","84,94,10",TD,
33,"0,ALL","1,13","4,OL","14,17","14,11","75,81,17",Tac,
35,"0,ALL","20,12","23,OL","35,13","35,1","80,87,13",Tac,
37,"0,ALL","10,19","13,OL","28,18","28,0","75,84,18",Tac,
39,"0,ALL","2,21","5,OL","18,12","18,4","78,88,12",TD,
41,"0,ALL","1,19","4,OL","11,16","11,10","52,63,16",Tac,
43,"0,ALL","13,15","16,OL","17,21","25,1","75,84,21",Tac,
45,"0,ALL","8,10","11,OL","23,18","23,1","68,73,18",Tac,
47,"0,ALL","27,9","30,OL","41,6","41,1","87,95,4",Tac,
49,"0,ALL","1,20","4,OL","14,19","14,0","68,78,19",Tac,
51,"0,ALL","7,15","10,OL","24,18","24,0","77,86,18",Tac,
53,"0,ALL","21,19","24,OL","41,17","41,2","69,78,17",Tac,
55,"0,ALL","17,20","20,OL","30,17","30,3","91,98,19",Tac,
57,"0,ALL","7,17","10,OL","21,13","21,7","90,98,13",TD,
59,"0,ALL","21,12","24,OL","39,18","39,21","78,87,18",Tac,
61,"0,ALL","8,11","11,OL","21,21","21,0","77,83,21",Tac,
63,"0,ALL","1,17","4,OL","20,20","20,0","64,75,20",Tac,
65,"0,ALL","8,14","11,OL","21,13","21,7","76,82,13",Fum,
67,"0,ALL","7,17","10,OL","23,1","23,10","68,79,1",Tac,
