Video Name:,Power,,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,,
Video #,Pre Snap,OL,Backfield,Receivers,1st Level,2nd Level,3rd Level,Down Block,Pull Block,Result
1,"10,ALL","23,17,22,19,13","18,20,3","4,5,2","11,15,7,12","11,16,6","21,10,8,9","74;22,9,15","74,130;7",TD
2,"64,ALL","15,23,22,12,17","0,16,14","NV,NV,NV","20,22,9,12","21,13,25","NV,NV,NV,27","100;22,17","100,159;23",TD
3,"5,ALL","5,19,17,21,19,4","20,13,6","1,5","8,12,2,10","11,0,7","7,16,13,14","125;17,21,18","125,181;18",OOB
4,"16,ALL","7,5,NV,10,9,2","15,4,11","NV,NV","12,NV,14,0","6,13,8","NV,NV,3,1","129;17,0,9","129,183;5",OOB
5,"16,ALL","16,19,4,20,18","15,11,10","8,7,0","4,17,13,5","14,9","12,6,3,2,1",220;15,"220,281;20",Tac
6,"6,ALL","10,9,13,6,4","7,12,2","NV,NV,NV","9,14,0,11,8","11,NV","NV,5,3,NV,NV",166;9,"165,6",Tac
7,"21,ALL","1,0,13,17,15,14","11,8","0,1,3,6","16,NV,12","10,7,9","1,5,4,2",102;13,"102,135;17",Tac
8,"31,ALL","1,9,10,4,0,2","5,3","NV,NV,NV","6,12,15,7","8,14,11","NV,NV,NV,15",107;4,"107,143;4",Tac
9,"6,ALL","2,17,13,20,21,16,14","19,6","9,11","7,3,1","4,15,10","0,12,18","162;13,20","162,217;17",Tac
10,"15,ALL","2,13,11,6,4,7,5","9,3","NV,NV","17,14,15,1","0,8,10","NV,12,1,16","162;13,20","162,217;17",Tac
11,"8,ALL","5,21,20,8,6,2","16,14,2","0,1,8","15,17,3","4,7","9,11,19,12,10","79;11,6,4","75,117;13",Tac
12,"15,ALL","12,7,NV,14,5","0,4,1","NV,NV,NV","11,13,9","6,8","NV,2,NV,0,3","150;70,18","150,124;21",Tac
13,"14,ALL","14,5,21,20,19","17,4,16","3,2,1","0,8,15","10,7","6,11,9,18,12","120;14,5","120,164;7",Tac
14,"26,ALL","17,22,NV,20,21","25,19,18","NV,NV,NV","NV,NV,27","10,24","NV,NV,NV,23,26",107;19,"107,177;5",Tac
15,"0,ALL","18,17,7,21,15,9","11,3,1","1,4,0","15,8,14,10","20,16,13","5,2,12,6",51;20,"51,107;22",Tac
16,"0,ALL","0,2,9,4,7,1","15,6,3","NV,NV","10,11,8,12","5,17,13","NV,NV,14,16","61;21,19,[?]","61,118;17",Tac
17,"4,ALL","15,21,16,19,17,15,10",[?],"1,2","18,20,11,8","0,5","7,6,9,4,3","72;9,4","72,128;2",Tac
18,"22,ALL","13,14,15,10,7,9,8","6,5","NV,NV","12,11,1,2","0,3",4,"106;16,17","106,141;21",Tac
19,"0,ALL","2,15,7,11,19,5","13,21","0,2,4","6,11,3,10,16",17,"8,18,[?]","151;15,7","151,186;14",Tac
20,"3,ALL",[?],"3,10",-,"12,[?],9,7,0",1,-,80;15,"80,192;11",OOB
21,"22,ALL","21,18,8,11,13,5","20,12",[?],"0,3,2","1,4",[?],97;6,"97,157;4",OOB
22,"7,ALL","3,5,9,4,10,8","7,6",-,"3,12,11","1,0",[?],"100;8,10","100,167;11",Tac
23,"16,ALL","19,17,4,12,20,6","13,2","1,0,5","11,5,7,10","21,16","14,9,3,19,8",91;5,"91,163;4",Tac
24,"24,ALL","2,1,8,10,10,0","9,5",-,"3,14,12,4","NV,11","1,13,7","103;7,12","103,159;17",Tac
25,"2,ALL","20,17,18,21,5","13,11,4","1,0,2","12,14,16,6","15,17","7,3,7,10",96;8,"96,150;1",Tac
26,"25,ALL","3,11,13,12,2","9,8,6,1","1,0","1,14,10,5","14,4",0,172;21,"172,216;5",OOB
27,"25,ALL","19,17,16,21,18,6","20,8,4,3","1,0","2,11,10,11","15,7,9,13","5,12",144;12,"144,207;2",OOB
28,"24,ALL","11,9,NV,12,NV,7","14,13,NV,10",-,"NV,8,6,5","NV,4,10,3","1,2","128;16,17","128,185;21",OOB
29,"22,ALL","18,NV,20,16,17,14","4,9,1","12,15","10,8,7,16","3,5","2,13,0,1","207;3,7","207,265;12",OOB
30,"18,ALL","1,4,14,11,0,12,6","8,2","3,1","16,1,13,15","7,10","17,5","252;20,21","252,302;19",Tac
31,"25,ALL","18,21,20,10,19,17","7,19","0,1","13,15,16,6,12","3,11","5,8,2,4","225;9,1","225,285;11",Tac
32,"29,ALL","10,3,16,8,[?],15,0","NV,11,[?]","9,1","15,NV,14","12,4","NV,NV,13,2","117;21,10","117,163;18",OOB
33,"123,ALL","15,21,13,20,17,5","8,12","0,3,9","11,4,16,7","18,19","2,11,5,14,10","124;3,16","124,173;10",OOB
34,"140,ALL","1,2,13,6,0,3","9,5",-,"14,15,11,4","12,7","1,8,10","160;13,20","160,194;21",Tac
35,"70,ALL","18,15,20,16,0,7,21","12,4","5,7","14,8,10,13,1","12,6","2,3,11,19","168;13,6","168,188;2",Tac
36,"34,ALL","20,NV,5,1,14,7","14,6",-,"NV,8,11,13","10,14,3","12,9",247;15,"247,284;16",Tac
