Video Name:,Punt Block,,,,,
,"Key Actions (Frame Number, player track id)",,,,,
Video #,Pre Snap,Long Snap,Snap Receive,Punt Ball,Block Punt,Secure Recovery
1,"0,ALL","1,17","27,16","48,16","63,69,18","233,7"
2,"0,ALL","18,2","42,6","69,6","82,99,8","223,29"
3,"0,ALL","44,16","74,15","96,15","108,111,22","234,[?]"
4,"0,ALL","0,2","25,11","50,11","58,64,5","180,15"
5,"0,ALL","0,13","25,12","53,12","61,67,17","134,35"
6,"0,ALL","2,0","33,12","57,12","63,71,9","143,8"
7,"0,ALL","7,20","41,11","66,11","76,82,25",-
8,"0,ALL","15,14","42,3","67,3","77,82,6",-
9,"0,ALL","16,6","47,7","70,7","86,94,21","151,21"
10,"0,ALL",-,"18,6","48,6","60,67,4","118,134,38"
11,"0,ALL",-,"17,3","50,3","60,68,12","180,186,6"
12,"0,ALL","21,1","48,3","82,3","91,96,12","202,218,17"
13,"0,ALL","0,18","24,10","47,10","59,67,12","113,121,12"
14,"0,ALL","4,11","30,3","55,3","64,70,16","123,120"
15,"0,ALL","0,18","24,13","48,13","59,63,3","164,165,33"
16,"0,ALL","20,7","47,6","71,6","24,89,3","187,194,10"
17,"0,ALL","19,18","50,8","70,8","33,87,15","138,145,5"
18,"0,ALL",-,"23,5","48,5","58,65,5","111,119,3"
19,"0,ALL","10,7","40,3","62,13","80,83,19",-
20,"0,ALL","29,13","58,6","82,6","97,99,3","194,201,5"
21,"0,ALL","33,11","62,6","88,6","100,106,3",-
22,"0,ALL","25,17","52,8","75,8","89,95,13","252,259,7"
23,"21,ALL","21,19","47,10","70,10","83,87,23","166,186,19"
24,"0,ALL","8,6","35,10","60,10","67,71,4",-
25,"0,ALL","24,12","52,10","79,10","89,92,4","178,185,40"
26,"0,ALL","1,17","28,9","52,9","64,71,13","148,154,26"
27,"0,ALL",-,"17,16","48,16","59,64,6","194,199,6"
28,"0,ALL",-,"25,4","53,4","67,75,10","198,206,10"
29,"0,ALL","23,9","56,8","128,8","134,143,41","208,224"
30,"0,ALL","5,5","38,2","64,2","114,131,11","183,190,11"
31,"0,ALL",-,"20,15","46,15","62,67,7",OOB
32,"0,ALL","19,9","47,13","72,13","85,88,7",OOB
33,"0,ALL","16,8","44,6","75,6","85,91,19","142,152,4"
34,"0,ALL","14,5","41,8","67,8","81,84,9","137,151,12"
35,"0,ALL",-,"24,11","53,11","66,74,17","141,149,14"
36,"0,ALL","20,13","46,7","75,7","89,105,24","170,174,2"
37,"0,ALL",-,"23,13","44,13","59,63,2","201,216,4"
38,"0,ALL","27,10","54,5","77,5","87,94,15","223,238,3"
39,"0,ALL","8,11","38,9","60,9","75,82,7","188,2"
40,"0,ALL","-,5","31,0","54,0","67,75,2","199,2"
41,"0,ALL","12,20","245,12","266,12","267,274,13","439,453,14"
42,"0,ALL","0,9","177,6","249,6","255,259,1","437,449,0"
43,"0,ALL","14,14","40,10","67,10","77,81,20","183,185,20"
44,"0,ALL","5,5","33,4","57,4","70,75,6",-
45,"0,ALL","13,11","38,8","71,8","84,87,2","191,200,6"
46,"0,ALL",-,"21,8","47,8","62,70,7","170,177,34"
47,"0,ALL","12,16","45,3","72,3","80,84,3",OOB
48,"0,ALL",-,"27,0","51,0","60,65,16",OOB
49,"0,ALL","0,17","22,14","70,14","83,88,7","155,162,7"
50,"0,ALL","14,0","43,7","92,7","101,109,4","180,14"
51,"0,ALL","1,12","30,5","62,5","72,73,2","174,180,2"
52,"0,ALL","8,3","41,2","70,2","80,85,9","173,177,10"
53,"0,ALL","1,11","27,14","59,14","66,71,22",-
54,"0,ALL","15,0","44,5","73,5","80,85,12",-
55,"0,ALL","8,18","37,11","99,11","109,114,2","211,228,13"
56,"0,ALL",-,"17,32,11","86,92,11","95,101,11","196,209,43"
57,"0,ALL","8,17","33,12","53,12","66,73,4",-
58,"0,ALL",-,"29,8","46,8","58,63,14",-
59,"0,ALL","20,13","46,11","80,11","90,97,13",OOB
60,"0,ALL","2,2","30,0","60,0","71,76,16",OOB
61,"0,ALL","14,10","40,12","60,12","73,78,2",-
62,"0,ALL","6,11","33,9","57,9","64,69,3",-
63,"0,ALL","1,11","27,14","52,14","58,71,11","144,162,8"
64,"0,ALL","28,16","53,11","78,11","86,101,10","174,182,2"
65,"0,ALL","8,18","35,14","60,14","74,80,11","155,166,7"
66,"0,ALL","16,2","44,4","67,4","80,86,10","143,159,10"
67,"0,ALL","-,19","29,6","53,6","65,74,10","173,193,5"
68,"0,ALL","16,3","41,11","65,11","79,83,7","192,204,2"
69,"0,ALL",-,"25,10","51,10","59,70,12","170,172,12"
70,"0,ALL","4,0","31,4","58,4","67,72,5","151,158,5"
71,"0,ALL","12,15","41,4","60,4","75,82,9","134,148,4"
72,"0,ALL","16,14","41,5","67,5","75,82,17","136,138,2"
73,"0,ALL","7,16","33,8","65,8","74,86,19","241,245,2"
74,"0,ALL","16,5","41,2","71,2","82,86,10","181,195,2"
75,"0,ALL","11,12","33,3","67,3","75,83,10","195,211,4"
76,"0,ALL","22,6","53,4","76,4","84,93,14","202,215,5"
77,"0,ALL","11,8","38,5","67,5","75,79,14",OOB
78,"0,ALL","0,10","25,7","52,7","67,75,7",OOB
79,"0,ALL",-,"19,12","50,12","56,65,1","217,227,12"
80,"0,ALL","2,8","34,5","57,5","64,79,25","228,233,20"
81,"0,ALL","12,7","39,3","65,3","76,81,29",-
82,"0,ALL",-,"24,5","50,5","57,63,2",-
83,"0,ALL","14,13","42,9","75,9","86,95,21","305,312,2"
