Video Name:,Punt Coverage,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,
Video #,Pre Snap,Long Snap,Snap Receive,Punt Ball,Catch Punt,Ball Carry ,Tackle
1,"0,ALL","2,19","28,30,9","64,73,9","167,177,27","193,27","196,218,43"
2,"0,ALL","4,14","33,36,5","62,79,5","167,174,29","185,192,29","192,217,11"
3,"0,ALL",-,"20,22,7","47,63,7","184,190,27","196,27","221,263,12"
4,"0,ALL",-,"14,16,6","43,57,6","173,183,45","192,25","213,237,3"
5,"0,ALL","3,?","31,33,11","71,82,11","181,188,34","204,34","316,334,21"
6,"0,ALL","16,12","42,44,4","77,95,4","191,198,14","207,14","309,357,31"
7,"0,ALL","1,5","27,29,9","65,79,9","184,198,34","204,34","232,254,14"
8,"0,ALL","2,6","28,30,4","67,80,4","182,205,28","207,28","237,256,8"
9,"0,ALL","17,18","43,45,3","72,88,3",-,-,"211,240,10"
10,"0,ALL","11,16","39,42,4","66,81,4","197,203,25",-,"202,228,12"
11,"0,ALL","5,17","34,36,6","66,77,6","203,209,37","222,37","318,348,58"
12,"0,ALL",-,-,-,-,-,-
13,"0,ALL","18,18","45,47,16","76,88,16","214,220,33","320,33","342,371,22"
14,"0,ALL","6,3","34,36,4","60,76,4","205,211,21","239,21","329,369,9"
15,"0,ALL","14,10","41,43,1","69,84,1","204,211,40",-,"224,249,3"
16,"0,ALL","19,4","44,46,16","74,87,6","213,220,27",-,"225,254,22"
17,"0,ALL","4,16","33,35,5","60,75,5","190,197,37","217,37","273,290,15"
18,"0,ALL","14,5","42,44,1","69,86,1","195,201,24","230,24","281,305,32"
19,"0,ALL",-,"26,28,15","51,69,15","164,178,33","187,33","203,235,13"
20,"0,ALL","8,0","38,40,8","64,80,8","182,188,21","200,21","207,249,19"
21,"0,ALL","16,11","39,41,13","64,81,13","192,206,36","252,36","263,289,1"
22,"0,ALL","1,5","27,29,0","49,66,0","183,192,39","198,39","251,274,18"
23,"0,ALL","18,18","45,47,3","68,84,3","190,226,38","230,38","247,304,6"
24,"0,ALL",-,"22,24,11","44,64,11","191,201,27","208,27","226,300,17"
25,"0,ALL","12,13","40,42,12","62,79,12",-,-,-
26,"0,ALL","4,11","29,31,4","56,70,4",-,-,-
27,"0,ALL",-,"22,24,9","53,69,9","201,207,23",-,"209,281,2"
28,"0,ALL","13,2","40,48,3","78,88,3","218,224,25",-,"231,294,24"
29,"0,ALL",-,"53,56,6","82,93,6","187,196,56","203,56",-
30,"0,ALL","9,9","37,41,13","66,80,18","170,178,24","185,26","221,218,15"
