Video Name:,Punt Return Touchdown,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,
Video #,Pre Snap,Long Snap,Snap Receive,Punt Ball,Catch Punt,Ball Carry ,Cross Goal Line
1,"0,ALL","49,14","79,10","104,113,10","231,244,27","253,27","591,597,27"
2,"0,ALL","55,10","85,5","113,123,5","258,247,20","262,20","?,20"
3,"0,ALL","29,18","55,11","74,89,11","204,210,42","213,42","?,42"
4,"0,ALL","44,14","69,10","91,103,10","216,223,36","231,36","554,570,36"
5,"0,ALL","54,15","80,9","100,122,9","185,198,38","211,38","?,38"
6,"0,ALL","41,8","67,3","95,110,3","178,186,22","193,22","532,540,22"
7,"0,ALL",-,-,-,-,-,-
8,"0,ALL","71,4","95,1","126,135,1","241,246,24","268,24","?,24"
9,"0,ALL","97,19","128,11","154,166,1","276,283,27","299,27","649,655,27"
10,"0,ALL","39,8","67,7","94,104,7","214,220,49","233,49","590,597,49"
11,"0,ALL","30,9","55,12","83,93,12","187,196,29","243,29","?,29"
12,"0,ALL","131,16","151,2","183,193,2","288,295,26","342,26","650,657,26"
13,"0,ALL","64,13","93,15","128,139,15","237,252,51","268,51","680,688,51"
14,"3,ALL","106,9","134,13","168,181,13","295,309,42","323,42","713,?,42"
15,"0,ALL","139,7","165,10","177,206,10","322,334,27","347,27","596,600,27"
16,"0,ALL","112,8","138,4","166,180,4","254,305,36","315,36","565,?,36"
17,"0,ALL","66,14","90,5","113,123,5","233,239,43","278,43","673,683,43"
18,"0,ALL","30,9","58,8","78,92,8","196,204,38","249,38","?,38"
19,"0,ALL","134,19","162,12","191,204,12","317,322,27","374,27","?,27"
20,"0,ALL","211,11","241,9","268,282,9","391,401,37","417,37","711,720,37"
21,"0,ALL","169,7","197,5","222,231,5",-,-,-
22,"8,ALL","45,17","73,7","97,111,7",-,-,-
23,"0,ALL","21,18","52,20","74,90,20","219,223,37","247,37","536,540,37"
24,"0,ALL","8,9","40,14","66,80,14","203,212,33","226,33","520,532,61"
25,"0,ALL","73,12","103,16","133,143,16","267,278,31","299,31","?,31"
26,"0,ALL","71,4","94,3","126,140,3","254,260,29","275,29","?,29"
27,"0,ALL","73,15","103,8","135,144,8","225,233,32","245,32","683,689,32"
28,"0,ALL","123,14","153,1","184,195,1","274,283,3","291,3","734,743,3"
29,"0,ALL","269,10","298,12","325,331,12","424,435,35","446,35","?,35"
30,"0,ALL","140,2","167,11","194,210,11","294,301,27","318,27","?,27"
31,"0,ALL","20,18","47,9","69,80,9","192,198,36","207,36","?,36"
32,"0,ALL","19,3","43,7","67,79,7","188,196,32","208,32","?,32"
33,"0,ALL","66,11","92,13","122,135,13",-,-,-
34,"0,ALL",-,-,-,-,-,-
35,"0,ALL","93,20","120,6","143,153,6",-,-,-
36,"0,ALL",-,-,-,-,-,-
