Video Name:,QB Zone Read,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,
Video #,Pre Snap,Ball Snap,Zone Block,Snap Receive,Read Defender,Keep,Ball Carry,Block Second Level,End of OL Block,End of Play,Classification
1,"0,ALL","1,20","4,OL","18,11","24,11","35,11","46,11","30,21",70,OOB,OutsideZoneRead
2,"0,ALL","1,17","4,OL","10,10","14,10","28,10","43,10","23,3",60,OOB,OutsideZoneRead
3,"0,ALL","19,18","22,OL","31,15","33,15","48,15","59,15","48,19",87,OOB,InsideZoneRead
4,"0,ALL","18,15","21,OL","30,8","33,8","46,8","64,8","34,9",80,OOB,InsideZoneRead
5,"0,ALL","7,5","10,OL","20,19","25,19","33,19","47,19",-,70,OOB,InsideZoneRead
6,"0,ALL","15,15","18,OL","30,8","33,8","44,8","57,8",-,73,OOB,InsideZoneRead
7,"0,ALL","2,22","5,OL","16,16","19,16","38,16","52,16","28,20",86,Tac,OutsideZoneRead
8,"0,ALL","11,16","14,OL","21,10","31,10","46,10","58,10","43,5",88,Tac,OutsideZoneRead
9,"0,ALL","1,20","4,OL","12,11","16,11","32,11","42,11",-,76,OOB,InsideZoneRead
10,"0,ALL","4,10","7,OL","18,15","22,15","35,15","48,15",-,75,OOB,InsideZoneRead
11,"0,ALL","1,15","4,OL","7,17","10,17","25,17","34,17",-,60,Tac,OutsideZoneRead
12,"0,ALL","1,14","4,OL","18,7","23,7","36,7","45,7",-,62,Tac,OutsideZoneRead
13,"0,ALL","14,11","17,OL","30,13","34,13","44,13","56,13",-,94,Tac,InsideZoneRead
14,"0,ALL","29,17","32,OL","43,12","46,12","55,12","71,12",-,101,Tac,InsideZoneRead
15,"0,ALL","7,16","10,OL","18,12","23,12","43,12","52,12",-,86,OOB,InsideZoneRead
16,"0,ALL","0,12","0,OL","4,4","10,4","29,4","45,4",-,75,OOB,InsideZoneRead
17,"0,ALL","0,22","0,OL","3,17","9,17","19,17","32,17",-,85,Tac,Counter
18,"0,ALL","16,11","19,OL","32,8","37,8","45,8","62,8",-,111,Tac,Counter
19,"0,ALL","10,22","13,OL","24,18","29,18","38,18","54,18","20,20",92,Tac,OutsideZoneRead
20,"0,ALL","125,7","128,OL","140,5","147,5","150,5","168,5",-,193,Tac,OutsideZoneRead
21,"0,ALL","8,20","11,OL","21,10","25,10","37,10","63,10",-,82,Tac,InsideZoneRead
22,"0,ALL","23,9","26,OL","39,11","42,11","49,11","79,11",-,96,Tac,InsideZoneRead
23,"0,ALL","10,10","13,OL","27,7","31,7","37,7","59,7",-,91,Tac,InsideZoneRead
24,"0,ALL","13,4","16,OL","29,10","31,10","37,10","60,10",-,89,Tac,InsideZoneRead
25,"0,ALL","2,22","5,OL","11,16","16,16","24,16","36,16",-,62,OOB,InsideZoneRead
26,"0,ALL","6,15","9,OL","17,5","21,5","30,5","47,5",-,62,OOB,InsideZoneRead
27,"0,ALL","21,21","24,OL","34,7","37,7","46,7","62,7",-,101,Tac,InsideZoneRead
28,"0,ALL","10,15","13,OL","23,5","27,5","32,5","53,5",-,74,Tac,InsideZoneRead
29,"0,ALL","18,21","21,OL","33,16","39,16","49,16","66,16","55,4",113,Tac,InsideZoneRead
30,"0,ALL","20,14","23,OL","33,7","39,7","48,7","72,7","51,14",92,Tac,InsideZoneRead
31,"0,ALL","3,15","6,OL","18,17","22,17","25,17","41,17",-,64,OOB,OutsideZoneRead
32,"0,ALL","6,9","9,OL","22,5","24,5","31,5","46,5",-,61,OOB,OutsideZoneRead
33,"0,ALL","0,14","3,OL","14,15","16,15","20,15","44,15",-,76,TD,InsideZoneRead
34,"0,ALL","0,9","3,OL","13,3","15,3","20,3","49,3",-,70,TD,InsideZoneRead
35,"0,ALL","5,14","8,OL","20,15","22,15","32,15","58,15",-,90,Tac,InsideZoneRead
36,"0,ALL","14,16","17,OL","31,5","34,5","39,5","65,5",-,89,Tac,InsideZoneRead
37,"0,ALL","10,19","13,OL","24,19","32,19","39,19","58,19",-,77,OOB,InsideZoneRead
38,"0,ALL","11,16","14,OL","25,13","30,13","37,13","61,13",-,84,OOB,InsideZoneRead
39,"0,ALL","9,13","12,OL","25,22","29,22","34,22","58,22",-,96,Tac,OutsideZoneRead
40,"0,ALL","8,12","11,OL","20,10","24,10","28,10","54,10",-,96,Tac,OutsideZoneRead
41,"0,ALL","11,22","14,OL","28,20","31,20","44,20","53,20",-,81,Tac,Counter
42,"0,ALL","19,15","22,OL","35,11","37,11","50,11","64,11",-,106,Tac,Counter
43,"0,ALL","11,16","14,OL","23,13","26,13","36,13","47,13","32,19",83,Tac,InsideZoneRead
44,"0,ALL","8,14","11,OL","20,12","23,12","32,12","44,12","28,14",79,Tac,InsideZoneRead
45,"0,ALL","17,15","20,OL","31,18","35,18","49,18","69,18","62,16",102,Tac,InsideZoneRead
46,"0,ALL","21,14","24,OL","33,12","40,12","50,12","71,12","66,8",98,Tac,InsideZoneRead
47,"0,ALL","16,18","19,OL","30,13","35,13","42,13","57,13",-,96,Tac,InsideZoneRead
48,"0,ALL","1,10","4,OL","13,9","17,9","25,9","44,9",-,80,Tac,InsideZoneRead
49,"0,ALL","19,22","22,OL","33,11","37,11","50,11","65,11","50,22",85,Tac,InsideZoneRead
50,"0,ALL","1,17","4,OL","13,19","19,19","32,19","49,19","30,17",71,Tac,InsideZoneRead
51,"0,ALL","3,19","6,OL","14,13","21,13","31,13","43,13","30,23",84,OOB,InsideZoneRead
52,"0,ALL","18,10","21,OL","29,11","35,11","40,11","62,11","40,16",91,OOB,InsideZoneRead
53,"0,ALL","8,22","11,OL","23,17","27,17","34,17","54,17",-,77,OOB,InsideZoneRead
54,"0,ALL","15,15","18,OL","29,9","33,9","39,9","64,9",-,93,OOB,InsideZoneRead
55,"0,ALL","10,8","13,OL","27,11","38,11","45,11","61,11","45,21",131,Tac,InsideZoneRead
56,"0,ALL","21,15","24,OL","34,9","43,9","49,9","77,9",-,124,Tac,InsideZoneRead
57,"0,ALL","9,7","12,OL","24,22","29,22","35,22","61,22",-,96,Tac,InsideZoneRead
58,"0,ALL","10,8","13,OL","27,7","30,7","40,7","67,7",-,82,Tac,InsideZoneRead
59,"0,ALL","14,11","17,OL","31,21","36,21","40,21","60,21",-,91,OOB,InsideZoneRead
60,"0,ALL","15,17","18,OL","29,8","32,8","40,8","60,8",-,82,OOB,InsideZoneRead
61,"0,ALL","15,21","17,OL","27,7","36,7","47,7","66,7","56,18",97,OOB,InsideZoneRead
62,"0,ALL","3,18","6,OL","17,10","22,10","32,10","55,10","24,8",84,OOB,InsideZoneRead
63,"0,ALL","9,17","12,OL","26,5","30,5","33,5","50,5","20,17",87,OOB,OutsideZoneRead
64,"0,ALL","8,13","11,OL","26,2","31,2","36,2","48,2","21,13",78,OOB,OutsideZoneRead
65,"0,ALL","16,19","19,OL","33,18","40,18","49,18","65,18",-,100,OOB,InsideZoneRead
66,"0,ALL","1,12","4,OL","17,7","23,7","32,7","51,7",-,77,OOB,InsideZoneRead
67,"0,ALL","25,20","28,OL","36,6","40,6","56,6","70,6",-,110,TD,InsideZoneRead
68,"0,ALL","29,3","32,OL","43,13","48,13","56,13","78,13",-,108,TD,InsideZoneRead
69,"0,ALL","1,17","4,OL","11,15","14,15","16,15","57,15",-,79,OOB,OutsideZoneRead
70,"6,ALL","24,14","27,OL","37,6","44,6","53,6","76,6",-,95,OOB,OutsideZoneRead
71,"0,ALL","23,19","26,OL","34,1","41,1","52,1","75,1",-,101,TD,InsideZoneRead
72,"0,ALL","71,10","74,OL","79,12","86,12","94,12","122,12",-,133,TD,InsideZoneRead
73,"0,ALL","24,12","27,OL","38,13","47,13","58,13","72,13","64,12",102,Tac,OutsideZoneRead
74,"0,ALL","20,15","23,OL","33,11","37,11","47,11","66,11","59,3",86,Tac,OutsideZoneRead
75,"0,ALL","19,14","22,OL","35,19","42,19","51,19","70,19",-,107,TD,InsideZoneRead
✓,76,"0,ALL","26,11","29,OL","41,8","47,8","57,8","80,8",110,TD,InsideZoneRead
77,"0,ALL","3,12","6,OL","18,17","21,17","23,17","42,17",-,58,Tac,OutsideZoneRead
78,"0,ALL","11,15","14,OL","25,10","29,10","32,10","47,10",-,61,Tac,OutsideZoneRead
79,"0,ALL","4,16","7,OL","20,3","25,3","29,3","51,3",-,82,TD,InsideZoneRead
80,"0,ALL","11,13","14,OL","22,6","29,6","32,6","54,6",-,100,TD,InsideZoneRead
81,"0,ALL","3,22","6,OL","14,6","22,6","33,6","50,6",-,146,TD,InsideZoneRead
✓,82,"0,ALL","22,13","25,OL","35,12","40,12","48,12","69,12",122,TD,InsideZoneRead
83,"0,ALL","15,17","18,OL","28,18","33,18","44,18","67,18",-,98,OOB,InsideZoneRead
84,"0,ALL","19,13","22,OL","30,10","35,10","48,10","68,10",-,106,OOB,InsideZoneRead
85,"0,ALL","3,19","6,OL","18,9","21,9","33,9","52,9",-,90,Tac,InsideZoneRead
86,"0,ALL","11,16","14,OL","26,8","30,8","38,8","64,8",-,94,Tac,InsideZoneRead
87,"0,ALL","3,16","6,OL","17,12","21,12","26,12","51,12",-,68,Tac,OutsideZoneRead
88,"0,ALL","21,14","24,OL","34,11","37,11","42,11","65,11",-,79,Tac,OutsideZoneRead
89,"0,ALL","17,20","20,OL","29,22","34,22","40,22","62,22",-,97,Tac,InsideZoneRead
90,"0,ALL","27,14","30,OL","41,2","47,2","53,2","67,2",-,101,Tac,InsideZoneRead
91,"0,ALL","20,22","23,OL","35,13","39,13","44,13","61,13",-,91,TD,InsideZoneRead
92,"0,ALL","23,16","26,OL","37,5","42,5","43,5","66,5",-,93,TD,InsideZoneRead
93,"0,ALL","18,20","21,OL","29,12","31,12","35,12","49,12","42,8",93,TD,InsideZoneRead
94,"0,ALL","21,16","24,OL","34,12","39,12","43,12","61,12","41,17",96,TD,InsideZoneRead
95,"0,ALL","18,17","21,OL","31,4","37,4","47,4","61,4",-,86,Tac,InsideZoneRead
