Video Name:,Quick Screens,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,
Video #,Pre Snap,Ball Snap,Screen Block,Snap Receive,Throw Screen Pass, Turn To Quarterback,Secure Catch,Run After Catch,End of Play,,
1,"0,ALL","22,8","47,124,8","35,21","50,58,21","40,84,7","81,91,7","99,7",OOB,,0
2,"0,ALL","21,9",-,"35,6","48,57,6",-,"85,93,20","101,20",OOB,,
3,"0,ALL","21,16","33,140,6","35,17","55,64,17","55,76,1","82,87,1","94,1",Tac,,
5,"0,ALL","12,19","28,86,1","28,9","40,48,9","28,61,0","63,75,0","76,0",Tac,,
7,"0,ALL","4,7","16,121,3","16,11","28,37,11","16,45,5","54,57,5","77,5",Tac,,
9,"0,ALL","1,20",-,"10,13","24,35,13","10,50,1","55,62,1","71,1",TD,,
11,"0,ALL","19,20","34,113,6","34,13","46,56,13","34,65,7","69,76,7","83,7",Tac,,
13,"0,ALL","25,9",-,"28,14","56,64,14","54,77,0","83,93,0","96,0",OOB,,
15,"0,ALL","19,11","32,133,0","32,18","50,58,18","34,69,2","72,82,2","91,2",Tac,,
17,"0,ALL","2,4","15,108,0","15,15","33,41,15","15,46,6","58,63,6","66,6",OOB,,
19,"0,ALL","5,10",-,"8,17","22,34,17","25,44,0","49,56,0","61,0",OOB,,
21,"0,ALL","11,20","36,149,1","23,3","36,46,3","23,60,0","63,71,0","79,0",Tac,,
23,"0,ALL",-,-,"4,14","17,26,14","2,36,9","44,51,9","60,9",OOB,,
25,"0,ALL","24,20","38,144,0","38,14","56,65,14","59,80,2","85,90,2","93,2",OOB,,
27,"0,ALL","7,7","23,165,13","20,19","35,43,19","23,52,9","64,65,9","69,9",OOB,,
29,"0,ALL",-,"6,68,5","0,14","11,19,14","3,24,16","40,41,16","43,16",OOB,,
31,"0,ALL",-,"24,114,1","7,11","31,39,11","24,53,0","63,69,0","82,0",Tac,,
33,"0,ALL",-,"22,89,0","9,13","24,31,13","22,39,1","47,52,1","64,1",Tac,,
35,"0,ALL","6,15","29,107,6","19,12","34,42,12","31,53,9","56,64,9","80,9",Tac,,
37,"0,ALL",-,"4,90,4","8,10","17,28,10","13,30,11","37,47,11","54,11",OOB,,
39,"0,ALL","1,19","14,414,7","14,7","28,37,7","14,41,13","48,60,13","66,13",OOB,,
41,"0,ALL","16,20","27,123,4","26,19","41,49,19","32,52,2","58,68,2","73,2",Tac,,
43,"0,ALL","30,20","45,125,0","43,2","61,71,2","50,78,1","88,93,1","97,1",OOB,,
45,"0,ALL",-,"22,98,9","12,13","24,33,13","22,36,5","46,56,5","63,5",Tac,,
47,"0,ALL",-,"10,83,3","8,19","22,31,19","10,35,6","40,51,6","63,6",TD,,
49,"0,ALL","14,21","29,?,0","26,7","37,46,7","36,48,2","56,65,2","69,2",OOB,,
51,"0,ALL",-,"19,73,92,1","11,6","20,29,6","11,36,3","37,46,3","50,3",Tac,,
53,"0,ALL","12,18","32,88,0","15,17","33,41,17","34,48,16","54,61,16","65,16",OOB,,
55,"0,ALL","8,20","27,94,3","19,4","39,46,4","21,50,1","64,72,1","76,1",Tac,,
57,"0,ALL",-,"19,98,7","24,17","33,41,17","19,42,4","57,69,4","81,4",Tac,,
59,"0,ALL",-,"3,107,1","7,10","28,31,10","12,37,0","52,64,0","67,0",TD,,
61,"0,ALL","12,16","25,116,1","27,8","49,57,8","25,46,0","72,83,0","94,0",TD,,
63,"0,ALL","3,10","21,93,9","20,13","28,39,13","29,42,12","49,61,12","64,12",Tac,,
65,"0,ALL",-,"11,80,1","12,15","19,27,15","11,32,2","40,47,2","52,2",TD,,
67,"0,ALL","10,14","32,119,4","23,11","33,43,11","36,49,3","58,66,3","83,3",Tac,,
69,"0,ALL","12,11","28,107,7","28,17","39,49,17","36,53,8","57,66,8","73,8",Tac,,
71,"0,ALL","9,10","20,98,4","23,13","39,46,13","25,46,5","55,65,5","71,5",Tac,,
73,"0,ALL","15,9","38,142,0","30,3","46,55,3","30,55,1","64,77,1","81,1",OOB,,
75,"0,ALL","14,21","25,94,0","22,12","33,43,12","25,47,1","54,64,1","73,1",OOB,,
77,"0,ALL","3,19","24,113,8","18,10","32,38,10","27,42,1","49,65,1","75,1",OOB,,
79,"0,ALL",-,"12,63,2","3,10","21,29,10","4,35,15","34,48,15","52,15",OOB,,
81,"0,ALL",-,"14,101,0","13,9","26,34,9","24,41,3","49,57,3","66,3",Tac,,
83,"0,ALL","5,9","32,112,0","19,16","32,41,16","19,43,1","53,62,1","68,1",OOB,,
85,"0,ALL","26,13","46,131,5","41,10","61,70,10","46,74,12","79,93,12","98,12",OOB,,
87,"0,ALL","12,18",-,"26,15","35,45,15","32,49,8","54,68,8","74,8",OOB,,
89,"0,ALL",-,"9,96,4","9,7","22,30,7","15,33,6","34,45,6","61,6",Tac,,
91,"0,ALL",-,"6,99,12","0,4","8,15,4","0,17,14","22,42,14","51,14",Tac,,
93,"0,ALL","1,20",-,"4,11","28,34,1","17,25,0","41,52,0","59,0",TD,,
95,"11,ALL",-,-,-,"11,21,13","11,27,5","32,43,5","54,5",OOB,,
97,"0,ALL",-,-,"3,18","24,33,18","18,41,6","42,54,6","66,6",OOB,,
99,"0,ALL","10,21","24,139,8","22,18","38,48,18","42,56,2","58,80,2","92,2",OOB,,
101,"0,ALL","9,19","26,110,1","23,12","34,41,12","25,41,3","44,58,3","75,3",TD,,
103,"0,ALL",-,"9,?,2","11,5","27,34,5","40,50,1","51,57,1","66,1",OOB,,
