Video Name:,RPO,"Run Block - Frame, Z/G, OL. Use end frame of Throw Pass for end frame of run block.",,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,,
Video #,Pre Snap,Run Block ,Read Defender,Pull Ball,Throw Pass,Route,End of Play,,,
1,"0,ALL","88,G,OL","100,18","121,133,18","134,145,18","post,7",Tac,,,
2,"55,ALL","207,G,OL","213,39","239,39","256,269,39",",43 Tac",,,11,27
3,"0,ALL","49,G,OL","56,15","70,18","85,95,18","slant,3",OOB,,,
4,"0,ALL","38,G,OL","47,9","57,9","76,84,7",",27 OOB",,,,
5,"0,ALL","53,Z,OL","60,17","75,17","98,109,17","post,2",Tac,,,
6,"0,ALL","78,Z,OL","96,2","110,2","131,141,2",",25 Tac",,,,
7,"0,ALL","43,Z,OL","75,19","75,19","108,111,19","fade,0",OOB,,,
8,"0,ALL","35,Z,OL","39,8","55,8","76,86,8",",37 OOB",,,,
9,"0,ALL","55,?,OL",-,-,-,-,-,,,
10,"0,ALL","-,OL",-,-,-,-,-,,,
11,"0,ALL","30,Z,OL","41,13","57,67,13","92,103,13","post,6",Tac,,,
12,"0,ALL","41,Z,OL","52,9","65,72,9","101,111,9",",29 Tac",,,,
13,"0,ALL","54,Z,OL","59,13","66,75,13","84,92,13","hitch,1",OOB,,,
14,"0,ALL","23,Z,OL","28,3","32,41,3","51,59,3",",7 OOB",,,,
15,"0,ALL","-,OL",-,-,-,-,-,,,
16,"0,ALL","76,Z,OL","78,18","87,97,18","121,131,18","slant,5",Tac,,,
17,"0,ALL","40,Z,OL","46,4","52,64,4","80,98,4",",10 Tac",,,,
18,"0,ALL","44,Z,OL","51,19","62,71,19","86,97,19","hitch,1",TD,,,
19,"0,ALL","60,Z,OL","61,9","71,81,9","96,103,9",",7 TD",,,,
20,"0,ALL","100,Z,OL","97,16","110,118,16","138,145,16","slant,11",Tac,,,
21,"0,ALL","54,Z,OL","59,9","72,84,9","101,108,9",",26 Tac",,,,
22,"0,ALL","80,P,OL","84,14","98,105,14","120,126,14","slant,0",Tac,,,
23,"0,ALL","88,P,OL","84,4","98,113,4","125,133,4",",21 Tac",,,,
24,"0,ALL","46,Z,OL","49,15","58,67,15","95,104,9","post,3",TD,,,
25,"0,ALL","71,Z,OL","72,6","82,93,6","118,127,6",",25 TD",,,,
26,"0,ALL","66,G,OL","68,5",-,"110,119,15","seam,8",Tac,,,
27,"0,ALL","32,G,OL","34,7",-,"80,86,7",",4 Tac",,,,
28,"0,ALL","71,Z,OL","74,7","89,100,7","114,122,7","fade,4",Tac,,,
29,"0,ALL","68,Z,OL","74,9","86,98,9","108,118,9",",20 Tac",,,,
30,"0,ALL","22,Z,OL","25,14","43,59,14","100,109,18","slant,0",Tac,,,
31,"0,ALL","44,Z,OL","57,8","66,83,8","126,135,8",",21 Tac",,,,
32,"4,ALL","40,Z,OL","47,17","69,95,17","100,128,17","hitch,[?],3",TD,,,
33,"3,ALL","50,Z,OL","54,4","77,100,4","134,141,4",", TD",,,,
34,"4,ALL","28,Z,OL","31,14","41,57,14","68,77,14","slant,20",Tac,,,
35,"0,ALL","25,Z,OL","31,0","51,64,0","73,82,0",",23 Tac",,,,
36,"0,ALL","210,Z,OL","213,19","298,305,19","318,326,19","slant,8",Tac,,,
37,"0,ALL","226,Z,OL","247,8","263,280,8","291,277,8",",35 Tac",,,,
38,"0,ALL","42,G,OL","68,11","77,83,11","94,102,11","seam,14",Tac,,,
39,"0,ALL","68,G,OL","72,8","83,95,8","102,108,8",",9 Tac",,,,
40,"0,ALL","52,Z,OL","57,17","77,88,18","92,105,18","slant,0",OOB,,,
41,"0,ALL","35,Z,OL","46,7","62,76,11","84,90,11",",21 OOB",,,,
42,"29,ALL","199,Z,OL","208,12",-,"234,244,12","hitch,1",OOB,,,
43,"0,ALL","68,Z,OL","46,17","79,96,17","108,115,17","out,0",TD,,,
44,"0,ALL","45,Z,OL","46,7","62,71,19","88,96,19",",28 TD",,,,
45,"0,ALL","76,Z,OL","76,9","94,99,2","105,115,2","hitch,1",TD,,,
46,"0,ALL","66,Z,OL","68,12","85,94,12","98,108,12",-,TD,,,
47,"13,ALL","129,G,OL","130,14","144,155,14","166,175,14","slant,0",TD,,,
48,"0,ALL","22,G,OL","27,7","51,64,7","75,82,6",",17 TD",,,,
49,"0,ALL","104,Z,OL","108,17","121,133,9","146,159,9","slant,7",Tac,,,
50,"0,ALL","84,Z,OL","88,12","107,113,12","131,139,12",-,Tac,,,
51,"0,ALL","63,Z,OL","64,6","74,84,6","95,104,6","hitch,8",Tac,,,
52,"0,ALL","128,Z,OL","131,6","145,158,6","165,173,6",",32 Tac",,,,
53,"0,ALL","59,Z,OL","60,11","79,86,11","102,111,11","slant,2",TD,,,
54,"0,ALL","48,Z,OL","51,6","71,82,5","99,106,5",",18 TD",,,,
55,"0,ALL","42,Z,OL","42,16","50,58,16","77,86,16","fade,0",TD,,,
56,"0,ALL","38,Z,OL","38,9","47,61,9","72,84,9",",27 TD",,,,
57,"0,ALL","66,Z,OL","79,19","95,107,19","127,134,19","post,0",Tac,,,
58,"0,ALL","68,Z,OL","68,12","91,108,6","124,129,6",",26 Tac",,,,
59,"0,ALL","104,Z,OL","112,12","128,139,12","155,166,12","seam,8",TD,,,
60,"0,ALL","49,Z,OL","50,7","71,89,7","102,112,7",",2 TD",,,,
61,"0,ALL","44,Z,OL","44,3","53,65,3","87,105,3","fade,0",OOB,,,
62,"0,ALL","60,Z,OL","59,13","73,92,13","108,122,13",",25 OOB",,,,
63,"0,ALL","175,Z,OL","177,0","195,203,7","218,224,7","slant,2",Tac,,,
64,"0,ALL","54,Z,OL","55,15","75,86,15","96,103,15",",24 Tac",,,,
65,"0,ALL","65,Z,OL","72,19","84,91,19","98,106,19","hitch,3",Tac,,,
66,"0,ALL","30,Z,OL","31,11","44,54,11","60,67,11",",23 Tac",,,,
67,"0,ALL","25,Z,OL","27,20","43,51,20","59,67,20","out,0",OOB,,,
68,"0,ALL","68,Z,OL","72,11","84,94,11","103,111,11",", OOB",,,,
69,"0,ALL","40,Z,OL","51,14","55,61,5","96,104,5","seam,1",Comp.,,,
70,"0,ALL","52,Z,OL","62,3","71,80,3","110,120,3",",37 Comp.",,,,
71,"0,ALL","50,Z,OL","52,17","59,92,17","121,130,17",",2 OOB",,,,
72,"0,ALL","46,Z,OL","47,2","54,81,2","109,118,2",",18 OOB",,,,
73,"0,ALL","54,Z,OL","62,16","78,84,4","99,108,16","fade,0",OOB,,,
74,"0,ALL","82,Z,OL","98,9","88,98,9","114,121,9",",34 OOB",,,,
75,"0,ALL","88,G,OL","94,8","97,106,4","140,147,4","slant,0",TD,,,
76,"0,ALL","39,G,OL","42,5","61,68,5","100,114,5",",24 TD",,,,
77,"0,ALL","77,G,OL","78,20","81,89,20","114,120,20","fade,0",Tac,,,
78,"0,ALL","81,G,OL","88,12","98,109,12","133,139,12",",26 Tac",,,,
79,"0,ALL","14,Z,OL","20,13",-,-,-,TD,,,
80,"0,ALL","-,OL",-,-,-,-,-,,,
81,"0,ALL","77,Z,OL","84,9","98,114,4","133,143,4","fade,1",TD,,,
82,"0,ALL","74,Z,OL","81,10","91,114,10","135,139,10",",24 TD",,,,
83,"0,ALL","34,Z,OL","44,11","54,62,11","91,98,11",",40 Comp",,,,
84,"0,ALL","97,Z,OL","102,14","115,132,11","158,166,11","post,3",Tac,,,
85,"0,ALL","31,Z,OL","30,9","40,62,9","84,95,9",",25 Tac",,,,
86,"0,ALL","66,Z,OL","71,11","90,102,11","113,118,11","slant,2",TD,,,
87,"0,ALL","47,Z,OL","48,2","72,79,2","90,97,2",",16 TD",,,,
88,"0,ALL","32,Z,OL","35,16","42,51,16","62,69,16","hitch,0",Tac,,,
89,"0,ALL","30,Z,OL","33,9","37,46,9","63,69,9",",20 Tac",,,,
90,"0,ALL","64,Z,OL","71,17","82,98,17","115,123,17","slant,4",Tac,,,
91,"0,ALL","25,Z,OL","33,3","47,61,9","82,86,3",",21 Tac",,,,
92,"0,ALL","49,Z,OL","49,1","66,71,1","93,102,1","slant,8",TD,,,
