Video Name:,Sacks,,,,
,"Key Actions (Frame Number, player track id)",,,,
Video #,Pre Snap,Close On Quarterback,Wrap Quarterback,Sack Quarterback,Coverage
1,"0,ALL","146,22","172,22","186,22",Cover 1
2,"0,ALL","114,2","143,2","174,2",Cover 1
3,"0,ALL","220,14","230,14","241,277,14",Cover 4
4,"0,ALL","271,0","282,0,5","300,0,5",Cover 4
5,"0,ALL","177,5","197,5",?,Cover 4
6,"7,ALL","252,8","268,8",?,Cover 4
7,"0,ALL","106,19","131,19","148,19",Cover 1
8,"0,ALL","44,15","67,15","79,19",Cover 1
9,"0,ALL","86,17","106,17 (10)","119,21",Cover 1
10,"0,ALL","87,8","107,8",?,Cover 1
11,"0,ALL","131,25","160,25","184,25",Cover 3
12,"0,ALL","151,9","179,9","210,?",Cover 3
13,"0,ALL","91,22","120,22",?,2 Man
14,"0,ALL","86,11","115,11","120,4",2 Man
15,"0,ALL","139,12","166,12","174,",Cover 1
16,"0,ALL","178,2","195,2","210,?",Cover 1
17,"0,ALL","109,2","124,18","143,18",Cover 4
18,"0,ALL","177,3,0","188,7","204,7",Cover 4
19,"0,ALL","91,9","119,9","130,15",Cover 1
20,"0,ALL","78,0","105,0","117,0",Cover 1
21,"0,ALL","72,4","82,4","90,4",Cover 1
22,"0,ALL","61,12","77,?","87,20",Cover 1
23,"0,ALL","132,10,20,8","155,10","180,?",Cover 1
24,"6,ALL","173,6,13,8","194,8","210,?",Cover 1
25,"0,ALL","51,2","76,2","84,2",Cover 0
26,"0,ALL","112,1","132,1","139,1",Cover 4
27,"0,ALL","70,23","87,?",?,Cover 1
28,"0,ALL","86,2","107,?","113,21",Cover 1
29,"0,ALL","120,22","155,22","164,22",Cover 1
30,"0,ALL","133,15","145,?","150,10",Cover 1
31,"0,ALL","60,12","72,12","83,12",Cover 3
32,"0,ALL","70,3","93,3","102,3",Cover 3
33,"0,ALL","166,15","181,15","265,?",Cover 6
34,"0,ALL","113,19","143,24","184,?",Cover 6
35,"0,ALL","91,4","113,1","124,20",Cover 1
36,"0,ALL","76,18","97,18","109,10",Cover 1
37,"0,ALL","90,?","120,?","128,?",Cover 3
38,"0,ALL","143,12","160,12","169,12",Cover 3
39,"0,ALL","156,28,6","163,28","181,?",Cover 6
40,"0,ALL","79,8,16","89,8","118,19",Cover 6
41,"0,ALL","87,8","98,8","107,8",Cover 1
42,"0,ALL","70,0","91,0","104,8",Cover 1
43,"0,ALL","132,4","157,4","163,4",Cover 1
44,"0,ALL","80,4","98,8","106,22",Cover 1
45,"0,ALL","73,11","78,?","108,16",Cover 4
46,"0,ALL","104,1","113,1","143,1",Cover 4
47,"0,ALL","80,12","90,12","104,12",Cover 0
48,"0,ALL","79,9","93,9","104,9",Cover 0
49,"0,ALL","101,5","118,7",?,Cover 0
50,"0,ALL","120,16","142,16","150,16",Cover 0
51,"0,ALL","109,17","119,12","135,4",Cover 0
52,"0,ALL","109,8","123,12","132,12",Cover 0
53,"0,ALL","85,15","101,4","116,5",Cover 2
54,"0,ALL","76,13","106,13","126,11",Cover 2
55,"0,ALL","76,16","93,13","107,13",Cover 1
56,"0,ALL","77,1","87,1,6","90,1",Cover 1
57,"0,ALL","117,16","137,4",?,Cover 0
58,"0,ALL","79,18","97,18","117,22",Cover 0
59,"0,ALL","99,9,19","110,9",?,Cover 0
60,"0,ALL","92,19,2","100,19","119,?",Cover 0
61,"0,ALL","103,10","114,5","140,4",Cover 0
62,"0,ALL","122,20","133,20","183,26",Cover 0
63,"0,ALL","68,9","89,24",?,Cover 1
64,"0,ALL","65,3","77,3","90,3",Cover 1
65,"0,ALL","72,8","100,5","109,5",Cover 1
66,"0,ALL","80,1","107,22","114,?",Cover 1
67,"0,ALL","129,17","150,15","170,?",Cover 3
68,"0,ALL","92,0","110,16","117,4",Cover 3
69,"0,ALL","84,4","97,?","127,25",Cover 3
70,"0,ALL","125,4","133,18","163,?",Cover 3
71,"0,ALL","60,4","83,4","109,9",Cover 0
72,"0,ALL","71,1","93,1","113,14",Cover 0
73,"0,ALL","68,23","77,13","89,13",Cover 4
74,"-,ALL",-,-,-,Cover 4
75,"0,ALL","136,?","153,6","165,30",Cover 1
76,"0,ALL","107,18","117,2","133,18",Cover 1
77,"0,ALL","126,21","134,?","147,?",Cover 1
78,"0,ALL","182,3","199,3","205,3",Cover 1
79,"0,ALL","75,6","90,?",?,Cover 2
80,"0,ALL","98,0","116,24","120,?",Cover 2
81,"0,ALL","108,11","128,11","136,11",Cover 3
82,"0,ALL","117,13","134,13","148,13",Cover 3
83,"0,ALL","130,20","138,20","150,?",Cover 3
84,"0,ALL","109,5","123,5","136,10",Cover 3
85,"0,ALL","143,23","155,13","162,13",Cover 1
86,"0,ALL","113,10","128,10","133,10",Cover 1
87,"0,ALL","98,9","111,19","120,?",Cover 0
88,"0,ALL","100,2","110,17","120,?",Cover 0
89,"0,ALL","69,4","87,4","100,4",Cover 0
90,"7,ALL","81,22","97,5","109,17",Cover 0
91,"0,ALL","88,3","104,3","111,13",Cover 4
