Video Name:,Slant and Go,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Throw Pass,Sell Slant,Run Go Route,End of Play,,
1,"0,ALL","6,13","9,OL","21,18","94,102,18","6,21","62,21",Rec,,
2,"0,ALL",",12",",OL",",6",",6",",15",",15",Rec,,0
3,"0,ALL",",19",",OL",",18",",18",",15",",15",TD,,
5,"0,ALL",",21",",OL",",18",",18",",7",",7",TD,,
7,"0,ALL",",20",",OL",",10",",10",",5",",15",TD,,
8,"0,ALL",",5",",OL",",7",",7",",16",",16",TD,,
9,"0,ALL","4,15","7,OL","18,5","100,113,5","8,12","85,12",Rec,,
10,"0,ALL",",9",",OL",",5",",5",",29",",29",Rec,,
11,"0,ALL",",21",",OL",",19",",19",",11",",11",TD,,
12,"0,ALL","8,11","11,OL","22,1","98,109,1","49,16","70,16",TD,,
13,"0,ALL","10,18","13,OL","24,4","84,94,4","30,1","64,1",Rec,,
14,"0,ALL","1,15","4,OL","14,4","75,81,4","27,17","64,17",Rec,,
15,"0,ALL","1,15","4,OL","17,11","75,81,11","36,1","68,1",TD,,
17,"0,ALL","13,10","17,OL","26,16","96,103,16","57,1","88,1",Rec,,
19,"0,ALL",",19",",OL",",15",",15",",1",",11",TD,,
21,"0,ALL","15,18","18,OL","29,14","85,91,14","58,0","102,1",TD,,
23,"0,ALL","6,17","9,OL","24,12","87,94,12","62,4","99,4",TD,,
25,"0,ALL","2,12","5,OL","17,18","57,79,18","37,10","71,10",TD,,
27,"0,ALL","4,13","7,OL","19,5","70,77,5","46,2","73,2",TD,,
29,"0,ALL","19,20","22,OL","35,19","96,102,19","48,1","77,1",TD,,
31,"0,ALL",",20",",OL",",9",",9",",14",",14",Rec,,
32,"0,ALL",",12",",OL",",10",",10",,,Rec,,
33,"0,ALL",",20",",OL",",3",",3",",7",",7",TD,,
35,"0,ALL","9,18","12,OL","23,14","88,97,14","47,16","73,16",Rec,,
37,"0,ALL","22,17","25,OL","35,18","111,121,18","58,1","91,1",Rec,,
39,"0,ALL",",20",",OL",",16",",16",",0",",0",TD,,
41,"0,ALL","31,12","34,OL","46,10","118,126,10","72,19","99,19",TD,,
43,"0,ALL","41,21","44,OL","52,13","101,111,13","73,14","107,14",TD,,
45,"11,ALL","27,7","30,OL","41,13","128,136,13","77,1","103,1",Rec,,
47,"0,ALL",",21",",OL",",16",",16",",11",",11",Rec,,
49,"0,ALL","2,20","5,OL","16,17","85,93,17","33,10","65,10",Rec,,
