Video Name:,Slants0to10,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Throw Pass,Run Slant Route,Ball Carry,End of Play
3,"0,ALL","6,11","9,OL","25,36,19","55,65,19","25,60,5","70,5",OOB
5,"0,ALL","1,13","4,OL","9,21,15","45,56,15","9,54,2","85,2",Tac
7,"0,ALL","10,14","13,OL","21,33,17","55,61,17","21,61,7","91,7",Tac
9,"0,ALL","1,20","4,OL","11,22,11","68,77,11","11,77,16","117,16",Tac
11,"0,ALL","15,17","18,OL","28,40,20","80,89,20","29,87,1","118,1",TD
13,"0,ALL","2,14","5,OL","17,21,15","64,73,15","16,78,3","106,3",Tac
15,"0,ALL",-,"4,OL","9,18,14","54,62,14","23,70,6","85,6",Tac
17,"0,ALL",-,"2,OL","6,10,16","43,52,16","9,53,2","84,2",OOB
19,"0,ALL",-,"0,OL",-,"39,48,12","3,46,1","81,1",Tac
21,"0,ALL",-,"2,OL","12,20,17","41,50,17","12,50,5","75,5",TD
23,"5,ALL","7,19","12,OL","23,31,15","70,77,15","23,77,7","112,7",?
25,"0,ALL","3,18","7,OL","16,30,14","55,64,14","12,74,1","81,1",Tac
27,"0,ALL",-,"-,OL","9,18,20","50,60,20","18,72,0","91,0",OOB
29,"0,ALL",-,"2,OL","7,14,12","63,72,12","10,53,0","110,0",Tac
31,"0,ALL",-,"3,OL","3,12,16","46,56,16","46,63,0","87,0",TD
33,"0,ALL",-,"2,OL","2,10,17","47,57,17","20,69,9","91,9",Tac
35,"0,ALL","13,16","16,OL","28,34,2","65,71,2","28,91,19","97,19",Tac
37,"0,ALL",-,"-,OL","12,18,16","49,73,16","12,73,16","89,16",TD
39,"0,ALL",-,"3,OL","15,22,17","41,51,17","15,60,5","78,5",Tac
41,"0,ALL","1,13","4,OL","16,20,7","50,58,7","16,60,12","79,12",OOB
43,"0,ALL","1,17","4,OL","13,16,18","46,52,18","18,81,0","83,0",Tac
45,"0,ALL","11,17","14,OL","26,30,6","64,76,6","26,92,2","93,2",Tac
47,"0,ALL","1,10","4,OL","15,25,8","51,60,8","15,66,0","93,0",TD
49,"0,ALL","4,20","7,OL","19,23,17","58,66,17","19,66,2","88,2",Tac
51,"0,ALL",-,"2,OL","2,7,13","44,51,13","9,60,17","84,17",Tac
53,"0,ALL","3,17","7,OL","18,22,17","57,65,15","22,65,1","114,1",Tac
55,"0,ALL","1,16","4,OL","14,18,13","53,63,13","18,79,7","92,7",OOB
57,"0,ALL","1,7","4,OL","10,16,7","57,68,7","10,86,10","93,10",TD
59,"0,ALL",-,"7,OL","7,11,15","65,73,15","13,71,0","93,0",OOB
61,"0,ALL",-,"7,OL","7,12,10","42,53,10","8,58,2","75,2",Tac
63,"0,ALL","12,15","15,OL","26,33,9","66,76,9","29,80,2","108,2",Tac
65,"0,ALL",-,"6,OL","6,15,18","55,63,18","20,78,3","99,3",Tac
67,"0,ALL","6,20","9,OL","20,25,16","57,88,16","15,86,0","106,0",Tac
69,"0,ALL","1,21","4,OL","17,23,15","66,73,15","17,88,1","104,1",Tac
71,"0,ALL",-,"4,OL","11,23,19","41,51,19","11,78,14","94,14",Tac
73,"0,ALL",-,"3,OL","3,13,14","45,52,11","4,74,2","83,2",-
75,"0,ALL","9,15","20,OL","23,27,20","60,69,20","20,88,1","94,1",TD
77,"0,ALL","12,20","15,OL","27,32,10","61,70,10","27,88,3","93,3",Tac
79,"0,ALL","15,17","18,OL","30,34,18","66,75,18","27,99,0","107,0",OOB
81,"0,ALL","18,20","21,OL","32,38,21","79,89,21","37,110,1","129,1",Tac
83,"0,ALL",-,"2,OL","11,15,9","38,46,9","4,66,5","81,5",Tac
85,"0,ALL",-,"3,OL","10,14,13","47,57,13","10,80,13","90,17",Tac
87,"0,ALL",-,"10,OL","14,19,14","76,86,14","14,108,0","117,0",TD
89,"0,ALL",-,"4,OL","4,7,11","39,48,11","7,69,3","73,3",Tac
91,"0,ALL",-,"3,OL","3,10,20","50,56,20","5,76,4","80,4",TD
93,"0,ALL","1,20","4,OL","11,20,5","59,68,5","11,85,8","89,8",Tac
95,"0,ALL","2,11","5,OL","11,17,12","52,59,12","10,79,2","89,2",TD
97,"0,ALL",-,"3,OL","5,14,20","50,58,20","3,83,0","85,0",TD
99,"0,ALL",-,"7,OL","15,21,12","59,70,12","15,90,4","96,4",OOB
