Video Name:,Split Zone,,,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,,,
Video #,Pre Snap,Ball Snap,Zone Block,Split Block,Snap Receive,Handoff,Ball Carry,OL,Press Edge,Read Edge Defender,Block Second Level,End of OL Block,End of Play,Original ID
1,"0,ALL","59,7","62,OL","70,1","79,9","89,9","105,22",-,-,-,"96,17",148,Tac,SplitZone_1
2,"7,ALL","52,9","55,OL","59,1","67,7","73,7","97,6",-,-,-,"98,8",146,Tac,SplitZone_2
3,"12,ALL","73,33","76,OL","85,16","91,35","95,35","115,20",-,-,-,-,157,Tac,SplitZone_3
4,"13,ALL","121,14","124,OL","127,2","133,7","144,7","162,3",-,-,-,-,195,Tac,SplitZone_4
5,"0,ALL","171,15","174,OL","186,12","186,14","196,14","212,21",-,-,-,-,271,TD,SplitZone_5
6,"0,ALL","177,11","180,OL","186,3","191,5","199,5","218,9",-,-,-,-,264,TD,SplitZone_6
7,"4,ALL","124,16","127,OL","128,12","141,17","152,17","172,7",-,-,-,-,224,Tac,SplitZone_7
8,"0,ALL","172,12","175,OL","175,14","188,2","196,2","217,7",-,-,-,-,262,Tac,SplitZone_8
9,"0,ALL","76,16","79,OL","84,2","86,20","114,20","124,8",-,-,-,-,166,Tac,SplitZone_9
10,"0,ALL","57,16","60,OL","65,13","66,17","93,17","106,6",-,-,-,-,128,Tac,SplitZone_10
11,"14,ALL","294,21","297,OL","303,10","299,17","328,14","336,1",-,-,-,"324,17",372,Tac,SplitZone_11
12,"13,ALL","290,14","294,OL","318,13","295,15","317,15","331,12",-,-,-,"313,7",373,Tac,SplitZone_12
13,"0,ALL","82,10","85,OL","87,3","99,4","110,4","124,12",-,-,-,"122,10",181,Tac,SplitZone_13
14,"15,ALL","125,6","128,OL","132,9","142,10","150,10","170,10",-,-,-,-,209,Tac,SplitZone_14
15,"0,ALL","161,13","164,OL","174,7","180,19","189,19","212,21",-,-,-,"208,14",256,TD,SplitZone_15
16,"0,ALL","171,9","174,OL","183,3","187,7","197,7","223,4",-,-,-,"221,9",268,TD,SplitZone_16
17,"0,ALL","337,19","338,OL","346,9","347,4","365,4","379,1",-,-,-,"350,29",422,OOB,SplitZone_17
18,"0,ALL","356,16","359,OL","368,5","368,17","384,17","400,1",-,-,-,"406,10",436,OOB,SplitZone_18
19,"26,ALL","476,18","479,OL","486,3","490,5","501,5","516,0",-,-,-,-,599,OOB,SplitZone_19
20,"7,ALL","220,14","223,OL","229,15","233,16","245,16","262,20",-,-,-,-,351,OOB,SplitZone_20
21,"5,ALL","79,16","82,OL","84,1","95,4","104,4","120,15",-,-,-,-,160,OOB,SplitZone_21
22,"2,ALL","62,10","65,OL","64,14","77,16","89,16","105,18",-,-,-,-,155,OOB,SplitZone_22
23,"0,ALL","89,6","92,OL","100,3","106,7","111,7","127,12",-,-,-,-,164,?,SplitZone_23
24,"10,ALL","60,11","63,OL","66,4","76,8","85,8","97,0",-,-,-,-,134,?,SplitZone_24
25,"4,ALL","99,16","102,OL","105,11","116,13","124,13","155,20",-,-,-,-,203,Tac,SplitZone_25
26,"0,ALL","107,14","110,OL","113,0","119,12","135,12","146,11",-,-,-,-,220,Tac,SplitZone_26
27,"5,ALL","207,11","210,OL","214,3","223,12","238,12","254,16",-,-,-,-,308,TD,SplitZone_27
28,"0,ALL","189,10","192,OL","194,3","204,6",-,"237,6",-,-,-,-,279,TD,SplitZone_28
29,"14,ALL","244,19","247,OL","253,13","261,15","270,15","270,16",-,-,-,-,323,Tac,SplitZone_29
30,"11,ALL","115,12","118,OL","121,1","130,5","139,5","160,3",-,-,-,"152,8",187,Tac,SplitZone_30
31,"18,ALL","277,19","300,OL","305,10","311,20","323,20","347,16",-,-,-,"331,7",393,TD?,SplitZone_31
32,"13,ALL","215,0","218,OL","227,8","229,10","242,10","268,16",-,-,-,"244,11",300,TD,SplitZone_32
33,"13,ALL","290,20","293,OL","296,7","306,13","316,13","330,10",-,-,-,-,387,TD,SplitZone_33
34,"6,ALL","235,7","238,OL","239,18","249,11","263,11","275,19",-,-,-,"275,7",331,TD,SplitZone_34
35,"9,ALL","210,9","213,OL","221,13","224,15","237,15","257,16",-,-,-,"252,9",305,Tac,SplitZone_35
36,"20,ALL","193,9","196,OL","204,11","209,7","217,7","294,6",-,-,-,"217,9",284,Tac,SplitZone_36
37,"0,ALL","58,18","61,OL","63,14","72,11","79,11","105,20",-,-,-,-,155,Tac,SplitZone_37
38,"0,ALL","101,15","104,OL","107,2","111,10","123,10","149,16",-,-,-,-,199,Tac,SplitZone_38
39,"6,ALL","117,20","120,OL","124,22","128,19","142,19","159,7",-,-,-,-,232,TD,SplitZone_39
40,"18,ALL","112,15","115,OL","119,0","123,9","134,9","153,6",-,-,-,-,221,TD,SplitZone_40
41,"0,ALL","90,13","93,OL","100,5","104,14","113,14","122,15",-,-,-,"109,13",164,Tac,SplitZone_41
42,"12,ALL","100,12","103,OL","108,4","110,2","123,2","129,3",-,-,-,"119,12",169,Tac,SplitZone_42
43,"0,ALL","74,17","77,OL","81,11","89,19",-,"113,19",-,-,-,"91,12",115,Tac,SplitZone_43
44,"0,ALL","26,12","29,OL","31,15","41,14",-,"68,4",-,-,-,"51,7",72,Tac,SplitZone_44
45,"0,ALL","108,18","111,OL","115,3","120,16",-,"143,16",-,-,-,"131,21",266,*?,SplitZone_45
46,"11,ALL","85,10","88,OL","92,4","97,7",-,"125,7",-,-,-,"109,11",148,*?,SplitZone_46
47,"5,ALL","187,16","190,OL","204,8","200,7","219,7","225,0",-,-,-,"222,1",335,OOB,SplitZone_47
48,"0,ALL","185,14","188,OL","198,6","197,10","205,10","223,8",-,-,-,-,327,OOB,SplitZone_48
49,"0,ALL","37,11","40,OL","46,2","54,11",-,"107,19",-,-,-,"72,20",174,Tac,SplitZone_49
50,"0,ALL","65,15","70,OL","73,8","82,5",-,"122,5",-,-,-,"96,4",182,Tac,SplitZone_50
51,"14,ALL","80,4","83,OL","90,7","95,13","100,13","107,10",-,-,-,"112,21",142,Tac,SplitZone_51
52,"9,ALL","93,15","96,OL","98,9","107,6","111,6","120,14",-,-,-,"135,4",170,Tac,SplitZone_52
53,"0,ALL","84,20","87,OL","91,13","93,8",-,"121,8",-,-,-,"128,19",161,OOB,SplitZone_53
54,"0,ALL","71,12","74,OL","80,2","85,7",-,"111,7",-,-,-,"96,9",159,OOB,SplitZone_54
55,"6,ALL","369,14","372,OL","374,3","380,9","387,9","393,4",-,-,-,"408,21",458,Tac,SplitZone_55
56,"2,ALL","388,9","391,OL","393,6","398,7","408,7","420,0",-,-,-,"420,0",523,Tac,SplitZone_56
57,"0,ALL","86,20","89,OL","94,4","102,19","109,19","117,14",-,-,-,"103,22",150,Tac,SplitZone_57
58,"19,ALL","129,15","132,OL","138,5","142,6","146,6","155,8",-,-,-,"148,10",204,Tac,SplitZone_58
59,"0,ALL","245,0","248,OL","254,8","260,15","263,15","269,5",-,-,-,"277,8",360,OOB,SplitZone_59
60,"11,ALL","175,11","178,OL","181,12","192,7","196,7","203,3",-,-,-,"205,12",300,OOB,SplitZone_60
61,"1,ALL","41,17","44,OL","49,5","54,18","62,18","70,21",-,-,-,"71,14",128,TD,SplitZone_61
62,"7,ALL","47,13","50,OL","53,0","59,9","65,9","78,3",-,-,-,"61,10",118,TD,SplitZone_62
63,"11,ALL","38,14","61,OL","64,4","75,19","83,19","93,20",-,-,-,-,160,Tac,SplitZone_63
64,"0,ALL","43,6","48,OL","49,12","60,11","77,11","81,10",-,-,-,-,127,Tac,SplitZone_64
65,"0,ALL","161,21","164,OL","176,2","176,18","183,18","191,9",-,-,-,"200,2",244,Tac,SplitZone_65
66,"0,ALL","164,15","167,OL","178,0","178,10","185,10","196,5",-,-,-,"206,0",245,Tac,SplitZone_66
67,"18,ALL","136,17","139,OL","143,4","152,16","155,16","165,15",-,-,-,"151,21",222,Tac,SplitZone_67
68,"21,ALL","285,4","288,OL","288,0","299,12","304,12","320,5",-,-,-,"304,7",369,Tac,SplitZone_68
69,"4,ALL","77,14","80,OL","79,2","90,13",-,"115,13",-,-,-,"113,5",124,OOB,SplitZone_69
70,"0,ALL","79,13","82,OL","86,10","91,2",-,"112,2",-,-,-,"119,3",130,OOB,SplitZone_70
71,"13,ALL","202,15","205,OL","204,4","215,20",-,"236,22",-,-,-,*,251,OOB,SplitZone_71
72,"27,ALL","291,19","294,OL","291,2","300,12",-,"325,12",-,-,-,*,336,OOB,SplitZone_72
73,"11,ALL","124,2","129,OL","130,1","141,10","144,10","156,7",-,-,-,-,226,Tac,SplitZone_73
74,"7,ALL","99,13","112,OL","103,5","112,9","114,8","124,10",-,-,-,-,177,Tac,SplitZone_74
75,"0,ALL","106,21","109,OL","114,2","121,18","125,18","136,17",-,-,-,-,204,TD,SplitZone_75
76,"0,ALL","232,8","235,OL","240,3","243,11","249,11","260,5",-,-,-,-,329,TD,SplitZone_76
77,"20,ALL","187,12","190,OL","195,4","204,11",-,"221,11",-,-,-,-,302,Tac,SplitZone_77
78,"14,ALL","284,12","287,OL","292,5","301,8",-,"327,8",-,-,-,-,371,Tac,SplitZone_78
79,"11,ALL","276,19","279,OL","280,8","288,12","292,13","300,16",-,-,-,-,430,OOB,SplitZone_79
80,"18,ALL","312,14","315,OL","318,3","319,9","332,9","330,6",-,-,-,-,424,OOB,SplitZone_80
81,"8,ALL","208,18","211,OL","214,2","223,25","227,25","235,19",-,-,-,"270,20",309,OOB,SplitZone_81
82,"29,ALL","237,15","240,OL","242,7","252,10","256,10","268,12",-,-,-,"300,11",363,OOB,SplitZone_82
83,"20,ALL","80,18","83,OL","86,4","94,4","99,6","105,9",-,-,-,-,212,OOB,SplitZone_83
84,"25,ALL","148,13","151,OL","151,10","160,8","163,8","173,5",-,-,-,-,242,OOB,SplitZone_84
85,"24,ALL","210,20","213,OL","221,7","231,19","235,19","240,13",-,-,-,-,311,Tac,SplitZone_85
86,"0,ALL","119,5","122,OL","128,9","131,8","142,8","153,3",-,-,-,-,224,Tac,SplitZone_86
87,"0,ALL","187,19","190,OL","195,3","201,1",-,"223,1",-,-,-,-,262,Tac,SplitZone_87
88,"3,ALL","88,13","91,OL","96,14","103,3",-,"123,4",-,-,-,-,185,Tac,SplitZone_88
89,"0,ALL","155,14","158,OL","160,17","158,18","148,18","188,3",-,-,-,"189,9",276,Tac,SplitZone_89
90,"17,ALL","190,17","193,OL","200,0","198,11","207,11","229,2",-,-,-,"229,6",325,Tac,SplitZone_90
91,"0,ALL","106,21","109,OL","107,8","118,10","125,10","150,9",-,-,-,-,182,TD,SplitZone_91
92,"7,ALL","181,3","184,OL","184,0","192,2","204,2","211,5",-,-,-,-,256,TD,SplitZone_92
93,"25,ALL","83,21","86,OL","88,13","92,19","99,19","112,16",-,-,-,-,174,Tac,SplitZone_93
94,"0,ALL","105,12","108,OL","108,13","114,2","116,2","134,10",-,-,-,-,194,Tac,SplitZone_94
95,"1,ALL","49,19","52,OL","57,6","65,18","71,18","78,15",-,-,-,"86,9",141,TD,SplitZone_95
