Video Name:,Stop and Go,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Pump Fake,Throw Pass,Vertical Stem,Sell Stop,Run Go Route,End of Play,,
1,"0,ALL","20,18","23,OL","36,15","84,15","112,126,15","36,12","78,12","91,12",Rec,,0
3,"0,ALL","5,20","8,OL","25,14","60,14","96,108,14","65,0","71,0","95,0",TD,,
5,"0,ALL","11,19","14,OL","23,16",-,"102,110,16","23,3","73,3","84,3",TD,,
7,"0,ALL","23,19","26,OL","39,13",-,"118,129,13","39,0","87,0","104,0",TD,,
9,"0,ALL","12,16","15,OL","28,11",-,"105,115,17","28,11","78,11","95,11",TD,,
11,"0,ALL","25,15","28,OL","41,16",-,"125,136,16","41,0","86,0","112,0",TD,,
13,"0,ALL","1,17","4,OL","7,13","48,13","72,80,13","27,0","49,0","57,0",Rec,,
15,"0,ALL","15,19","18,OL","30,17",-,"98,110,17","30,0","70,0","88,0",TD,,
17,"0,ALL","5,19","8,OL","19,21",-,"98,109,21","19,0","50,0","74,0",TD,,
19,"0,ALL",",20",",OL",",16",-,",16",",1",",1",",1",Rec,,
21,"0,ALL","2,16","5,OL","22,18",-,"137,143,18","22,10","69,10","78,10",Rec,,
23,"0,ALL","20,15","23,OL","36,16","55,80,16","105,114,16","36,6","53,6","82,6",TD,,
25,"0,ALL",",20",",OL",",13",-,",13",",1",",1",",1",Rec,,
26,"0,ALL","12,16","15,OL","16,12",-,"113,120,12",",1",",1",",1",Rec,,
27,"0,ALL",",12",",OL",",4",",4",",4",",2",",2",",2",Rec,,
29,"0,ALL","26,21","29,OL","36,1",-,"138,148,7","36,0","91,0","108,0",TD,,
31,"0,ALL","3,16","6,OL","19,12",-,"92,104,12","19,3","73,3","91,3",Rec,,
33,"0,ALL","12,17","15,OL","27,11",-,"93,101,11","27,0","66,0","76,0",Rec,,
35,"0,ALL","14,19","17,OL","30,15",-,"89,98,15","30,10","53,10","77,10",TD,,
37,"0,ALL","8,6","11,OL","22,20",-,"93,109,20","22,13","83,13","94,13",Rec,,
39,"0,ALL","5,21","8,OL","9,16",-,"99,109,16","19,0","60,0","77,0",Rec,,
41,"0,ALL","4,12","7,OL","18,14",-,"95,105,14","18,0","78,0","95,0",Rec,,
43,"0,ALL","10,17","13,OL","14,21",-,"111,122,21","29,6","72,6","93,6",Rec,,
45,"0,ALL","16,12","19,OL","29,8","64,77,8","103,116,8","29,3","58,3","79,3",TD,,
47,"0,ALL","21,13","24,OL","33,11","62,85,11","96,104,11","35,0","53,0","80,0",Rec,,
49,"0,ALL","22,13","25,OL","38,18",-,"101,113,18","38,0","73,0","96,0",Rec,,
51,"0,ALL","5,16","8,OL","21,17",-,"84,92,17","31,6","62,6","73,6",Rec,,
53,"0,ALL","11,18","14,OL","23,17",-,"111,122,17","23,6","93,6","116,6",Rec,,
55,"0,ALL","18,17","21,OL","36,19",-,"125,134,19","43,5","90,5","101,5",TD,,
