Video Name:,WR Slow Screen,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,
Video #,Pre Snap,Ball Snap,Pass Block,Snap Receive,Release to Screen, Turn To Quarterback,Settle For Screen ,Throw Screen Pass,Run After Catch,End of Play
1,"0,ALL","19,22","22,OL","34,16","55,19","58,0",-,"79,88,16","110,0",Tac
2,"0,ALL","8,2","11,OL","25,11","36,7",-,-,"67,77,4",-,Tac
13,"0,ALL","13,12","16,OL","29,13","55,15","51,75,19",-,"77,91,13","117,19",Tac
14,"0,ALL","16,4","19,OL","31,12","54,4",-,-,"82,93,12","117,16",Tac
23,"0,ALL",",18",",OL",",8",Tac,-,-,-,-,-
24,"0,ALL","2,15","5,OL","17,4","88,8",-,-,"92,103,2","136,23",Tac
25,"0,ALL",",19",",OL",",15",",19",",8",-,",15",",8",Tac
26,"0,ALL",",5",",OL",",6",-,",6",",15",Tac,-,-
29,"0,ALL","17,16","20,OL","21,20","48,21","68,13",-,"89,98,8","131,13",OOB
30,"0,ALL","2,10","5,OL","7,17","56,11",-,-,"73,84,17","121,44",OOB
37,"0,ALL","16,12","19,OL","28,7","47,21","56,0",-,"92,102,7","121,0",Tac
38,"0,ALL","27,11","30,OL","44,6","62,10",-,-,"105,114,6","134,25",Tac
39,"0,ALL","70,14","73,OL","85,18","103,2","112,11",-,"137,144,18","172,11",Tac
40,"0,ALL","3,11","6,OL","19,12",-,-,-,"69,77,12","124,30",Tac
41,"0,ALL","2,24","5,OL","17,20","59,17","35,1",-,"57,74,20","91,1",Tac
42,"0,ALL","13,11","16,OL","31,7","44,10",-,-,"77,87,7","106,16",Tac
43,"0,ALL","7,14","10,OL","19,12","42,19","51,20",-,"68,78,12","98,20",Tac
44,"0,ALL","6,16","9,OL","19,11","38,5",-,-,"70,78,11","98,31",Tac
45,"0,ALL","18,21","21,OL","34,14",-,-,-,-,-,-
53,"0,ALL","4,21","7,OL","20,10","45,5","52,2",-,"69,78,10","100,2",Tac
54,"0,ALL","1,14","4,OL","8,13","29,0",-,-,"55,66,15","87,25",Tac
