source_play,source_video_id,source_clip_name,destination_play,destination_video_id,destination_clip_name,status,source_key_actions_file,destination_key_actions_file,notes
OutsideZoneStretch,1,OutsideZoneStretch_1,OutsideZoneStretch,1,OutsideZoneStretch_1,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,2,OutsideZoneStretch_2,OutsideZoneStretch,2,OutsideZoneStretch_2,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,3,OutsideZoneStretch_3,OutsideZoneRead,1,OutsideZoneRead_1,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
OutsideZoneStretch,4,OutsideZoneStretch_4,OutsideZoneStretch,3,OutsideZoneStretch_3,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,5,OutsideZoneStretch_5,OutsideZoneStretch,4,OutsideZoneStretch_4,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,6,OutsideZoneStretch_6,OutsideZoneStretch,5,OutsideZoneStretch_5,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,7,OutsideZoneStretch_7,OutsideZoneStretch,6,OutsideZoneStretch_6,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,8,OutsideZoneStretch_8,OutsideZoneStretch,7,OutsideZoneStretch_7,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,9,OutsideZoneStretch_9,OutsideZoneStretch,8,OutsideZoneStretch_8,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,10,OutsideZoneStretch_10,OutsideZoneStretch,9,OutsideZoneStretch_9,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,11,OutsideZoneStretch_11,OutsideZoneRead,2,OutsideZoneRead_2,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
OutsideZoneStretch,12,OutsideZoneStretch_12,OutsideZoneRead,3,OutsideZoneRead_3,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
OutsideZoneStretch,13,OutsideZoneStretch_13,OutsideZoneRead,4,OutsideZoneRead_4,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
OutsideZoneStretch,14,OutsideZoneStretch_14,OutsideZoneRead,5,OutsideZoneRead_5,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
OutsideZoneStretch,15,OutsideZoneStretch_15,OutsideZoneStretch,10,OutsideZoneStretch_10,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,16,OutsideZoneStretch_16,OutsideZoneStretch,11,OutsideZoneStretch_11,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneStretch.csv,Canonical stretch split
OutsideZoneStretch,17,OutsideZoneStretch_17,OutsideZoneRead,6,OutsideZoneRead_6,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
OutsideZoneStretch,18,OutsideZoneStretch_18,OutsideZoneRead,7,OutsideZoneRead_7,MIGRATE,data/key_actions/OutsideZoneStretch.csv,data/key_actions/OutsideZoneRead.csv,Canonical read split
