Video Name:,KickoffReturnTouchdown,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,
1,"Kicker,[?]","Left_Coverage1,[?]","Left_Coverage2,[?]","Left_Coverage3,[?]","Left_Coverage4,[?]","Left_Coverage5,[?]","Right_Coverage1,[?]","Right_Coverage2,[?]","Right_Coverage3,[?]","Right_Coverage4,[?]","Right_Coverage5,[?]",
1,"Front_Blocker1,8","Front_Blocker2,3","Front_Blocker3,7","Front_Blocker4,2","Front_Blocker5,1","Second_Level_Blocker1,4","Second_Level_Blocker2,5","Second_Level_Blocker3,6","Second_Level_Blocker4,0","Kick_Returner1,[?]","Kick_Returner2,[?]",
2,"Kicker,12","Left_Coverage1,10","Left_Coverage2,13","Left_Coverage3,2","Left_Coverage4,0","Left_Coverage5,4","Right_Coverage1,1","Right_Coverage2,7","Right_Coverage3,8","Right_Coverage4,6","Right_Coverage5,5",
2,"Front_Blocker1,7","Front_Blocker2,[?]","Front_Blocker3,16","Front_Blocker4,14","Front_Blocker5,15","Second_Level_Blocker1,9","Second_Level_Blocker2,13","Second_Level_Blocker3,11","Second_Level_Blocker4,18","Kick_Returner1,19","Kick_Returner2,[?]",
3,"Kicker,2","Left_Coverage1,[?]","Left_Coverage2,[?]","Left_Coverage3,[?]","Left_Coverage4,[?]","Left_Coverage5,[?]","Left_Coverage6,3","Right_Coverage1,[?]","Right_Coverage2,[?]","Right_Coverage3,[?]","Right_Coverage4,[?]","Right_Coverage5,2"
3,"Front_Blocker1,8","Front_Blocker2,[?]","Front_Blocker3,7","Front_Blocker4,6","Second_Level_Blocker1,[?]","Second_Level_Blocker2,4","Second_Level_Blocker3,[?]","Second_Level_Blocker4,0","Second_Level_Blocker5,1","Kick_Returner1,[?]","Kick_Returner2,[?]",
4,"Kicker,[?]","Left_Coverage1,3","Left_Coverage2,6","Left_Coverage3,8","Left_Coverage4,10","Left_Coverage5,9","Left_Coverage6,4","Right_Coverage1,7","Right_Coverage2,12","Right_Coverage3,[?]",,
4,"Front_Blocker1,[?]","Front_Blocker2,2","Front_Blocker3,[?]","Front_Blocker4,[?]","Second_Level_Blocker1,[?]","Second_Level_Blocker2,1","Second_Level_Blocker3,0","Second_Level_Blocker4,5","Second_Level_Blocker5,11","Kick_Returner1,[?]","Kick_Returner2,[?]",
5,"Kicker,[?]","Left_Coverage1,[?]","Left_Coverage2,[?]","Left_Coverage3,10","Left_Coverage4,[?]","Right_Coverage1,6","Right_Coverage2,0","Right_Coverage3,5","Right_Coverage4,7","Right_Coverage5,3",,
5,"Front_Blocker1,2","Front_Blocker2,1","Front_Blocker3,[?]","Front_Blocker4,8","Second_Level_Blocker1,4","Second_Level_Blocker2,9","Second_Level_Blocker3,[?]",,,,,
6,"Kicker,8","Left_Coverage1,5","Left_Coverage2,7","Left_Coverage3,6","Left_Coverage4,11","Left_Coverage5,16","Right_Coverage1,9","Right_Coverage2,2","Right_Coverage3,0","Right_Coverage4,1","Right_Coverage5,3",
6,"Front_Blocker1,[?]","Front_Blocker2,4","Front_Blocker3,10","Front_Blocker4,15","Second_Level_Blocker1,[?]","Second_Level_Blocker2,[?]","Second_Level_Blocker3,13","Second_Level_Blocker4,14","Second_Level_Blocker5,12","Kick_Returner1,[?]","Kick_Returner2,[?]",
7,"Kicker,12","Left_Coverage1,13","Left_Coverage2,[?]","Left_Coverage3,[?]","Left_Coverage4,[?]","Right_Coverage1,0","Right_Coverage2,3","Right_Coverage3,9","Right_Coverage4,11","Right_Coverage5,10","Right_Coverage6,8",
7,"Front_Blocker1,7","Front_Blocker2,1","Front_Blocker3,5","Front_Blocker4,2","Second_Level_Blocker1,4","Second_Level_Blocker2,6",,,,,,
8,"Kicker,19","Left_Coverage1,8","Left_Coverage2,18","Left_Coverage3,17","Left_Coverage4,14","Right_Coverage1,0","Right_Coverage2,3","Right_Coverage3,1","Right_Coverage4,2","Right_Coverage5,[?]","Right_Coverage6,[?]",
8,"Front_Blocker1,5","Front_Blocker2,4","Front_Blocker3,7","Front_Blocker4,9","Front_Blocker5,10","Front_Blocker6,6","Second_Level_Blocker1,11","Second_Level_Blocker2,12","Second_Level_Blocker3,15","Second_Level_Blocker4,13","Kick_Returner,16",
9,"Kicker,10","Left_Coverage1,14","Left_Coverage2,12","Left_Coverage3,15","Left_Coverage4,8","Right_Coverage1,4","Right_Coverage2,9","Right_Coverage3,11","Right_Coverage4,7","Right_Coverage5,5",,
9,"Front_Blocker1,1","Front_Blocker2,2","Front_Blocker3,13","Front_Blocker4,6","Second_Level_Blocker1,0","Second_Level_Blocker2,3",,,,,,
10,"Kicker,15","Left_Coverage1,20","Left_Coverage2,10","Left_Coverage3,7","Left_Coverage4,13","Left_Coverage5,16","Right_Coverage1,8","Right_Coverage2,11","Right_Coverage3,12","Right_Coverage4,3","Right_Coverage5,6",
10,"Front_Blocker1,9","Front_Blocker2,2","Front_Blocker3,14","Front_Blocker4,5","Second_Level_Blocker1,0","Second_Level_Blocker2,19","Second_Level_Blocker3,4","Second_Level_Blocker4,1","Second_Level_Blocker5,17","Kick_Returner1,21","Kick_Returner2,18",
11,"Kicker,12","Left_Coverage1,2","Left_Coverage2,[?]","Left_Coverage3,[?]","Left_Coverage4,[?]","Left_Coverage5,[?]","Right_Coverage1,13","Right_Coverage2,8","Right_Coverage3,11","Right_Coverage4,10","Right_Coverage5,0",
11,"Front_Blocker1,14","Front_Blocker2,3","Front_Blocker3,9","Front_Blocker4,7","Front_Blocker5,4","Second_Level_Blocker1,1","Second_Level_Blocker2,5","Second_Level_Blocker3,2","Second_Level_Blocker4,6","Second_Level_Blocker5,15","Kick_Returner,[?]",
12,"Kicker,5","Left_Coverage1,2","Left_Coverage2,7","Left_Coverage3,18","Right_Coverage1,10","Right_Coverage2,8","Right_Coverage3,1","Right_Coverage4,0","Right_Coverage5,4","Right_Coverage6,3",,
12,"Front_Blocker1,20","Front_Blocker2,6","Front_Blocker3,15","Front_Blocker4,11","Front_Blocker5,[?]","Second_Level_Blocker1,9","Second_Level_Blocker2,13","Second_Level_Blocker3,10","Second_Level_Blocker4,12","Second_Level_Blocker5,14","Kick_Returner,[?]",
