Video Name:,OnsideKickRecovery,,,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,,,
1,"Kicker,5","Left_Coverage1,0","Left_Coverage2,4","Left_Coverage3,3","Left_Coverage4,19","Left_Coverage5,15","Right_Coverage1,16","Right_Coverage2,14","Right_Coverage3,18","Right_Coverage4,17","Right_Coverage5,21",,,
1,"Onside_Recovery_Front1,6","Onside_Recovery_Front2,2","Onside_Recovery_Front3,7","Onside_Recovery_Front4,12","Onside_Recovery_Front5,20","Onside_Recovery_Front6,11","Onside_Recovery_Front7,8","Onside_Recovery_Front8,9","Onside_Recovery_Front9,13","Onside_Recovery_Support1,1","Onside_Recovery_Support2,10",,,
2,"Kicker,18","Left_Coverage1,3","Left_Coverage2,4","Left_Coverage3,1","Left_Coverage4,2","Left_Coverage5,5","Right_Coverage1,6","Right_Coverage2,3","Right_Coverage3,7","Right_Coverage4,8","Right_Coverage5,15",,,
2,"Onside_Recovery_Front1,12","Onside_Recovery_Front2,0","Onside_Recovery_Front3,11","Onside_Recovery_Front4,21","Onside_Recovery_Front5,19","Onside_Recovery_Front6,20","Onside_Recovery_Front7,17","Onside_Recovery_Front8,14","Onside_Recovery_Front9,10","Onside_Recovery_Support1,13","Onside_Recovery_Support2,16",,,
3,"Kicker,13","Left_Coverage1,14","Left_Coverage2,9","Left_Coverage3,15","Left_Coverage4,2","Right_Coverage1,11","Right_Coverage2,8","Right_Coverage3,3","Right_Coverage4,4","Right_Coverage5,0","Right_Coverage6,2",,,
3,"Onside_Recovery_Front1,7","Onside_Recovery_Front2,5","Onside_Recovery_Front3,10","Onside_Recovery_Front4,1","Onside_Recovery_Front5,6",,,,,,,,,
4,"Kicker,16","Left_Coverage1,17","Left_Coverage2,13","Left_Coverage3,7","Left_Coverage4,18","Left_Coverage5,[?]","Right_Coverage1,15","Right_Coverage2,14","Right_Coverage3,4","Right_Coverage4,11","Right_Coverage5,12",,,
4,"Onside_Recovery_Front1,0","Onside_Recovery_Front2,7","Onside_Recovery_Front3,[?]","Onside_Recovery_Front4,3","Onside_Recovery_Front5,1","Onside_Recovery_Support1,2","Onside_Recovery_Support2,16","Onside_Recovery_Support3,10","Onside_Recovery_Support4,5","Kick_Returner1,8","Kick_Returner2,[?]",,,
5,"Kicker,5","Left_Coverage1,10","Left_Coverage2,12","Left_Coverage3,9","Left_Coverage4,[?]","Right_Coverage1,13","Right_Coverage2,15","Right_Coverage3,14","Right_Coverage4,11","Right_Coverage5,7","Right_Coverage6,8",,,
5,"Onside_Recovery_Front1,4","Onside_Recovery_Front2,1","Onside_Recovery_Front3,6","Onside_Recovery_Front4,2","Onside_Recovery_Support1,0","Onside_Recovery_Support2,3",,,,,,,,
