Video Name:,PuntBlock,,,,,,,,,,,
Video #,Positions & Player Track ID,,,,,,,,,,,
1,"Left_Tackle,10","Left_Guard,20","Long_Snapper,17","Right_Guard,19","Right_Tackle,13","Personal_Protector1,8","Personal_Protector2,9","Punter,16","Left_Gunner1,0","Left_Gunner2,1","Right_Gunner,7",
1,"Left_Edge_Rusher1,1","Left_Edge_Rusher2,2","Interior_Rusher1,4","Interior_Rusher2,14","Interior_Rusher3,18","Interior_Rusher4,11","Interior_Rusher5,2","Right_Edge_Rusher1,3","Left_Jammer1,5","Left_Jammer2,6","Right_Jammer,15",
2,"Left_Tackle,5","Left_Guard,7","Long_Snapper,2","Right_Guard,4","Right_Tackle,0","Personal_Protector1,1","Personal_Protector2,4","Punter,6",,,,
2,"Left_Edge_Rusher1,11","Interior_Rusher1,13","Interior_Rusher2,12","Interior_Rusher3,8","Interior_Rusher4,[?]","Right_Edge_Rusher1,10","Right_Edge_Rusher2,9","Left_Jammer,3",,,,
3,"Left_Tackle,5","Left_Guard,8","Long_Snapper,16","Right_Guard,7","Right_Tackle,14","Left_Wing,18","Personal_Protector1,10","Personal_Protector2,6","Punter,15","Left_Gunner,0","Right_Gunner,2",
3,"Left_Edge_Rusher1,9","Interior_Rusher1,1","Interior_Rusher2,12","Interior_Rusher3,3","Interior_Rusher4,20","Interior_Rusher5,19","Interior_Rusher6,17","Right_Edge_Rusher1,11","Left_Jammer,4","Right_Jammer,13",,
4,"Left_Tackle,9","Left_Guard,13","Long_Snapper,2","Right_Guard,6","Right_Tackle,7","Left_Wing,3","Personal_Protector1,4","Personal_Protector2,0","Punter,1",,,
4,"Left_Edge_Rusher1,14","Interior_Rusher1,16","Interior_Rusher2,8","Interior_Rusher3,10","Interior_Rusher4,15","Interior_Rusher5,11","Interior_Rusher6,12","Right_Edge_Rusher1,5",,,,
5,"Left_Tackle,5","Left_Guard,9","Long_Snapper,13","Right_Guard,7","Right_Tackle,14","Left_Wing,11","Personal_Protector1,6","Personal_Protector2,8","Personal_Protector3,15","Punter,12","Left_Gunner,1",
5,"Left_Edge_Rusher1,2","Interior_Rusher1,0","Interior_Rusher2,3","Interior_Rusher3,10","Interior_Rusher4,18","Interior_Rusher5,16","Interior_Rusher6,19","Right_Edge_Rusher1,17","Left_Jammer,4",,,
6,"Left_Tackle,3","Left_Guard,11","Long_Snapper,0","Right_Guard,7","Right_Tackle,2","Left_Wing,6","Personal_Protector1,1","Personal_Protector2,4","Personal_Protector3,5","Punter,12",,
6,"Left_Edge_Rusher1,8","Interior_Rusher1,13","Interior_Rusher2,18","Interior_Rusher3,15","Interior_Rusher4,16","Interior_Rusher5,1","Interior_Rusher6,17","Interior_Rusher7,10","Right_Edge_Rusher1,9",,,
7,"Left_Tackle,8","Left_Guard,19","Long_Snapper,16","Right_Guard,20","Right_Tackle,10","Left_Wing,6","Personal_Protector1,7","Personal_Protector2,3","Personal_Protector3,15","Punter,11","Left_Gunner,0",
7,"Left_Edge_Rusher1,2","Interior_Rusher1,8","Interior_Rusher2,9","Interior_Rusher3,13","Interior_Rusher4,12","Interior_Rusher5,14","Interior_Rusher6,17","Interior_Rusher7,5","Right_Edge_Rusher1,4","Left_Jammer,1",,
8,"Left_Tackle,18","Left_Guard,10","Long_Snapper,15","Right_Guard,14","Right_Tackle,0","Left_Wing,12","Personal_Protector1,2","Personal_Protector2,17","Personal_Protector3,7","Punter,3",,
8,"Left_Edge_Rusher1,11","Interior_Rusher1,16","Interior_Rusher2,6","Interior_Rusher3,9","Interior_Rusher4,15","Interior_Rusher5,1","Interior_Rusher6,5","Interior_Rusher7,4","Right_Edge_Rusher1,8",,,
9,"Left_Tackle,17","Left_Guard,13","Long_Snapper,12","Right_Guard,6","Right_Tackle,14","Left_Wing,9","Personal_Protector1,19","Personal_Protector2,16","Personal_Protector3,15","Punter,7","Left_Gunner,0",
9,"Left_Edge_Rusher1,18","Interior_Rusher1,10","Interior_Rusher2,3","Interior_Rusher3,2","Interior_Rusher4,4","Interior_Rusher5,20","Interior_Rusher6,11","Interior_Rusher7,5","Right_Edge_Rusher1,1","Left_Jammer,8",,
10,"Left_Tackle,14","Left_Guard,18","Long_Snapper,12","Right_Guard,8","Right_Tackle,[?]","Left_Wing,3","Personal_Protector1,0","Personal_Protector2,2","Personal_Protector3,11","Punter,6",,
10,"Left_Edge_Rusher1,2","Interior_Rusher1,7","Interior_Rusher2,9","Interior_Rusher3,13","Interior_Rusher4,16","Interior_Rusher5,1","Interior_Rusher6,4","Interior_Rusher7,10","Right_Edge_Rusher1,5",,,
11,"Left_Tackle,19","Left_Guard,20","Long_Snapper,10","Right_Guard,14","Right_Tackle,18","Left_Wing,16","Right_Wing,15","Personal_Protector1,9","Personal_Protector2,13","Punter,3","Left_Gunner,1",
11,"Left_Edge_Rusher1,6","Interior_Rusher1,5","Interior_Rusher2,8","Interior_Rusher3,4","Interior_Rusher4,7","Interior_Rusher5,12","Right_Edge_Rusher1,2","Left_Jammer,11","Punt_Support1,17","Punt_Support2,0",,
12,"Left_Tackle,8","Left_Guard,16","Long_Snapper,13","Right_Guard,1","Right_Tackle,10","Left_Wing,7","Right_Wing,0","Personal_Protector1,2","Personal_Protector2,4","Punter,3",,
12,"Left_Edge_Rusher1,17","Interior_Rusher1,15","Interior_Rusher2,18","Interior_Rusher3,11","Interior_Rusher4,14","Interior_Rusher5,12","Right_Edge_Rusher1,6","Right_Jammer1,9","Right_Jammer2,5",,,
13,"Left_Tackle,17","Left_Guard,15","Long_Snapper,18","Right_Guard,12","Right_Tackle,6","Left_Wing,8","Personal_Protector1,2","Personal_Protector2,1","Personal_Protector3,3","Punter,10","Left_Gunner,7",
13,"Left_Edge_Rusher1,0","Interior_Rusher1,19","Interior_Rusher2,2","Interior_Rusher3,14","Interior_Rusher4,5","Interior_Rusher5,13","Interior_Rusher6,20","Interior_Rusher7,9","Right_Edge_Rusher1,4","Left_Jammer,11",,
14,"Left_Tackle,0","Left_Guard,17","Long_Snapper,11","Right_Guard,13","Right_Tackle,15","Left_Wing,2","Personal_Protector1,1","Personal_Protector2,18","Personal_Protector3,14","Punter,3",,
14,"Left_Edge_Rusher1,5","Interior_Rusher1,4","Interior_Rusher2,7","Interior_Rusher3,6","Interior_Rusher4,8","Interior_Rusher5,16","Interior_Rusher6,10","Interior_Rusher7,12","Right_Edge_Rusher1,9",,,
