discovery_index,play_name,video_id,clip_name,tracking_file,tracking_kind,key_actions_source,player_track_source,player_tracks_resolved,template_source,output_directory,preflight_status,preflight_failure_type,execution_state,status,warning_count,error_count,unknown_track_count,missing_box_warning_count,ball_track_count,has_unknown_tracks,has_missing_box_warnings,has_no_ball_track,num_tracks,num_player_tracks,num_ball_tracks,num_action_segments,elapsed_seconds,failure_type,message,traceback_file
3440,QB_ZoneRead,17,QB_ZoneRead_17,QB_ZoneRead/QB_ZoneRead_17_cvat_mot.zip,MOT_ZIP,data/key_actions,,True,docs/JetSweepTemplate.xml,,FAILED,unrecognized_play,PREFLIGHT_FAILED,FAILED,0,1,0,0,0,False,False,True,,,,,0.0,unrecognized_play,Play type 'QB_ZoneRead' is not recognized in plays.json definitions,
3441,QB_ZoneRead,18,QB_ZoneRead_18,QB_ZoneRead/QB_ZoneRead_18_cvat_mot.zip,MOT_ZIP,data/key_actions,,True,docs/JetSweepTemplate.xml,,FAILED,unrecognized_play,PREFLIGHT_FAILED,FAILED,0,1,0,0,0,False,False,True,,,,,0.0,unrecognized_play,Play type 'QB_ZoneRead' is not recognized in plays.json definitions,
3442,QB_ZoneRead,41,QB_ZoneRead_41,QB_ZoneRead/QB_ZoneRead_41_cvat_mot.zip,MOT_ZIP,data/key_actions,,True,docs/JetSweepTemplate.xml,,FAILED,unrecognized_play,PREFLIGHT_FAILED,FAILED,0,1,0,0,0,False,False,True,,,,,0.0,unrecognized_play,Play type 'QB_ZoneRead' is not recognized in plays.json definitions,
3443,QB_ZoneRead,42,QB_ZoneRead_42,QB_ZoneRead/QB_ZoneRead_42_cvat_mot.zip,MOT_ZIP,data/key_actions,,True,docs/JetSweepTemplate.xml,,FAILED,unrecognized_play,PREFLIGHT_FAILED,FAILED,0,1,0,0,0,False,False,True,,,,,0.0,unrecognized_play,Play type 'QB_ZoneRead' is not recognized in plays.json definitions,
3444,QB_ZoneRead,131,QB_ZoneRead_131,QB_ZoneRead/QB_ZoneRead_131_cvat_mot.zip,MOT_ZIP,data/key_actions,,True,docs/JetSweepTemplate.xml,,FAILED,unrecognized_play,PREFLIGHT_FAILED,FAILED,0,1,0,0,0,False,False,True,,,,,0.0,unrecognized_play,Play type 'QB_ZoneRead' is not recognized in plays.json definitions,
3445,QB_ZoneRead,132,QB_ZoneRead_132,QB_ZoneRead/QB_ZoneRead_132_cvat_mot.zip,MOT_ZIP,data/key_actions,,True,docs/JetSweepTemplate.xml,,FAILED,unrecognized_play,PREFLIGHT_FAILED,FAILED,0,1,0,0,0,False,False,True,,,,,0.0,unrecognized_play,Play type 'QB_ZoneRead' is not recognized in plays.json definitions,
0,BootPass,1,BootPass_1,BootPass/BootPass_1_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_1,READY,,PROCESSED,WARNING,208,0,21,163,0,True,True,True,41,41,0,184,3.44,,Processed with 208 warning(s),
1,BootPass,2,BootPass_2,BootPass/BootPass_2_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_2,READY,,PROCESSED,WARNING,174,0,48,76,0,True,True,True,48,48,0,81,2.376,,Processed with 174 warning(s),
2,BootPass,3,BootPass_3,BootPass/BootPass_3_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_3,READY,,PROCESSED,FAILED,197,2,41,112,0,True,True,True,41,41,0,124,18.168,enrichment,Enriched with 2 validation error(s),
3,BootPass,4,BootPass_4,BootPass/BootPass_4_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_4,READY,,PROCESSED,WARNING,195,0,52,89,0,True,True,True,52,52,0,95,2.832,,Processed with 195 warning(s),
4,BootPass,5,BootPass_5,BootPass/BootPass_5_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_5,READY,,PROCESSED,FAILED,209,2,57,93,0,True,True,True,57,57,0,102,2.69,enrichment,Enriched with 2 validation error(s),
5,BootPass,6,BootPass_6,BootPass/BootPass_6_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_6,READY,,PROCESSED,WARNING,157,0,43,69,0,True,True,True,43,43,0,81,2.312,,Processed with 157 warning(s),
6,BootPass,7,BootPass_7,BootPass/BootPass_7_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_7,READY,,PROCESSED,FAILED,113,2,30,51,0,True,True,True,30,30,0,69,2.498,enrichment,Enriched with 2 validation error(s),
7,BootPass,8,BootPass_8,BootPass/BootPass_8_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_8,READY,,PROCESSED,WARNING,188,0,52,82,0,True,True,True,52,52,0,89,1.801,,Processed with 188 warning(s),
8,BootPass,9,BootPass_9,BootPass/BootPass_9_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_9,READY,,PROCESSED,FAILED,121,2,31,57,0,True,True,True,31,31,0,76,2.009,enrichment,Enriched with 2 validation error(s),
9,BootPass,10,BootPass_10,BootPass/BootPass_10_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_10,READY,,PROCESSED,WARNING,153,0,36,79,0,True,True,True,36,36,0,83,0.308,,Processed with 153 warning(s),
10,BootPass,11,BootPass_11,BootPass/BootPass_11_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_11,READY,,PROCESSED,FAILED,93,2,28,35,0,True,True,True,28,28,0,56,5.258,enrichment,Enriched with 2 validation error(s),
11,BootPass,12,BootPass_12,BootPass/BootPass_12_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_12,READY,,PROCESSED,WARNING,117,0,28,59,1,True,True,False,29,28,1,61,3.434,,Processed with 117 warning(s),
12,BootPass,13,BootPass_13,BootPass/BootPass_13_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_13,READY,,PROCESSED,FAILED,132,2,31,68,0,True,True,True,31,31,0,93,3.629,enrichment,Enriched with 2 validation error(s),
13,BootPass,14,BootPass_14,BootPass/BootPass_14_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_14,READY,,PROCESSED,WARNING,99,0,31,35,0,True,True,True,31,31,0,40,2.547,,Processed with 99 warning(s),
14,BootPass,15,BootPass_15,BootPass/BootPass_15_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_15,READY,,PROCESSED,FAILED,123,2,29,63,0,True,True,True,29,29,0,72,3.121,enrichment,Enriched with 2 validation error(s),
15,BootPass,16,BootPass_16,BootPass/BootPass_16_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_16,READY,,PROCESSED,WARNING,108,0,31,44,0,True,True,True,31,31,0,44,4.724,,Processed with 108 warning(s),
16,BootPass,17,BootPass_17,BootPass/BootPass_17_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_17,READY,,PROCESSED,FAILED,92,2,28,34,0,True,True,True,28,28,0,64,0.572,enrichment,Enriched with 2 validation error(s),
17,BootPass,18,BootPass_18,BootPass/BootPass_18_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_18,READY,,PROCESSED,WARNING,153,0,43,65,0,True,True,True,43,43,0,73,3.475,,Processed with 153 warning(s),
18,BootPass,19,BootPass_19,BootPass/BootPass_19_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_19,READY,,PROCESSED,FAILED,135,2,34,65,7,True,True,False,41,34,7,85,3.727,enrichment,Enriched with 2 validation error(s),
19,BootPass,20,BootPass_20,BootPass/BootPass_20_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_20,READY,,PROCESSED,WARNING,153,0,36,79,0,True,True,True,36,36,0,89,2.94,,Processed with 153 warning(s),
20,BootPass,21,BootPass_21,BootPass/BootPass_21_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_21,READY,,PROCESSED,FAILED,188,2,37,112,0,True,True,True,37,37,0,125,3.021,enrichment,Enriched with 2 validation error(s),
21,BootPass,22,BootPass_22,BootPass/BootPass_22_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_22,READY,,PROCESSED,WARNING,150,0,36,76,1,True,True,False,37,36,1,78,2.826,,Processed with 150 warning(s),
22,BootPass,23,BootPass_23,BootPass/BootPass_23_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_23,READY,,PROCESSED,FAILED,112,2,35,40,0,True,True,True,35,35,0,63,2.903,enrichment,Enriched with 2 validation error(s),
23,BootPass,24,BootPass_24,BootPass/BootPass_24_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_24,READY,,PROCESSED,WARNING,150,0,40,68,0,True,True,True,40,40,0,77,0.365,,Processed with 150 warning(s),
24,BootPass,25,BootPass_25,BootPass/BootPass_25_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_25,READY,,PROCESSED,FAILED,137,2,32,71,0,True,True,True,32,32,0,93,4.02,enrichment,Enriched with 2 validation error(s),
25,BootPass,26,BootPass_26,BootPass/BootPass_26_cvat_mot.zip,MOT_ZIP,data/key_actions/BootPass.csv,data/player_tracks/BootPass.csv,True,docs/JetSweepTemplate.xml,output/BootPass/BootPass_26,READY,,PROCESSED,WARNING,149,0,40,67,0,True,True,True,40,40,0,76,0.475,,Processed with 149 warning(s),
