video_name,frame,actor_track_id,xml_track_id,position,team_side,action,xtl,ytl,xbr,ybr,w,h,source
JetSweep_69,0,1,0,FS,defense,Action_Defense_NotAnnotated,82.69,96.96,161.22,304.27,78.53,207.31,xml_geometry_csv_action
JetSweep_69,0,2,1,LG,offense,Action_PreSnap,577.89,625.41,696.3,797.4,118.40999999999997,171.99,xml_geometry_csv_action
JetSweep_69,0,11,10,HB,offense,Action_PreSnap,1301.18,701.06,1431.13,899.34,129.95000000000005,198.2800000000001,xml_geometry_csv_action
JetSweep_69,0,12,11,LDE,defense,Action_Defense_NotAnnotated,445.14,552.97,554.1,686.83,108.96000000000004,133.86,xml_geometry_csv_action
JetSweep_69,0,13,12,RG,offense,Action_PreSnap,945.16,621.63,1043.07,795.98,97.90999999999997,174.35000000000002,xml_geometry_csv_action
JetSweep_69,0,14,13,DT,defense,Action_Defense_NotAnnotated,913.09,539.52,1043.12,649.33,130.02999999999986,109.81000000000006,xml_geometry_csv_action
JetSweep_69,0,15,14,DT,defense,Action_Defense_NotAnnotated,1155.34,535.88,1253.68,659.38,98.34000000000015,123.5,xml_geometry_csv_action
JetSweep_69,0,3,2,WLB,defense,Action_Defense_NotAnnotated,660.64,328.89,757.74,547.01,97.10000000000002,218.12,xml_geometry_csv_action
JetSweep_69,0,4,3,C,offense,Action_PreSnap,748.41,594.16,874.48,755.21,126.07000000000005,161.05000000000007,xml_geometry_csv_action
JetSweep_69,0,5,4,MLB,defense,Action_Defense_NotAnnotated,1279.35,395.23,1394.6,563.8,115.25,168.56999999999994,xml_geometry_csv_action
JetSweep_69,0,6,5,SS,defense,Action_Defense_NotAnnotated,1431.28,98.34,1514.77,270.8,83.49000000000001,172.46,xml_geometry_csv_action
JetSweep_69,0,7,6,RT,offense,Action_PreSnap,1112.45,610.1,1218.99,810.65,106.53999999999996,200.54999999999995,xml_geometry_csv_action
JetSweep_69,0,8,7,RB,offense,Action_PreSnap,800.91,743.35,899.12,979.79,98.21000000000004,236.43999999999994,xml_geometry_csv_action
JetSweep_69,0,9,8,RDE,defense,Action_Defense_NotAnnotated,1372.44,542.47,1479.32,689.22,106.87999999999988,146.75,xml_geometry_csv_action
JetSweep_69,0,10,9,TE-Y,offense,Action_PreSnap,433.9,633.38,533.74,799.94,99.84000000000003,166.56000000000006,xml_geometry_csv_action
